Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+
Alder;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;2024;3552;1607;3797;9809;4599;4744;39;213;147;576;1385;380;246;1985;3339;1460;3221;8424;4219;4498;1035;1864;831;1935;4977;2331;2061;19;115;72;267;686;221;104;1016;1749;759;1668;4291;2110;1957;989;1688;776;1862;4832;2268;2683;20;98;75;309;699;159;142;969;1590;701;1553;4133;2109;2541
0104 Moss;104;Moss;2094;3614;1601;3564;10865;4639;4931;87;259;169;781;2425;481;365;2007;3355;1432;2783;8440;4158;4566;1070;1857;832;1878;5484;2227;2163;39;124;92;393;1278;264;163;1031;1733;740;1485;4206;1963;2000;1024;1757;769;1686;5381;2412;2768;48;135;77;388;1147;217;202;976;1622;692;1298;4234;2195;2566
0105 Sarpsborg;105;Sarpsborg;3773;6570;2834;6366;18495;7816;8205;99;554;344;1238;3613;634;437;3674;6016;2490;5128;14882;7182;7768;1969;3334;1444;3226;9524;3867;3549;52;285;178;638;1930;344;177;1917;3049;1266;2588;7594;3523;3372;1804;3236;1390;3140;8971;3949;4656;47;269;166;600;1683;290;260;1757;2967;1224;2540;7288;3659;4396
0106 Fredrikstad;106;Fredrikstad;5146;9372;4065;9397;26467;11487;11657;127;623;481;1871;4835;858;607;5019;8749;3584;7526;21632;10629;11050;2662;4866;2076;4835;13364;5668;5019;70;331;256;960;2573;471;253;2592;4535;1820;3875;10791;5197;4766;2484;4506;1989;4562;13103;5819;6638;57;292;225;911;2262;387;354;2427;4214;1764;3651;10841;5432;6284
0111 Hvaler;111;Hvaler;236;462;224;395;1367;942;760;0;19;29;31;103;28;21;236;443;195;364;1264;914;739;124;252;113;193;685;470;380;0;8;19;9;50;14;9;124;244;94;184;635;456;371;112;210;111;202;682;472;380;0;11;10;22;53;14;12;112;199;101;180;629;458;368
0118 Aremark;118;Aremark;78;180;72;123;452;237;266;0;0;3;4;18;11;6;78;180;69;119;434;226;260;36;88;34;63;234;131;131;0;0;0;1;8;7;1;36;88;34;62;226;124;130;42;92;38;60;218;106;135;0;0;3;3;10;4;5;42;92;35;57;208;102;130
0119 Marker;119;Marker;213;408;167;379;1139;603;687;6;27;6;44;122;35;31;207;381;161;335;1017;568;656;110;218;88;192;588;307;312;3;16;3;24;47;14;16;107;202;85;168;541;293;296;103;190;79;187;551;296;375;3;11;3;20;75;21;15;100;179;76;167;476;275;360
