Bydel nr & navn;bydel_nr;"Bydel
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo;103195;28582;41611;32132;870;55774;20765;21903;12688;418;47421;7817;19708;19444;452
030101 Gamle Oslo;30101;Gamle Oslo;10089;2410;4767;2833;79;5544;1746;2591;1167;40;4545;664;2176;1666;39
030102 Grünerløkka;30102;Grünerløkka;9875;3359;3696;2724;96;5663;2423;2069;1121;50;4212;936;1627;1603;46
030103 Sagene;30103;Sagene;5185;1447;2233;1462;43;2796;1002;1188;590;16;2389;445;1045;872;27
030104 St. Hanshaugen;30104;St. Hanshaugen;5035;2179;1456;1351;49;2997;1560;849;565;23;2038;619;607;786;26
030105 Frogner;30105;Frogner;7535;3568;1507;2360;100;4115;2486;800;778;51;3420;1082;707;1582;49
030106 Ullern;30106;Ullern;2809;1285;587;913;24;1496;899;282;302;13;1313;386;305;611;11
030107 Vestre Aker;30107;Veste Aker;3814;1720;787;1256;51;2027;1235;378;390;24;1787;485;409;866;27
030108 Nordre Aker;30108;Nordre Aker;3716;1461;1090;1120;45;2028;1018;585;405;20;1688;443;505;715;25
030109 Bjerke;30109;Bjerke;7164;1728;3278;2101;57;3926;1299;1725;872;30;3238;429;1553;1229;27
030110 Grorud;30110;Grorud;6859;1029;3491;2306;33;3500;726;1797;967;10;3359;303;1694;1339;23
030111 Stovner;30111;Stovner;7933;1202;4117;2578;36;4151;926;2124;1083;18;3782;276;1993;1495;18
030112 Alna;30112;Alna;12093;1793;5995;4227;78;6211;1326;3096;1754;35;5882;467;2899;2473;43
030113 Østensjø;30113;Østensjø;5951;1275;2561;2071;44;2970;911;1270;769;20;2981;364;1291;1302;24
030114 Nordstrand;30114;Nordstrand;4085;1525;1280;1225;55;2219;1091;634;472;22;1866;434;646;753;33
030115 Søndre Nordstrand;30115;Søndre Nordstrand;8817;1403;4067;3288;59;4400;1081;1998;1290;31;4417;322;2069;1998;28
030116 Sentrum;30116;Sentrum;262;124;79;56;3;181;94;57;27;3;81;30;22;29;0
030117 Marka;30117;Marka;88;55;7;26;0;53;37;7;9;0;35;18;0;17;0
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1885;1019;613;235;18;1497;905;453;127;12;388;114;160;108;6
