Fylke nr & navn;fylke_nr;"Fylke
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;477408;154467;171365;146988;4588;257858;115515;91241;48839;2263;219550;38952;80124;98149;2325
01 Østfold;1;Østfold;26070;6213;12605;7045;207;13873;4912;6589;2274;98;12197;1301;6016;4771;109
02 Akershus;2;Akershus;57102;19018;19960;17570;554;31275;14667;10355;5979;274;25827;4351;9605;11591;280
03 Oslo;3;Oslo;103195;28582;41611;32132;870;55774;20765;21903;12688;418;47421;7817;19708;19444;452
04 Hedmark;4;Hedmark;11316;3019;4958;3246;93;5972;2218;2727;977;50;5344;801;2231;2269;43
05 Oppland;5;Oppland;11655;3562;5030;2959;104;6265;2594;2710;917;44;5390;968;2320;2042;60
06 Buskerud;6;Buskerud;28859;9363;10441;8853;202;15556;7088;5472;2907;89;13303;2275;4969;5946;113
07 Vestfold;7;Vestfold;19211;6150;7022;5851;188;10083;4373;3741;1881;88;9128;1777;3281;3970;100
08 Telemark;8;Telemark;12871;2832;6321;3606;112;6578;2143;3291;1095;49;6293;689;3030;2511;63
09 Aust-Agder;9;Aust-Agder;8670;2369;3519;2709;73;4520;1783;1852;841;44;4150;586;1667;1868;29
10 Vest-Agder;10;Vest-Agder;15461;3371;7714;4211;165;8062;2577;4094;1306;85;7399;794;3620;2905;80
11 Rogaland;11;Rogaland;50671;20632;12734;16821;484;27860;15510;6806;5305;239;22811;5122;5928;11516;245
12 Hordaland;12;Hordaland;44192;17078;12386;14247;481;24599;13071;6693;4600;235;19593;4007;5693;9647;246
14 Sogn og Fjordane;14;Sogn og Fjordane;7839;3209;2054;2475;101;4285;2395;1115;725;50;3554;814;939;1750;51
15 Møre og Romsdal;15;Møte og Romsdal;21028;8948;4470;7256;354;11510;6854;2403;2057;196;9518;2094;2067;5199;158
16 Sør-Trøndelag;16;Sør-Trøndelag;21976;8116;7053;6591;216;11958;6025;3781;2049;103;10018;2091;3272;4542;113
17 Nord-Trøndelag;17;Nord-Trøndelag;7006;2095;2767;2053;91;3721;1626;1519;523;53;3285;469;1248;1530;38
18 Nordland;18;Nordland;14095;4214;5571;4203;107;7465;2997;3235;1178;55;6630;1217;2336;3025;52
19 Troms Romsa;19;Troms Romsa;9980;3336;3377;3137;130;5290;2316;1931;975;68;4690;1020;1446;2162;62
20 Finnmark Finnmárku;20;Finnmark Finnmárku;6211;2360;1772;2023;56;3212;1601;1024;562;25;2999;759;748;1461;31
99 Uoppgitt fylke;99;Uoppgitt fylke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
