Fylke. nr ;fylke_nr;"Fylke.
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;633110;254087;131804;247219;0;307188;154034;68530;84624;0;325922;100053;63274;162595;0
01 Østfold;1;Østfold;33686;10056;6995;16635;0;15099;6355;3361;5383;0;18587;3701;3634;11252;0
02 Akershus;2;Akershus;80336;27724;16121;36491;0;40980;17661;8808;14511;0;39356;10063;7313;21980;0
03 Oslo;3;Oslo;151722;49689;27039;74994;0;57548;29150;11940;16458;0;94174;20539;15099;58536;0
04 Hedmark;4;Hedmark;14783;6197;3095;5491;0;7501;3320;1505;2676;0;7282;2877;1590;2815;0
05 Oppland;5;Oppland;14450;6493;3290;4667;0;7315;3523;1738;2054;0;7135;2970;1552;2613;0
06 Buskerud        ;6;Buskerud        ;37429;13945;8145;15339;0;18609;8964;4407;5238;0;18820;4981;3738;10101;0
07 Vestfold ;7;Vestfold ;24935;8920;5603;10412;0;13288;5832;3177;4279;0;11647;3088;2426;6133;0
08 Telemark;8;Telemark;16216;6176;3537;6503;0;7140;3027;1564;2549;0;9076;3149;1973;3954;0
09 Aust Agder;9;Aust Agder;11108;4335;2756;4017;0;5910;2448;1555;1907;0;5198;1887;1201;2110;0
10 Vest-Agder;10;Vest-Agder;19544;6811;4353;8380;0;8531;3366;2132;3033;0;11013;3445;2221;5347;0
11 Rogaland;11;Rogaland;62682;29362;14522;18798;0;35141;19348;8509;7284;0;27541;10014;6013;11514;0
12 Hordaland ;12;Hordaland ;55185;26151;12500;16534;0;30464;17284;7206;5974;0;24721;8867;5294;10560;0
14 Sogn og Fjordane;14;Sogn og Fjordane;9449;5326;1922;2201;0;5933;3462;1300;1171;0;3516;1864;622;1030;0
15 Møre og Romsdal;15;Møre og Romsdal;24848;13583;5659;5606;0;15579;9436;3650;2493;0;9269;4147;2009;3113;0
16 Sør-Trøndelag;16;Sør-Trøndelag;28498;13302;6413;8783;0;14361;7898;3222;3241;0;14137;5404;3191;5542;0
17 Nord-Trøndelag;17;Nord-Trøndelag;8411;4434;1894;2083;0;4050;2081;943;1026;0;4361;2353;951;1057;0
18 Nordland;18;Nordland;17688;9889;3533;4266;0;8308;4672;1480;2156;0;9380;5217;2053;2110;0
19 Troms ;19;Troms ;13734;7167;2903;3664;0;7009;3681;1391;1937;0;6725;3486;1512;1727;0
20 Finnmark;20;Finnmark;8406;4527;1524;2355;0;4422;2526;642;1254;0;3984;2001;882;1101;0
99 Uoppgitt fylke;99;Uoppgitt fylke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
