Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;2986;795;532;1659;0;1393;512;227;654;0;1593;283;305;1005;0
0104 Moss;104;Moss;4567;1409;843;2315;0;1851;772;379;700;0;2716;637;464;1615;0
0105 Sarpsborg;105;Sarpsborg;6919;1817;1624;3478;0;2691;1072;740;879;0;4228;745;884;2599;0
0106 Fredrikstad;106;Fredrikstad;9402;2627;1829;4946;0;3770;1669;696;1405;0;5632;958;1133;3541;0
0111 Hvaler;111;Hvaler;233;99;40;94;0;130;34;26;70;0;103;65;14;24;0
0118 Aremark;118;Aremark;41;11;8;22;0;28;8;5;15;0;13;3;3;7;0
0119 Marker;119;Marker;269;70;53;146;0;164;51;23;90;0;105;19;30;56;0
0121 Rømskog;121;Rømskog;45;12;8;25;0;41;12;8;21;0;4;0;0;4;0
0122 Trøgstad;122;Trøgstad;471;266;83;122;0;336;200;56;80;0;135;66;27;42;0
0123 Spydeberg;123;Spydeberg;546;231;130;185;0;273;121;66;86;0;273;110;64;99;0
0124 Askim;124;Askim;2292;540;427;1325;0;898;311;194;393;0;1394;229;233;932;0
0125 Eidsberg;125;Eidsberg;1469;573;340;556;0;775;395;180;200;0;694;178;160;356;0
0127 Skiptvet;127;Skiptvet;335;153;93;89;0;225;109;71;45;0;110;44;22;44;0
0128 Rakkestad;128;Rakkestad;858;330;202;326;0;463;274;103;86;0;395;56;99;240;0
0135 Råde;135;Råde;617;249;161;207;0;412;176;124;112;0;205;73;37;95;0
0136 Rygge;136;Rygge;1453;384;315;754;0;800;267;212;321;0;653;117;103;433;0
0137 Våler (Østfold);137;Våler (Østf.);502;187;144;171;0;386;158;120;108;0;116;29;24;63;0
0138 Hobøl;138;Hobøl;680;302;163;215;0;463;214;131;118;0;217;88;32;97;0
0211 Vestby;211;Vestby;1902;640;383;879;0;975;385;176;414;0;927;255;207;465;0
0213 Ski;213;Ski;3672;1041;652;1979;0;1684;608;312;764;0;1988;433;340;1215;0
0214 Ås;214;Ås;2957;1344;554;1059;0;1457;714;278;465;0;1500;630;276;594;0
0215 Frogn;215;Frogn;1450;466;290;694;0;930;301;176;453;0;520;165;114;241;0
0216 Nesodden;216;Nesodden;2088;600;415;1073;0;1357;396;264;697;0;731;204;151;376;0
