Næringsreg nr ;naringsregion_nr;"Næringsreg.
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden            ;1;Halden            ;2986;795;532;1659;0;1393;512;227;654;0;1593;283;305;1005;0
02 Indre Østfold     ;2;Indre Østfold     ;7007;2489;1507;3011;0;3666;1695;837;1134;0;3341;794;670;1877;0
03 Mosseregionen     ;3;Mosseregionen     ;7139;2229;1463;3447;0;3449;1373;835;1241;0;3690;856;628;2206;0
04 Nedre Glomma      ;4;Nedre Glomma      ;16554;4543;3493;8518;0;6591;2775;1462;2354;0;9963;1768;2031;6164;0
05 Akershus Vest     ;5;Akershus Vest     ;27613;9747;5759;12107;0;14878;5832;3346;5700;0;12735;3915;2413;6407;0
06 Follo             ;6;Follo             ;16151;5345;3092;7714;0;8544;3150;1664;3730;0;7607;2195;1428;3984;0
07 Nedre Romerike    ;7;Nedre Romerike    ;24997;7976;4846;12175;0;11102;5311;2422;3369;0;13895;2665;2424;8806;0
08 Øvre Romerike     ;8;Øvre Romerike     ;11575;4656;2424;4495;0;6456;3368;1376;1712;0;5119;1288;1048;2783;0
09 Oslo              ;9;Oslo              ;151722;49689;27039;74994;0;57548;29150;11940;16458;0;94174;20539;15099;58536;0
10 Fjellregionen     ;10;Fjellregionen     ;1092;578;214;300;0;659;350;136;173;0;433;228;78;127;0
11 Glåmdal           ;11;Glåmdal           ;3686;1346;690;1650;0;1834;679;344;811;0;1852;667;346;839;0
12 Hamarregionen     ;12;Hamarregionen     ;7106;2966;1591;2549;0;3554;1644;748;1162;0;3552;1322;843;1387;0
13 Sør Østerdal      ;13;Sør Østerdal      ;2899;1307;600;992;0;1454;647;277;530;0;1445;660;323;462;0
14 Gjøvikregionen    ;14;Gjøvikregionen    ;5524;2363;1176;1985;0;2508;1253;530;725;0;3016;1110;646;1260;0
15 Hadeland          ;15;Hadeland          ;2182;1001;464;717;0;1088;502;248;338;0;1094;499;216;379;0
16 Lillehammerregionen;16;Lillehammerregionen;3303;1289;787;1227;0;1625;722;349;554;0;1678;567;438;673;0
17 Midt-Gudbrandsdal ;17;Midt-Gudbrandsdal ;900;431;278;191;0;600;292;205;103;0;300;139;73;88;0
18 Nord-Gudbrandsdal ;18;Nord-Gudbrandsdal ;1052;615;234;203;0;552;287;142;123;0;500;328;92;80;0
