Bydel nr & navn;bydel_nr;"Bydel
navn";botid_3.alle;botid_3.0-4;botid_3.5+;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.0-4;botid_3.5+;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+
Nedbrytninger;;;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo                   ;301;Oslo;44619;4388;40231;2377;716;11401;17148;100;9,8;90,2;5,3;1,6;25,6;38,4
01 Gamle Oslo               ;30101;Gamle Oslo;5109;484;4625;224;93;1258;2182;100;9,5;90,5;4,4;1,8;24,6;42,7
02 Grünerløkka              ;30102;Grünerløkka;3961;475;3486;244;95;864;1751;100;12;88;6,2;2,4;21,8;44,2
03 Sagene                   ;30103;Sagene;2360;270;2090;156;36;567;984;100;11,4;88,6;6,6;1,5;24;41,7
04 St. Hanshaugen           ;30104;St.Hanshaugen;1568;224;1344;151;29;314;689;100;14,3;85,7;9,6;1,8;20;43,9
05 Frogner                  ;30105;Frogner;1634;224;1410;143;26;413;609;100;13,7;86,3;8,8;1,6;25,3;37,3
06 Ullern                   ;30106;Ullern;631;101;530;73;10;161;189;100;16;84;11,6;1,6;25,5;30
07 Vestre Aker              ;30107;Vestre Aker;834;138;696;106;10;253;231;100;16,5;83,5;12,7;1,2;30,3;27,7
08 Nordre Aker              ;30108;Nordre Aker;1154;173;981;111;23;261;467;100;15;85;9,6;2;22,6;40,5
09 Bjerke                   ;30109;Bjerke;3531;307;3224;147;50;804;1430;100;8,7;91,3;4,2;1,4;22,8;40,5
10 Grorud                   ;30110;Grorud;3779;313;3466;135;57;1038;1327;100;8,3;91,7;3,6;1,5;27,5;35,1
11 Stovner                  ;30111;Stovner;4435;406;4029;214;65;1101;1574;100;9,2;90,8;4,8;1,5;24,8;35,5
12 Alna                     ;30112;Alna;6519;528;5991;251;96;1765;2347;100;8,1;91,9;3,9;1,5;27,1;36
13 Østensjø                 ;30113;Østensjø;2734;256;2478;146;41;807;948;100;9,4;90,6;5,3;1,5;29,5;34,7
14 Nordstrand               ;30114;Nordstrand;1370;180;1190;125;18;404;442;100;13,1;86,9;9,1;1,3;29,5;32,3
15 Søndre Nordstrand        ;30115;Søndre Nordstrand;4400;282;4118;139;56;1238;1681;100;6,4;93,6;3,2;1,3;28,1;38,2
16 Sentrum                  ;30116;Sentrum;86;5;81;3;0;19;43;100;5,8;94,2;3,5;0;22,1;50
17 Marka                    ;30117;Marka;9;4;5;3;3;0;0;100;44,4;55,6;33,3;33,3;0;0
99 Uoppgitt                 ;30199;Uoppgitt;505;18;487;6;10;134;253;100;3,6;96,4;1,2;2;26,5;50,1
