Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+
Nedbrytninger;;;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden                 ;101;Halden;1136;98;1038;43;18;171;671;100;8,6;91,4;3,8;1,6;15,1;59,1
0104 Moss                   ;104;Moss;1619;284;1335;182;31;242;669;100;17,5;82,5;11,2;1,9;14,9;41,3
0105 Sarpsborg              ;105;Sarpsborg;3170;399;2771;242;59;428;1832;100;12,6;87,4;7,6;1,9;13,5;57,8
0106 Fredrikstad            ;106;Fredrikstad;4264;484;3780;272;55;728;2449;100;11,4;88,6;6,4;1,3;17,1;57,4
0111 Hvaler                 ;111;Hvaler;60;37;23;37;0;12;4;100;61,7;38,3;61,7;0;20;6,7
0119 Marker                 ;119;Marker;77;14;63;11;0;35;24;100;18,2;81,8;14,3;0;45,5;31,2
0122 Trøgstad               ;122;Trøgstad;58;30;28;27;3;15;5;100;51,7;48,3;46,6;5,2;25,9;8,6
0123 Spydeberg              ;123;Spydeberg;171;61;110;40;15;44;54;100;35,7;64,3;23,4;8,8;25,7;31,6
0124 Askim                  ;124;Askim;924;86;838;45;14;176;479;100;9,3;90,7;4,9;1,5;19;51,8
0125 Eidsberg               ;125;Eidsberg;472;87;385;50;14;129;203;100;18,4;81,6;10,6;3;27,3;43
0127 Skiptvet               ;127;Skiptvet;61;21;40;21;0;21;12;100;34,4;65,6;34,4;0;34,4;19,7
0128 Rakkestad              ;128;Rakkestad;328;28;300;14;3;82;176;100;8,5;91,5;4,3;0,9;25;53,7
0135 Råde                   ;135;Råde;121;39;82;39;0;44;25;100;32,2;67,8;32,2;0;36,4;20,7
