Næringsreg nr ;naringsregion_nr;"Næringsreg.
navn";botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.0_4;botid_3.5+;botid_3.0_4;botid_3.0_4;botid_3.5+;botid_3.5+
Nedbrytninger;;;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.alle;forste_bosettingskommune.ja;forste_bosettingskommune.nei;forste_bosettingskommune.ja;forste_bosettingskommune.nei
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden            ;1;Halden            ;1136;98;1038;43;18;171;671;100;8,63;91,37;3,8;1,6;15,1;59,1
02 Indre Østfold     ;2;Indre Østfold     ;2196;363;1833;210;59;529;983;100;16,53;83,47;9,6;2,7;24,1;44,8
03 Mosseregionen     ;3;Mosseregionen     ;2160;351;1809;240;34;337;885;100;16,25;83,75;11,1;1,6;15,6;41
04 Nedre Glomma      ;4;Nedre Glomma      ;7495;921;6574;551;115;1168;4285;100;12,29;87,71;7,4;1,5;15,6;57,2
05 Akershus Vest     ;5;Akershus Vest     ;6444;1088;5356;756;126;1782;2347;100;16,88;83,12;11,7;2;27,7;36,4
06 Follo             ;6;Follo             ;4054;848;3206;624;72;1020;1439;100;20,92;79,08;15,4;1,8;25,2;35,5
07 Nedre Romerike    ;7;Nedre Romerike    ;8061;983;7078;667;100;1259;3775;100;12,19;87,81;8,3;1,2;15,6;46,8
08 Øvre Romerike     ;8;Øvre Romerike     ;2613;421;2192;268;53;455;1183;100;16,11;83,89;10,3;2;17,4;45,3
09 Oslo              ;9;Oslo              ;44619;4388;40231;2377;716;11401;17148;100;9,83;90,17;5,3;1,6;25,6;38,4
10 Fjellregionen     ;10;Fjellregionen     ;314;182;132;165;4;84;34;100;57,96;42,04;52,5;1,3;26,8;10,8
11 Glåmdal           ;11;Glåmdal           ;1201;419;782;229;48;324;291;100;34,89;65,11;19,1;4;27;24,2
12 Hamarregionen     ;12;Hamarregionen     ;2463;783;1680;573;80;823;531;100;31,79;68,21;23,3;3,2;33,4;21,6
