Bydel nr & navn;bydel_nr;"Bydel
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Innvkat og v-reg;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo kommune;16800;14601;8689;5912;2199;10563;7616;4407;3209;2947;6237;6985;4282;2703;-748;28840;6521;2463;4058;22319;30173;6601;3015;3586;23572;-1333;-80;-552;472;-1253;45640;21122;11152;9970;24518;40736;14217;7422;6795;26519;4904;6905;3730;3175;-2001
01 Gamle Oslo               ;30101;Gamle Oslo;1507;1319;833;486;188;922;636;384;252;286;585;683;449;234;-98;2958;687;241;446;2271;2534;550;239;311;1984;424;137;2;135;287;4465;2006;1074;932;2459;3456;1186;623;563;2270;1009;820;451;369;189
02 Grünerløkka              ;30102;Grünerløkka;1993;1778;1234;544;215;1171;921;665;256;250;822;857;569;288;-35;4165;799;297;502;3366;3367;708;351;357;2659;798;91;-54;145;707;6158;2577;1531;1046;3581;4538;1629;1016;613;2909;1620;948;515;433;672
03 Sagene                   ;30103;Sagene;920;774;511;263;146;499;336;231;105;163;421;438;280;158;-17;2738;351;146;205;2387;2554;359;173;186;2195;184;-8;-27;19;192;3658;1125;657;468;2533;3053;695;404;291;2358;605;430;253;177;175
04 St. Hanshaugen           ;30104;St.Hanshaugen;1595;1421;891;530;174;854;698;506;192;156;741;723;385;338;18;3105;462;218;244;2643;2428;431;250;181;1997;677;31;-32;63;646;4700;1883;1109;774;2817;3282;1129;756;373;2153;1418;754;353;401;664
05 Frogner                  ;30105;Frogner;2501;2197;1484;713;304;1454;1148;815;333;306;1047;1049;669;380;-2;4263;719;388;331;3544;3248;568;326;242;2680;1015;151;62;89;864;6764;2916;1872;1044;3848;4702;1716;1141;575;2986;2062;1200;731;469;862
06 Ullern                   ;30106;Ullern;651;550;318;232;101;378;267;133;134;111;273;283;185;98;-10;1050;232;117;115;818;1437;318;193;125;1119;-387;-86;-76;-10;-301;1701;782;435;347;919;1815;585;326;259;1230;-114;197;109;88;-311
