Fylke. nr ;fylke_nr;"Fylke.
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Todelt verdensregion;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;75545;66879;39523;27356;8666;35715;25721;16414;9307;9994;39830;41158;23109;18049;-1328;136956;28152;12001;16151;108804;136956;28152;12001;16151;108804;0;0;0;0;0;212501;95031;51524;43507;117470;172671;53873;28415;25458;118798;39830;41158;23109;18049;-1328
01 Østfold;1;Østfold;2612;2071;1180;891;541;1461;856;501;355;605;1151;1215;679;536;-64;7346;1806;680;1126;5540;5686;1133;464;669;4553;1660;673;216;457;987;9958;3877;1860;2017;6081;7147;1989;965;1024;5158;2811;1888;895;993;923
02 Akershus;2;Akershus;7809;6656;4024;2632;1153;4207;2784;1706;1078;1423;3602;3872;2318;1554;-270;23724;6240;2868;3372;17484;20425;4543;2280;2263;15882;3299;1697;588;1109;1602;31533;12896;6892;6004;18637;24632;7327;3986;3341;17305;6901;5569;2906;2663;1332
03 Oslo;3;Oslo;16768;14601;8689;5912;2167;10563;7616;4407;3209;2947;6205;6985;4282;2703;-780;28840;6521;2463;4058;22319;30171;6601;3015;3586;23570;-1331;-80;-552;472;-1251;45608;21122;11152;9970;24486;40734;14217;7422;6795;26517;4874;6905;3730;3175;-2031
04 Hedmark;4;Hedmark;1906;1649;796;853;257;738;437;300;137;301;1168;1212;496;716;-44;4679;747;307;440;3932;4698;836;278;558;3862;-19;-89;29;-118;70;6585;2396;1103;1293;4189;5436;1273;578;695;4163;1149;1123;525;598;26
05 Oppland;5;Oppland;1904;1719;828;891;185;542;378;241;137;164;1362;1341;587;754;21;4606;651;266;385;3955;5032;1013;362;651;4019;-426;-362;-96;-266;-64;6510;2370;1094;1276;4140;5574;1391;603;788;4183;936;979;491;488;-43
06 Buskerud        ;6;Buskerud        ;3828;3435;2201;1234;393;1440;1037;751;286;403;2388;2398;1450;948;-10;7980;2066;1060;1006;5914;7653;1710;858;852;5943;327;356;202;154;-29;11808;5501;3261;2240;6307;9093;2747;1609;1138;6346;2715;2754;1652;1102;-39
