Næringsreg nr ;naringsregion_nr;"Næringsreg.
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Todelt verdensregion;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden            ;1;Halden            ;251;173;96;77;78;183;97;48;49;86;68;76;48;28;-8;1172;238;71;167;934;981;153;67;86;828;191;85;4;81;106;1423;411;167;244;1012;1164;250;115;135;914;259;161;52;109;98
02 Indre Østfold     ;2;Indre Østfold     ;684;576;345;231;108;265;165;94;71;100;419;411;251;160;8;2521;562;272;290;1959;2156;415;170;245;1741;365;147;102;45;218;3205;1138;617;521;2067;2421;580;264;316;1841;784;558;353;205;226
03 Mosseregionen     ;3;Mosseregionen     ;544;449;247;202;95;281;174;109;65;107;263;275;138;137;-12;2403;472;231;241;1931;2050;383;169;214;1667;353;89;62;27;264;2947;921;478;443;2026;2331;557;278;279;1774;616;364;200;164;252
04 Nedre Glomma      ;4;Nedre Glomma      ;1137;873;492;381;264;732;420;250;170;312;405;453;242;211;-48;3982;987;307;680;2995;3231;635;259;376;2596;751;352;48;304;399;5119;1860;799;1061;3259;3963;1055;509;546;2908;1156;805;290;515;351
05 Akershus Vest     ;5;Akershus Vest     ;3015;2482;1318;1164;533;1800;1162;655;507;638;1215;1320;663;657;-105;8804;2385;1187;1198;6419;7871;1946;1050;896;5925;933;439;137;302;494;11819;4867;2505;2362;6952;9671;3108;1705;1403;6563;2148;1759;800;959;389
06 Follo             ;6;Follo             ;1617;1352;823;529;265;856;542;310;232;314;761;810;513;297;-49;6287;1396;731;665;4891;5820;1190;589;601;4630;467;206;142;64;261;7904;2748;1554;1194;5156;6676;1732;899;833;4944;1228;1016;655;361;212
07 Nedre Romerike    ;7;Nedre Romerike    ;2069;1813;1153;660;256;950;686;453;233;264;1119;1127;700;427;-8;8320;2489;1096;1393;5831;7284;1835;937;898;5449;1036;654;159;495;382;10389;4302;2249;2053;6087;8234;2521;1390;1131;5713;2155;1781;859;922;374
