fylke;fylke_nr;fylke_navn;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille
00 Hele landet;0;Hele landet;8801;6084;5757;1,14;65,41;94,63;.;.
01 Østfold;1;Østfold;425;201;197;0,7;46,35;98,01;.;.
02 Akershus;2;Akershus;764;525;426;0,75;55,76;81,14;.;.
03 Oslo;3;Oslo;450;410;459;0,74;102;111,95;.;.
04 Hedmark;4;Hedmark;366;265;187;0,97;51,09;70,57;.;.
05 Oppland;5;Oppland;427;317;297;1,59;69,56;93,69;.;.
06 Buskerud;6;Buskerud;499;390;354;1,32;70,94;90,77;.;.
07 Vestfold;7;Vestfold;395;216;192;0,8;48,61;88,89;.;.
08 Telemark;8;Telemark;445;347;339;1,98;76,18;97,69;.;.
09 Aust-Agder;9;Aust-Agder;305;191;175;1,55;57,38;91,62;.;.
10 Vest-Agder;10;Vest-Agder;450;330;283;1,6;62,89;85,76;.;.
11 Rogaland;11;Rogaland;694;456;456;1,01;65,71;100;.;.
12 Hordaland;12;Hordaland;834;441;464;0,93;55,64;105,22;.;.
14 Sogn og Fjordane;14;Sogn og Fjordane;390;117;109;1;27,95;93,16;.;.
15 Møre og Romsdal;15;Møte og Romsdal;435;321;284;1,09;65,29;88,47;.;.
16 Sør-Trøndelag;16;Sør-Trøndelag;436;358;339;1,12;77,75;94,69;.;.
17 Nord-Trøndelag;17;Nord-Trøndelag;286;251;263;1,96;91,96;104,78;.;.
18 Nordland;18;Nordland;685;549;470;1,96;68,61;85,61;.;.
19 Troms Romsa;19;Troms Romsa;305;233;293;1,83;96,07;125,75;.;.
20 Finnmark Finnmárku;20;Finnmark Finnmárku;210;166;170;2,28;80,95;102,41;.;.
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;.;.
