kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear;;;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille;;;
0101 Halden;0101;Halden;30,00;10,00;10,00;0,331873092;33,33333333;100,00;.;.;;;
0104 Moss;0104;Moss;40,00;20,00;23,00;0,734636515;57,5;115,00;.;.;;;
0105 Sarpsborg;0105;Sarpsborg;50,00;50,00;54,00;0,9989086;108;108,00;.;.;;;
0106 Fredrikstad;0106;Fredrikstad;85,00;50,00;47,00;0,605740356;55,29411765;94,00;.;.;;;
0111 Hvaler;0111;Hvaler;10,00;10,00;16,00;3,647970816;160;160,00;.;.;;;
0118 Aremark;0118;Aremark;15,00;0,00;0,00;0;0;.;.;.;;;
0119 Marker;0119;Marker;15,00;0,00;0,00;0;0;.;.;.;;;
0121 Rømskog;0121;Rømskog;0,00;.;0,00;0;.;.;.;.;;;
0122 Trøgstad;0122;Trøgstad;15,00;5,00;7,00;1,304509877;46,66666667;140,00;.;.;;;
0123 Spydeberg;0123;Spydeberg;15,00;10,00;7,00;1,245551601;46,66666667;70,00;.;.;;;
0124 Askim;0124;Askim;20,00;10,00;11,00;0,712896954;55;110,00;.;.;;;
0125 Eidsberg;0125;Eidsberg;25,00;12,00;5,00;0,441579087;20;41,67;.;.;;;
0127 Skiptvet;0127;Skiptvet;10,00;5,00;0,00;0;0;0,00;.;.;;;
0128 Rakkestad;0128;Rakkestad;15,00;6,00;6,00;0,752445448;40;100,00;.;.;;;
0135 Råde;0135;Råde;15,00;0,00;1,00;0,140765766;6,666666667;.;.;.;;;
0136 Rygge;0136;Rygge;15,00;.;4,00;0,26488312;26,66666667;.;.;.;;;
0137 Våler (Østfold);0137;Våler (Østf.);15,00;2,00;0,00;0;0;0,00;.;.;;;
0138 Hobøl;0138;Hobøl;15,00;3,00;3,00;0,578368999;20;100,00;.;.;;;
0211 Vestby;0211;Vestby;30,00;15,00;18,00;1,12895133;60;120,00;.;.;;;
0213 Ski;0213;Ski;50,00;20,00;39,00;1,320154357;78;195,00;.;.;;;
0214 Ås;0214;Ås;15,00;15,00;22,00;1,224330792;146,6666667;146,67;.;.;;;
0215 Frogn;0215;Frogn;15,00;10,00;19,00;1,212430604;126,6666667;190,00;.;.;;;
0216 Nesodden;0216;Nesodden;20,00;20,00;18,00;0,983767831;90;90,00;.;.;;;
0217 Oppegård;0217;Oppegård;35,00;35,00;26,00;0,990287564;74,28571429;74,29;.;.;;;
0219 Bærum;0219;Bærum;135,00;135,00;92,00;0,77579519;68,14814815;68,15;.;.;;;
0220 Asker;0220;Asker;70,00;50,00;46,00;0,788508348;65,71428571;92,00;.;.;;;
0221 Aurskog Høland;0221;Aurskog-Høland;20,00;10,00;12,00;0,774193548;60;120,00;.;.;;;
0226 Sørum;0226;Sørum;15,00;15,00;14,00;0,827520984;93,33333333;93,33;.;.;;;
0227 Fet;0227;Fet;15,00;10,00;10,00;0,905141202;66,66666667;100,00;.;.;;;
0228 Rælingen;0228;Rælingen;26,00;10,00;13,00;0,773533262;50;130,00;.;.;;;
0229 Enebakk;0229;Enebakk;15,00;5,00;4,00;0,376435159;26,66666667;80,00;.;.;;;
0230 Lørenskog;0230;Lørenskog;50,00;22,00;23,00;0,662881517;46;104,55;.;.;;;
0231 Skedsmo;0231;Skedsmo;70,00;60,00;78,00;1,523794639;111,4285714;130,00;.;.;;;
0233 Nittedal;0233;Nittedal;15,00;15,00;19,00;0,848782667;126,6666667;126,67;.;.;;;
0234 Gjerdrum;0234;Gjerdrum;15,00;10,00;5,00;0,794659886;33,33333333;50,00;.;.;;;
0235 Ullensaker;0235;Ullensaker;20,00;15,00;12,00;0,369936494;60;80,00;.;.;;;
0236 Nes (Akershus);0236;Nes (Ak.);20,00;20,00;17,00;0,843086689;85;85,00;.;.;;;
0237 Eidsvoll;0237;Eidsvoll;20,00;15,00;19,00;0,837410199;95;126,67;.;.;;;
0238 Nannestad;0238;Nannestad;15,00;10,00;10,00;0,854189801;66,66666667;100,00;.;.;;;
0239 Hurdal;0239;Hurdal;10,00;4,00;0,00;0;0;0,00;.;.;;;
0301 Oslo;0301;Oslo kommune;490,00;450,00;468,00;0,737631666;95,51020408;104,00;.;.;;;
0402 Kongsvinger;0402;Kongsvinger;28,00;25,00;9,00;0,504908836;32,14285714;36,00;.;.;;;
0403 Hamar;0403;Hamar;70,00;40,00;45,00;1,524390244;64,28571429;112,50;.;.;;;
0412 Ringsaker;0412;Ringsaker;28,00;30,00;19,00;0,567791292;67,85714286;63,33;.;.;;;
0415 Løten;0415;Løten;15,00;10,00;15,00;1,98780811;100;150,00;.;.;;;
0417 Stange;0417;Stange;30,00;35,00;37,00;1,874651669;123,3333333;105,71;.;.;;;
0418 Nord-Odal;0418;Nord-Odal;11,00;0,00;1,00;0,195388824;9,090909091;.;.;.;;;
0419 Sør-Odal;0419;Sør-Odal;11,00;10,00;10,00;1,274372372;90,90909091;100,00;.;.;;;
0420 Eidskog;0420;Eidskog;12,00;.;1,00;0,159923237;8,333333333;.;.;.;;;
0423 Grue;0423;Grue;12,00;3,00;3,00;0,606305578;25;100,00;.;.;;;
0425 Åsnes;0425;Åsnes;12,00;5,00;10,00;1,325556734;83,33333333;200,00;.;.;;;
0426 Våler (Hedm.);0426;Våler (Hedm.);0,00;.;0,00;0;.;.;.;.;;;
0427 Elverum;0427;Elverum;38,00;35,00;31,00;1,507562126;81,57894737;88,57;.;.;;;
0428 Trysil;0428;Trysil;12,00;10,00;7,00;1,057242108;58,33333333;70,00;.;.;;;
0429 Åmot;0429;Åmot;5,00;2,00;3,00;0,673400673;60;150,00;.;.;;;
0430 Stor-Elvdal;0430;Stor-Elvdal;12,00;5,00;5,00;1,852537977;41,66666667;100,00;.;.;;;
0432 Rendalen;0432;Rendalen;0,00;7,00;7,00;3,717472119;.;100,00;.;.;;;
0434 Engerdal;0434;Engerdal;10,00;5,00;13,00;9,665427509;130;260,00;.;.;;;
0436 Tolga;0436;Tolga;12,00;7,00;3,00;1,809408926;25;42,86;.;.;;;
0437 Tynset;0437;Tynset;18,00;15,00;18,00;3,243827717;100;120,00;.;.;;;
0438 Alvdal;0438;Alvdal;12,00;10,00;7,00;2,878289474;58,33333333;70,00;.;.;;;
0439 Folldal;0439;Folldal;10,00;.;4,00;2,452483139;40;.;.;.;;;
0441 Os (Hedm.);0441;Os (Hedm.);10,00;3,00;4,00;1,987083954;40;133,33;.;.;;;
0501 Lillehammer;0501;Lillehammer;60,00;45,00;50,00;1,849933402;83,33333333;111,11;.;.;;;
0502 Gjøvik;0502;Gjøvik;50,00;50,00;46,00;1,550492113;92;92,00;.;.;;;
0511 Dovre;0511;Dovre;10,00;5,00;5,00;1,849112426;50;100,00;.;.;;;
0512 Lesja;0512;Lesja;0,00;.;0,00;0;.;.;.;.;;;
0513 Skjåk;0513;Skjåk;10,00;7,00;5,00;2,208480565;50;71,43;.;.;;;
0514 Lom;0514;Lom;10,00;11,00;2,00;0,847098687;20;18,18;.;.;;;
0515 Vågå;0515;Vågå;15,00;10,00;14,00;3,798155182;93,33333333;140,00;.;.;;;
0516 Nord-Fron;0516;Nord-Fron;20,00;15,00;12,00;2,081526453;60;80,00;.;.;;;
0517 Sel;0517;Sel;10,00;5,00;13,00;2,176096418;130;260,00;.;.;;;
0519 Sør-Fron;0519;Sør-Fron;0,00;.;0,00;0;.;.;.;.;;;
0520 Ringebu;0520;Ringebu;10,00;5,00;0,00;0;0;0,00;.;.;;;
0521 Øyer;0521;Øyer;20,00;15,00;12,00;2,357563851;60;80,00;.;.;;;
0522 Gausdal;0522;Gausdal;10,00;5,00;5,00;0,801667468;50;100,00;.;.;;;
0528 Østre Toten;0528;Østre Toten;20,00;15,00;15,00;1,01509102;75;100,00;.;.;;;
0529 Vestre Toten;0529;Vestre Toten;20,00;15,00;21,00;1,606118547;105;140,00;.;.;;;
0532 Jevnaker;0532;Jevnaker;10,00;10,00;7,00;1,074278699;70;70,00;.;.;;;
0533 Lunner;0533;Lunner;35,00;30,00;30,00;3,351206434;85,71428571;100,00;.;.;;;
