"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear;;;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille;;;
01 Halden;01;Halden;30;10;10;0,331873092;33,33;100,00;.;.;;;
02 Indre Østfold;02;Indre Østfold;145;51;39;0,646733993;26,90;76,47;.;.;;;
03 Mosseregionen;03;Mosseregionen;85;22;28;0,478706126;32,94;127,27;.;.;;;
04 Nedre Glomma;04;Nedre Glomma;145;110;117;0,860066453;80,69;106,36;.;.;;;
05 Akershus Vest;05;Akershus Vest;205;185;138;0,779987113;67,32;74,59;.;.;;;
06 Follo;06;Follo;180;120;146;1,087086014;81,11;121,67;.;.;;;
07 Nedre Romerike;07;Nedre Romerike;211;142;169;1,002717424;80,09;119,01;.;.;;;
08 Øvre Romerike;08;Øvre Romerike;100;74;63;0,656352555;63,00;85,14;.;.;;;
09 Oslo;09;Oslo;490;450;468;0,737631666;95,51;104,00;.;.;;;
10 Fjellregionen;10;Fjellregionen;62;42;43;2,835289463;69,35;102,38;.;.;;;
11 Glåmdal;11;Glåmdal;86;43;34;0,637683334;39,53;79,07;.;.;;;
12 Hamarregionen;12;Hamarregionen;143;115;116;1,285090732;81,12;100,87;.;.;;;
13 Sør Østerdal;13;Sør Østerdal;77;57;59;1,653448421;76,62;103,51;.;.;;;
14 Gjøvikregionen;14;Gjøvikregionen;120;105;104;1,487392915;86,67;99,05;.;.;;;
15 Hadeland;15;Hadeland;78;73;72;2,476354256;92,31;98,63;.;.;;;
16 Lillehammerregionen;16;Lillehammerregionen;90;65;67;1,746838743;74,44;103,08;.;.;;;
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;30;20;12;0,892126979;40,00;60,00;.;.;;;
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;55;38;39;2,04563336;70,91;102,63;.;.;;;
19 Valdres;19;Valdres;57;30;28;1,559627917;49,12;93,33;.;.;;;
20 Drammensregionen;20;Drammensregionen;290;230;219;1,225613646;75,52;95,22;.;.;;;
21 Hallingdal;21;Hallingdal;70;37;32;1,555739219;45,71;86,49;.;.;;;
22 Kongsberg/Numedal;22;Kongsberg/Numedal;91;59;62;1,877934272;68,13;105,08;.;.;;;
23 Midt-Buskerud;23;Midt-Buskerud;40;30;28;1,446654611;70,00;93,33;.;.;;;
24 Ringerike/Hole;24;Ringerike/Hole;54;39;33;0,911123996;61,11;84,62;.;.;;;
25 Tønsbergregionen;25;Tønsbergregionen;205;146;123;0,914158305;60,00;84,25;.;.;;;
26 Sandefjord/Larvik;26;Sandefjord/Larvik;105;75;61;0,672591351;58,10;81,33;.;.;;;
27 Grenland;27;Grenland;300;228;213;1,77045583;71,00;93,42;.;.;;;
28 Midt-Telemark;28;Midt-Telemark;55;39;41;2,440185692;74,55;105,13;.;.;;;
29 Øst-Telemark;29;Øst-Telemark;70;50;58;2,875842919;82,86;116,00;.;.;;;
30 Vest-Telemark;30;Vest-Telemark;30;30;16;1,12747516;53,33;53,33;.;.;;;
31 Setesdal;31;Setesdal;40;23;18;2,58360844;45,00;78,26;.;.;;;
32 Arendalregionen;32;Arendalregionen;245;135;145;1,604568039;59,18;107,41;.;.;;;
33 Lister;33;Lister;145;85;86;2,386038898;59,31;101,18;.;.;;;
34 Mandalsregionen;34;Mandalsregionen;100;58;58;2,305429684;58,00;100,00;.;.;;;
35 Kristiansandregionen;35;Kristiansandregionen;340;252;232;1,735357918;68,24;92,06;.;.;;;
36 Dalane;36;Dalane;80;45;51;2,111014529;63,75;113,33;.;.;;;
37 Haugesundregionen;37;Haugesundregionen;265;116;115;1,115357011;43,40;99,14;.;.;;;
38 Ryfylke;38;Ryfylke;105;35;37;1,601246376;35,24;105,71;.;.;;;
39 Stavangerregionen;39;Stavangerregionen;495;287;247;0,7986988;49,90;86,06;.;.;;;
40 Bergen;40;Bergen;340;300;318;1,169336898;93,53;106,00;.;.;;;
41 Bjørnefjorden;41;Bjørnefjorden;60;10;9;0,360822676;15,00;90,00;.;.;;;
42 Hardanger;42;Hardanger;100;55;45;1,955841446;45,00;81,82;.;.;;;
43 Voss;43;Voss;40;25;25;1,764539808;62,50;100,00;.;.;;;
44 Nordhordland;44;Nordhordland;105;48;33;1,007972143;31,43;68,75;.;.;;;
45 Osterfjorden;45;Osterfjorden;50;6;8;0,650512278;16,00;133,33;.;.;;;
46 Sunnhordland;46;Sunnhordland;195;38;61;0,959059179;31,28;160,53;.;.;;;
47 Hordaland Vest;47;Hordaland Vest;150;60;51;0,815517214;34,00;85,00;.;.;;;
