"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.promille;enhet.prosent;enhet.prosent;enhet.personer;enhet.promille
01 Halden;1;Halden;35;21;22;0,725402269;62,86;104,76;38;0,42
02 Indre Østfold;2;Indre Østfold;135;50;35;0,576710771;25,93;70;119;0,66
03 Mosseregionen;3;Mosseregionen;90;45;42;0,707666386;46,67;93,33;119;0,68
04 Nedre Glomma;4;Nedre Glomma;175;149;130;0,950077102;74,29;87,25;344;0,84
05 Akershus Vest;5;Akershus Vest;235;205;164;0,909817149;69,79;80;451;0,85
06 Follo;6;Follo;196;159;181;1,331313072;92,35;113,84;417;1,04
07 Nedre Romerike;7;Nedre Romerike;217;180;153;0,895947157;70,51;85;454;0,9
08 Øvre Romerike;8;Øvre Romerike;119;92;92;0,939561674;77,31;100;210;0,73
09 Oslo;9;Oslo;500;500;495;0,764271024;99;99;1422;0,75
10 Fjellregionen;10;Fjellregionen;75;54;51;3,375471573;68;94,44;122;2,68
11 Glåmdal;11;Glåmdal;105;52;55;1,033213105;52,38;105,77;123;0,77
12 Hamarregionen;12;Hamarregionen;175;113;123;1,351425589;70,29;108,85;320;1,18
13 Sør Østerdal;13;Sør Østerdal;95;68;60;1,67611811;63,16;88,24;163;1,52
14 Gjøvikregionen;14;Gjøvikregionen;140;120;111;1,573954596;79,29;92,5;304;1,45
15 Hadeland;15;Hadeland;100;90;83;2,834021921;83;92,22;223;2,56
16 Lillehammerregionen;16;Lillehammerregionen;85;75;63;1,633182113;74,12;84;199;1,73
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;40;30;30;2,235969293;75;100;66;1,63
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;67;47;59;3,097925965;88,06;125,53;123;2,15
19 Valdres;19;Valdres;65;38;31;1,726057906;47,69;81,58;81;1,5
20 Drammensregionen;20;Drammensregionen;345;248;261;1,444063295;75,65;105,24;708;1,32
21 Hallingdal;21;Hallingdal;85;52;56;2,722940776;65,88;107,69;130;2,11
22 Kongsberg/Numedal;22;Kongsberg/Numedal;80;51;53;1,591687188;66,25;103,92;157;1,59
23 Midt-Buskerud;23;Midt-Buskerud;55;26;24;1,232475736;43,64;92,31;77;1,33
24 Ringerike/Hole;24;Ringerike/Hole;65;60;34;0,933809393;52,31;56,67;100;0,92
25 Tønsbergregionen;25;Tønsbergregionen;230;163;167;1,231000575;72,61;102,45;400;0,99
26 Sandefjord/Larvik;26;Sandefjord/Larvik;115;115;99;1,084931507;86,09;86,09;226;0,83
27 Grenland;27;Grenland;325;213;240;1,987610561;73,85;112,68;690;1,91
28 Midt-Telemark;28;Midt-Telemark;65;48;47;2,772370672;72,31;97,92;128;2,53
29 Øst-Telemark;29;Øst-Telemark;80;69;77;3,829702576;96,25;111,59;185;3,07
30 Vest-Telemark;30;Vest-Telemark;70;38;24;1,696592676;34,29;63,16;52;1,22
31 Setesdal;31;Setesdal;45;30;30;4,322766571;66,67;100;53;2,54
32 Arendalregionen;32;Arendalregionen;265;213;200;2,194498393;75,47;93,9;489;1,8
33 Lister;33;Lister;160;100;97;2,659064119;60,63;97;244;2,25
34 Mandalsregionen;34;Mandalsregionen;100;75;73;2,886973029;73;97,33;165;2,19
35 Kristiansandregionen;35;Kristiansandregionen;380;332;332;2,444735718;87,37;100;778;1,94
36 Dalane;36;Dalane;80;65;51;2,095919122;63,75;78,46;129;1,78
37 Haugesundregionen;37;Haugesundregionen;216;128;125;1,201357053;57,87;97,66;372;1,2
38 Ryfylke;38;Ryfylke;98;44;47;2,006232125;47,96;106,82;110;1,59
39 Stavangerregionen;39;Stavangerregionen;428;345;341;1,084284865;79,67;98,84;859;0,93
40 Bergen;40;Bergen;350;350;323;1,174067289;92,29;92,29;919;1,13
41 Bjørnefjorden;41;Bjørnefjorden;50;20;17;0,669871542;34;85;35;0,47
42 Hardanger;42;Hardanger;100;50;48;2,088772846;48;96;121;1,75
43 Voss;43;Voss;30;30;34;2,369833415;113,33;113,33;74;1,74
44 Nordhordland;44;Nordhordland;103;52;59;1,77310293;57,28;113,46;104;1,06
