Bydel;bydel_nr;Bydel;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak
Type tall;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
0301 Oslo;301;Oslo;.;.;495;.;.;.
030101 Gamle Oslo;30101;Gamle Oslo;.;.;32;.;.;.
030102 Grünerløkka;30102;Grünerløkka;.;.;37;.;.;.
030103 Sagene;30103;Sagene;.;.;30;.;.;.
030104 St. Hanshaugen;30104;St. Hanshaugen;.;.;28;.;.;.
030105 Frogner;30105;Frogner;.;.;47;.;.;.
030106 Ullern;30106;Ullern;.;.;26;.;.;.
030107 Vestre Aker;30107;Veste Aker;.;.;48;.;.;.
030108 Nordre Aker;30108;Nordre Aker;.;.;22;.;.;.
030109 Bjerke;30109;Bjerke;.;.;28;.;.;.
030110 Grorud;30110;Grorud;.;.;20;.;.;.
030111 Stovner;30111;Stovner;.;.;30;.;.;.
030112 Alna;30112;Alna;.;.;44;.;.;.
030113 Østensjø;30113;Østensjø;.;.;34;.;.;.
030114 Nordstrand;30114;Nordstrand;.;.;34;.;.;.
030115 Søndre Nordstrand;30115;Søndre Nordstrand;.;.;29;.;.;.
030116 Sentrum;30116;Sentrum;.;.;0;.;.;.
030117 Marka;30117;Marka;.;.;0;.;.;.
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;.;.;6;.;.;.
