fylke;fylke_nr;fylke_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
00 Hele landet;0;Hele landet;8801;100;5757;65,41;6084;69,13;;;;;;;;
01 Østfold;1;Østfold;425;100;197;46,35;201;47,29;;;;;;;;
02 Akershus;2;Akershus;764;100;426;55,76;525;68,72;;;;;;;;
03 Oslo;3;Oslo;450;100;459;102;410;91,11;;;;;;;;
04 Hedmark;4;Hedmark;366;100;187;51,09;265;72,40;;;;;;;;
05 Oppland;5;Oppland;427;100;297;69,56;317;74,24;;;;;;;;
06 Buskerud;6;Buskerud;499;100;354;70,94;390;78,16;;;;;;;;
07 Vestfold;7;Vestfold;395;100;192;48,61;216;54,68;;;;;;;;
08 Telemark;8;Telemark;445;100;339;76,18;347;77,98;;;;;;;;
09 Aust-Agder;9;Aust-Agder;305;100;175;57,38;191;62,62;;;;;;;;
10 Vest-Agder;10;Vest-Agder;450;100;283;62,89;330;73,33;;;;;;;;
11 Rogaland;11;Rogaland;694;100;456;65,71;456;65,71;;;;;;;;
12 Hordaland;12;Hordaland;834;100;464;55,64;441;52,88;;;;;;;;
14 Sogn og Fjordane;14;Sogn og Fjordane;390;100;109;27,95;117;30,00;;;;;;;;
15 Møre og Romsdal;15;Møte og Romsdal;435;100;284;65,29;321;73,79;;;;;;;;
16 Sør-Trøndelag;16;Sør-Trøndelag;436;100;339;77,75;358;82,11;;;;;;;;
17 Nord-Trøndelag;17;Nord-Trøndelag;286;100;263;91,96;251;87,76;;;;;;;;
18 Nordland;18;Nordland;685;100;470;68,61;549;80,15;;;;;;;;
19 Troms Romsa;19;Troms Romsa;305;100;293;96,07;233;76,39;;;;;;;;
20 Finnmark Finnmárku;20;Finnmark Finnmárku;210;100;170;80,95;166;79,05;;;;;;;;
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;;;;;;;;
