fylke;fylke_nr;fylke_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
00 Hele landet;0;Hele landet;10973;100;7784;70,94;8084;73,67
01 Østfold;1;Østfold;435;100;229;52,64;265;60,92
02 Akershus;2;Akershus;767;100;590;76,92;636;82,92
03 Oslo;3;Oslo;500;100;495;99;500;100,00
04 Hedmark;4;Hedmark;450;100;289;64,22;287;63,78
05 Oppland;5;Oppland;497;100;377;75,86;400;80,48
06 Buskerud;6;Buskerud;600;100;412;68,67;421;70,17
07 Vestfold;7;Vestfold;375;100;282;75,2;294;78,40
08 Telemark;8;Telemark;540;100;388;71,85;368;68,15
09 Aust-Agder;9;Aust-Agder;380;100;276;72,63;295;77,63
10 Vest-Agder;10;Vest-Agder;570;100;456;80;455;79,82
11 Rogaland;11;Rogaland;822;100;564;68,61;582;70,80
12 Hordaland;12;Hordaland;936;100;652;69,66;686;73,29
14 Sogn og Fjordane;14;Sogn og Fjordane;406;100;229;56,4;301;74,14
15 Møre og Romsdal;15;Møte og Romsdal;735;100;451;61,36;443;60,27
16 Sør-Trøndelag;16;Sør-Trøndelag;670;100;496;74,03;518;77,31
17 Nord-Trøndelag;17;Nord-Trøndelag;425;100;343;80,71;333;78,35
18 Nordland;18;Nordland;915;100;598;65,36;650;71,04
19 Troms Romsa;19;Troms Romsa;525;100;341;64,95;408;77,71
20 Finnmark Finnmárku;20;Finnmark Finnmárku;425;100;251;59,06;242;56,94
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;65;.;.;.
