kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
0101 Halden;101;Halden;30;100;10;33,33333333;10;33,33;;;;;;;;
0104 Moss;104;Moss;40;100;23;57,5;20;50,00;;;;;;;;
0105 Sarpsborg;105;Sarpsborg;50;100;54;108;50;100,00;;;;;;;;
0106 Fredrikstad;106;Fredrikstad;85;100;47;55,29411765;50;58,82;;;;;;;;
0111 Hvaler;111;Hvaler;10;100;16;160;10;100,00;;;;;;;;
0118 Aremark;118;Aremark;15;100;0;0;0;0,00;;;;;;;;
0119 Marker;119;Marker;15;100;0;0;0;0,00;;;;;;;;
0121 Rømskog;121;Rømskog;0;.;0;.;.;.;;;;;;;;
0122 Trøgstad;122;Trøgstad;15;100;7;46,66666667;5;33,33;;;;;;;;
0123 Spydeberg;123;Spydeberg;15;100;7;46,66666667;10;66,67;;;;;;;;
0124 Askim;124;Askim;20;100;11;55;10;50,00;;;;;;;;
0125 Eidsberg;125;Eidsberg;25;100;5;20;12;48,00;;;;;;;;
0127 Skiptvet;127;Skiptvet;10;100;0;0;5;50,00;;;;;;;;
0128 Rakkestad;128;Rakkestad;15;100;6;40;6;40,00;;;;;;;;
0135 Råde;135;Råde;15;100;1;6,666666667;0;0,00;;;;;;;;
0136 Rygge;136;Rygge;15;100;4;26,66666667;.;.;;;;;;;;
0137 Våler (Østfold);137;Våler (Østf.);15;100;0;0;2;13,33;;;;;;;;
0138 Hobøl;138;Hobøl;15;100;3;20;3;20,00;;;;;;;;
0211 Vestby;211;Vestby;30;100;18;60;15;50,00;;;;;;;;
0213 Ski;213;Ski;50;100;39;78;20;40,00;;;;;;;;
0214 Ås;214;Ås;15;100;22;146,6666667;15;100,00;;;;;;;;
0215 Frogn;215;Frogn;15;100;19;126,6666667;10;66,67;;;;;;;;
0216 Nesodden;216;Nesodden;20;100;18;90;20;100,00;;;;;;;;
