kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_av_vedtak;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
0101 Halden;101;Halden;10;100;6;60;30;300,00
0104 Moss;104;Moss;20;100;34;170;50;250,00
0105 Sarpsborg;105;Sarpsborg;60;100;44;73,33;60;100,00
0106 Fredrikstad;106;Fredrikstad;50;100;48;96;100;200,00
0111 Hvaler;111;Hvaler;4;100;5;125;10;250,00
0118 Aremark;118;Aremark;.;.;0;.;15;.
0119 Marker;119;Marker;3;100;5;166,67;15;500,00
0121 Rømskog;121;Rømskog;.;.;0;.;0;.
0122 Trøgstad;122;Trøgstad;5;100;5;100;15;300,00
0123 Spydeberg;123;Spydeberg;10;100;11;110;15;150,00
0124 Askim;124;Askim;10;100;9;90;25;250,00
0125 Eidsberg;125;Eidsberg;12;100;7;58,33;25;208,33
0127 Skiptvet;127;Skiptvet;5;100;8;160;5;100,00
0128 Rakkestad;128;Rakkestad;0;.;0;.;15;.
0135 Råde;135;Råde;10;100;11;110;15;150,00
0136 Rygge;136;Rygge;2;100;4;200;10;500,00
0137 Våler (Østfold);137;Våler (Østf.);.;.;0;.;5;.
0138 Hobøl;138;Hobøl;.;.;0;.;15;.
0211 Vestby;211;Vestby;10;100;12;120;20;200,00
0213 Ski;213;Ski;50;100;33;66;50;100,00
0214 Ås;214;Ås;15;100;14;93,33;15;100,00
0215 Frogn;215;Frogn;10;100;6;60;15;150,00
0216 Nesodden;216;Nesodden;20;100;12;60;30;150,00
0217 Oppegård;217;Oppegård;30;100;8;26,67;45;150,00
0219 Bærum;219;Bærum;135;100;101;74,81;155;114,81
0220 Asker;220;Asker;50;100;48;96;85;170,00
0221 Aurskog Høland;221;Aurskog-Høland;10;100;9;90;16;160,00
0226 Sørum;226;Sørum;10;100;9;90;15;150,00
0227 Fet;227;Fet;10;100;13;130;16;160,00
0228 Rælingen;228;Rælingen;10;100;15;150;32;320,00
0229 Enebakk;229;Enebakk;5;100;5;100;15;300,00
0230 Lørenskog;230;Lørenskog;20;100;23;115;65;325,00
0231 Skedsmo;231;Skedsmo;60;100;53;88,33;60;100,00
0233 Nittedal;233;Nittedal;15;100;10;66,67;21;140,00
0234 Gjerdrum;234;Gjerdrum;10;100;2;20;13;130,00
0235 Ullensaker;235;Ullensaker;10;100;11;110;25;250,00
0236 Nes (Akershus);236;Nes (Ak.);20;100;19;95;25;125,00
0237 Eidsvoll;237;Eidsvoll;15;100;15;100;20;133,33
0238 Nannestad;238;Nannestad;10;100;8;80;13;130,00
0239 Hurdal;239;Hurdal;.;.;0;.;13;.
0301 Oslo;301;Oslo kommune;410;100;459;111,95;450;109,76
0402 Kongsvinger;402;Kongsvinger;25;100;8;32;31;124,00
0403 Hamar;403;Hamar;40;100;40;100;47;117,50
0412 Ringsaker;412;Ringsaker;25;100;7;28;31;124,00
0415 Løten;415;Løten;10;100;8;80;13;130,00
0417 Stange;417;Stange;25;100;26;104;36;144,00
0418 Nord-Odal;418;Nord-Odal;10;100;1;10;13;130,00
0419 Sør-Odal;419;Sør-Odal;10;100;6;60;13;130,00
0420 Eidskog;420;Eidskog;.;.;1;.;10;.
0423 Grue;423;Grue;4;100;4;100;15;375,00
0425 Åsnes;425;Åsnes;19;100;14;73,68;15;78,95
0426 Våler (Hedm.);426;Våler (Hedm.);.;.;0;.;0;.
0427 Elverum;427;Elverum;35;100;27;77,14;41;117,14
0428 Trysil;428;Trysil;8;100;9;112,5;14;175,00
0429 Åmot;429;Åmot;2;100;0;0;2;100,00
0430 Stor-Elvdal;430;Stor-Elvdal;.;.;3;.;14;.
0432 Rendalen;432;Rendalen;.;.;0;.;0;.
0434 Engerdal;434;Engerdal;5;100;5;100;10;200,00
0436 Tolga;436;Tolga;7;100;7;100;14;200,00
0437 Tynset;437;Tynset;15;100;15;100;19;126,67
0438 Alvdal;438;Alvdal;10;100;5;50;10;100,00
0439 Folldal;439;Folldal;8;100;0;0;8;100,00
0441 Os (Hedm.);441;Os (Hedm.);7;100;1;14,29;10;142,86
0501 Lillehammer;501;Lillehammer;45;100;48;106,67;57;126,67
0502 Gjøvik;502;Gjøvik;50;100;44;88;50;100,00
0511 Dovre;511;Dovre;.;.;6;.;9;.
0512 Lesja;512;Lesja;.;.;0;.;0;.
0513 Skjåk;513;Skjåk;5;100;3;60;12;240,00
0514 Lom;514;Lom;11;100;0;0;10;90,91
0515 Vågå;515;Vågå;12;100;10;83,33;14;116,67
0516 Nord-Fron;516;Nord-Fron;15;100;13;86,67;19;126,67
0517 Sel;517;Sel;5;100;6;120;9;180,00
0519 Sør-Fron;519;Sør-Fron;.;.;1;.;5;.
0520 Ringebu;520;Ringebu;5;100;10;200;16;320,00
0521 Øyer;521;Øyer;15;100;16;106,67;20;133,33
0522 Gausdal;522;Gausdal;5;100;5;100;10;200,00
0528 Østre Toten;528;Østre Toten;15;100;11;73,33;19;126,67
0529 Vestre Toten;529;Vestre Toten;15;100;12;80;19;126,67
0532 Jevnaker;532;Jevnaker;10;100;5;50;10;100,00
0533 Lunner;533;Lunner;25;100;33;132;30;120,00
0534 Gran;534;Gran;30;100;30;100;35;116,67
0536 Søndre Land;536;Søndre Land;10;100;7;70;10;100,00
0538 Nordre Land;538;Nordre Land;15;100;15;100;19;126,67
0540 Sør-Aurdal;540;Sør-Aurdal;7;100;4;57,14;10;142,86
0541 Etnedal;541;Etnedal;.;.;2;.;10;.
0542 Nord-Aurdal;542;Nord-Aurdal;10;100;12;120;14;140,00
0543 Vestre Slidre;543;Vestre Slidre;5;100;0;0;9;180,00
0544 Øystre Slidre;544;Øystre Slidre;5;100;2;40;9;180,00
0545 Vang;545;Vang;2;100;2;100;2;100,00
0602 Drammen;602;Drammen;124;100;133;107,26;124;100,00
0604 Kongsberg;604;Kongsberg;35;100;23;65,71;45;128,57
0605 Ringerike;605;Ringerike;30;100;29;96,67;39;130,00
0612 Hole;612;Hole;10;100;4;40;13;130,00
0615 Flå;615;Flå;.;.;0;.;0;.
0616 Nes (Busk.);616;Nes (Busk.);10;100;9;90;12;120,00
0617 Gol;617;Gol;10;100;11;110;18;180,00
0618 Hemsedal;618;Hemsedal;12;100;7;58,33;15;125,00
0619 Ål;619;Ål;10;100;12;120;13;130,00
0620 Hol;620;Hol;5;100;3;60;12;240,00
0621 Sigdal;621;Sigdal;5;100;4;80;8;160,00
0622 Krødsherad;622;Krødsherad;.;.;0;.;5;.
0623 Modum;623;Modum;20;100;21;105;20;100,00
0624 Øvre Eiker;624;Øvre Eiker;20;100;19;95;27;135,00
0625 Nedre Eiker;625;Nedre Eiker;15;100;12;80;25;166,67
0626 Lier;626;Lier;20;100;18;90;27;135,00
0627 Røyken;627;Røyken;20;100;16;80;27;135,00
0628 Hurum;628;Hurum;20;100;14;70;27;135,00
0631 Flesberg;631;Flesberg;10;100;8;80;13;130,00
0632 Rollag;632;Rollag;8;100;4;50;17;212,50
0633 Nore og Uvdal;633;Nore og Uvdal;6;100;7;116,67;12;200,00
0701 Horten;701;Horten;15;100;21;140;40;266,67
0702 Holmestrand;702;Holmestrand;8;100;9;112,5;18;225,00
0704 Tønsberg;704;Tønsberg;30;100;23;76,67;50;166,67
0706 Sandefjord;706;Sandefjord;30;100;30;100;50;166,67
0709 Larvik;709;Larvik;40;100;32;80;50;125,00
0711 Svelvik;711;Svelvik;5;100;5;100;13;260,00
0713 Sande (Vestf.);713;Sande (Vestf.);10;100;11;110;18;180,00
0714 Hof;714;Hof;5;100;0;0;13;260,00
0716 Re;716;Re (f.o.m. 2002);15;100;5;33,33;25;166,67
0719 Andebu;719;Andebu;.;.;1;.;25;.
0720 Stokke;720;Stokke;20;100;27;135;25;125,00
0722 Nøtterøy;722;Nøtterøy;25;100;19;76;30;120,00
0723 Tjøme;723;Tjøme;8;100;5;62,5;18;225,00
0728 Lardal;728;Lardal;5;100;4;80;20;400,00
0805 Porsgrunn;805;Porsgrunn;50;100;43;86;70;140,00
0806 Skien;806;Skien;90;100;95;105,56;100;111,11
0807 Notodden;807;Notodden;30;100;34;113,33;40;133,33
0811 Siljan;811;Siljan;15;100;15;100;15;100,00
0814 Bamble;814;Bamble;41;100;42;102,44;40;97,56
0815 Kragerø;815;Kragerø;40;100;37;92,5;40;100,00
0817 Drangedal;817;Drangedal;4;100;5;125;15;375,00
0819 Nome;819;Nome;10;100;11;110;20;200,00
0821 Bø (Telemark);821;Bø (Telem.);10;100;6;60;25;250,00
