kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
0101 Halden;101;Halden;10;100;10;100;30;300,00
0104 Moss;104;Moss;20;100;23;115;40;200,00
0105 Sarpsborg;105;Sarpsborg;50;100;54;108;50;100,00
0106 Fredrikstad;106;Fredrikstad;50;100;47;94;85;170,00
0111 Hvaler;111;Hvaler;10;100;16;160;10;100,00
0118 Aremark;118;Aremark;0;.;0;.;15;.
0119 Marker;119;Marker;0;.;0;.;15;.
0121 Rømskog;121;Rømskog;.;.;0;.;0;.
0122 Trøgstad;122;Trøgstad;5;100;7;140;15;300,00
0123 Spydeberg;123;Spydeberg;10;100;7;70;15;150,00
0124 Askim;124;Askim;10;100;11;110;20;200,00
0125 Eidsberg;125;Eidsberg;12;100;5;41,67;25;208,33
0127 Skiptvet;127;Skiptvet;5;100;0;0;10;200,00
0128 Rakkestad;128;Rakkestad;6;100;6;100;15;250,00
0135 Råde;135;Råde;0;.;1;.;15;.
0136 Rygge;136;Rygge;.;.;4;.;15;.
0137 Våler (Østfold);137;Våler (Østf.);2;100;0;0;15;750,00
0138 Hobøl;138;Hobøl;3;100;3;100;15;500,00
0211 Vestby;211;Vestby;15;100;18;120;30;200,00
0213 Ski;213;Ski;20;100;39;195;50;250,00
0214 Ås;214;Ås;15;100;22;146,67;15;100,00
0215 Frogn;215;Frogn;10;100;19;190;15;150,00
0216 Nesodden;216;Nesodden;20;100;18;90;20;100,00
0217 Oppegård;217;Oppegård;35;100;26;74,29;35;100,00
0219 Bærum;219;Bærum;135;100;92;68,15;135;100,00
0220 Asker;220;Asker;50;100;46;92;70;140,00
0221 Aurskog Høland;221;Aurskog-Høland;10;100;12;120;20;200,00
0226 Sørum;226;Sørum;15;100;14;93,33;15;100,00
0227 Fet;227;Fet;10;100;10;100;15;150,00
0228 Rælingen;228;Rælingen;10;100;13;130;26;260,00
0229 Enebakk;229;Enebakk;5;100;4;80;15;300,00
0230 Lørenskog;230;Lørenskog;22;100;23;104,55;50;227,27
0231 Skedsmo;231;Skedsmo;60;100;78;130;70;116,67
0233 Nittedal;233;Nittedal;15;100;19;126,67;15;100,00
0234 Gjerdrum;234;Gjerdrum;10;100;5;50;15;150,00
0235 Ullensaker;235;Ullensaker;15;100;12;80;20;133,33
0236 Nes (Akershus);236;Nes (Ak.);20;100;17;85;20;100,00
