"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
01 Halden;1;Halden;21;100;22;104,76;35;166,67
02 Indre Østfold;2;Indre Østfold;50;100;35;70;135;270,00
03 Mosseregionen;3;Mosseregionen;45;100;42;93,33;90;200,00
04 Nedre Glomma;4;Nedre Glomma;149;100;130;87,25;175;117,45
05 Akershus Vest;5;Akershus Vest;205;100;164;80;235;114,63
06 Follo;6;Follo;159;100;181;113,84;196;123,27
07 Nedre Romerike;7;Nedre Romerike;180;100;153;85;217;120,56
08 Øvre Romerike;8;Øvre Romerike;92;100;92;100;119;129,35
09 Oslo;9;Oslo;500;100;495;99;500;100,00
10 Fjellregionen;10;Fjellregionen;54;100;51;94,44;75;138,89
11 Glåmdal;11;Glåmdal;52;100;55;105,77;105;201,92
12 Hamarregionen;12;Hamarregionen;113;100;123;108,85;175;154,87
13 Sør Østerdal;13;Sør Østerdal;68;100;60;88,24;95;139,71
14 Gjøvikregionen;14;Gjøvikregionen;120;100;111;92,5;140;116,67
15 Hadeland;15;Hadeland;90;100;83;92,22;100;111,11
16 Lillehammerregionen;16;Lillehammerregionen;75;100;63;84;85;113,33
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;30;100;30;100;40;133,33
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;47;100;59;125,53;67;142,55
19 Valdres;19;Valdres;38;100;31;81,58;65;171,05
20 Drammensregionen;20;Drammensregionen;248;100;261;105,24;345;139,11
21 Hallingdal;21;Hallingdal;52;100;56;107,69;85;163,46
22 Kongsberg/Numedal;22;Kongsberg/Numedal;51;100;53;103,92;80;156,86
23 Midt-Buskerud;23;Midt-Buskerud;26;100;24;92,31;55;211,54
24 Ringerike/Hole;24;Ringerike/Hole;60;100;34;56,67;65;108,33
25 Tønsbergregionen;25;Tønsbergregionen;163;100;167;102,45;230;141,10
