Bydel;bydel_nr;Bydel;bosetting.bosatt_per_1000
Type tall;;;enhet.promille
0301 Oslo;301;Oslo;0,76
030101 Gamle Oslo;30101;Gamle Oslo;0,64
030102 Grünerløkka;30102;Grünerløkka;0,68
030103 Sagene;30103;Sagene;0,75
030104 St. Hanshaugen;30104;St. Hanshaugen;0,77
030105 Frogner;30105;Frogner;0,84
030106 Ullern;30106;Ullern;0,81
030107 Vestre Aker;30107;Veste Aker;1,02
030108 Nordre Aker;30108;Nordre Aker;0,45
030109 Bjerke;30109;Bjerke;0,92
030110 Grorud;30110;Grorud;0,73
030111 Stovner;30111;Stovner;0,95
030112 Alna;30112;Alna;0,9
030113 Østensjø;30113;Østensjø;0,69
030114 Nordstrand;30114;Nordstrand;0,69
030115 Søndre Nordstrand;30115;Søndre Nordstrand;0,76
030116 Sentrum;30116;Sentrum;0
030117 Marka;30117;Marka;0
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1,16
