kommune;kommune_nr;kommune_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
0101 Halden;101;Halden;0,331873092
0104 Moss;104;Moss;0,734636515
0105 Sarpsborg;105;Sarpsborg;0,9989086
0106 Fredrikstad;106;Fredrikstad;0,605740356
0111 Hvaler;111;Hvaler;3,647970816
0118 Aremark;118;Aremark;0
0119 Marker;119;Marker;0
0121 Rømskog;121;Rømskog;0
0122 Trøgstad;122;Trøgstad;1,304509877
0123 Spydeberg;123;Spydeberg;1,245551601
0124 Askim;124;Askim;0,712896954
0125 Eidsberg;125;Eidsberg;0,441579087
0127 Skiptvet;127;Skiptvet;0
0128 Rakkestad;128;Rakkestad;0,752445448
0135 Råde;135;Råde;0,140765766
0136 Rygge;136;Rygge;0,26488312
0137 Våler (Østfold);137;Våler (Østf.);0
0138 Hobøl;138;Hobøl;0,578368999
0211 Vestby;211;Vestby;1,12895133
0213 Ski;213;Ski;1,320154357
0214 Ås;214;Ås;1,224330792
0215 Frogn;215;Frogn;1,212430604
0216 Nesodden;216;Nesodden;0,983767831
0217 Oppegård;217;Oppegård;0,990287564
0219 Bærum;219;Bærum;0,77579519
0220 Asker;220;Asker;0,788508348
0221 Aurskog Høland;221;Aurskog-Høland;0,774193548
0226 Sørum;226;Sørum;0,827520984
0227 Fet;227;Fet;0,905141202
0228 Rælingen;228;Rælingen;0,773533262
0229 Enebakk;229;Enebakk;0,376435159
0230 Lørenskog;230;Lørenskog;0,662881517
0231 Skedsmo;231;Skedsmo;1,523794639
0233 Nittedal;233;Nittedal;0,848782667
0234 Gjerdrum;234;Gjerdrum;0,794659886
0235 Ullensaker;235;Ullensaker;0,369936494
0236 Nes (Akershus);236;Nes (Ak.);0,843086689
0237 Eidsvoll;237;Eidsvoll;0,837410199
0238 Nannestad;238;Nannestad;0,854189801
0239 Hurdal;239;Hurdal;0
0301 Oslo;301;Oslo kommune;0,737631666
0402 Kongsvinger;402;Kongsvinger;0,504908836
0403 Hamar;403;Hamar;1,524390244
0412 Ringsaker;412;Ringsaker;0,567791292
0415 Løten;415;Løten;1,98780811
0417 Stange;417;Stange;1,874651669
0418 Nord-Odal;418;Nord-Odal;0,195388824
0419 Sør-Odal;419;Sør-Odal;1,274372372
0420 Eidskog;420;Eidskog;0,159923237
0423 Grue;423;Grue;0,606305578
0425 Åsnes;425;Åsnes;1,325556734
0426 Våler (Hedm.);426;Våler (Hedm.);0
0427 Elverum;427;Elverum;1,507562126
0428 Trysil;428;Trysil;1,057242108
0429 Åmot;429;Åmot;0,673400673
0430 Stor-Elvdal;430;Stor-Elvdal;1,852537977
0432 Rendalen;432;Rendalen;3,717472119
0434 Engerdal;434;Engerdal;9,665427509
0436 Tolga;436;Tolga;1,809408926
0437 Tynset;437;Tynset;3,243827717
0438 Alvdal;438;Alvdal;2,878289474
0439 Folldal;439;Folldal;2,452483139
0441 Os (Hedm.);441;Os (Hedm.);1,987083954
0501 Lillehammer;501;Lillehammer;1,849933402
0502 Gjøvik;502;Gjøvik;1,550492113
0511 Dovre;511;Dovre;1,849112426
0512 Lesja;512;Lesja;0
0513 Skjåk;513;Skjåk;2,208480565
0514 Lom;514;Lom;0,847098687
0515 Vågå;515;Vågå;3,798155182
0516 Nord-Fron;516;Nord-Fron;2,081526453
0517 Sel;517;Sel;2,176096418
0519 Sør-Fron;519;Sør-Fron;0
0520 Ringebu;520;Ringebu;0
0521 Øyer;521;Øyer;2,357563851
0522 Gausdal;522;Gausdal;0,801667468
0528 Østre Toten;528;Østre Toten;1,01509102
0529 Vestre Toten;529;Vestre Toten;1,606118547
0532 Jevnaker;532;Jevnaker;1,074278699
0533 Lunner;533;Lunner;3,351206434
0534 Gran;534;Gran;2,572205482
0536 Søndre Land;536;Søndre Land;1,227854762
0538 Nordre Land;538;Nordre Land;2,23880597
0540 Sør-Aurdal;540;Sør-Aurdal;2,872646026
0541 Etnedal;541;Etnedal;4,261363636
0542 Nord-Aurdal;542;Nord-Aurdal;1,558360605
0543 Vestre Slidre;543;Vestre Slidre;0
0544 Øystre Slidre;544;Øystre Slidre;0,623830318
0545 Vang;545;Vang;0,624219725
0602 Drammen;602;Drammen;1,736792823
0604 Kongsberg;604;Kongsberg;1,211845793
0605 Ringerike;605;Ringerike;0,776397516
0612 Hole;612;Hole;1,516300227
0615 Flå;615;Flå;0
0616 Nes (Busk.);616;Nes (Busk.);2,031930334
0617 Gol;617;Gol;2,375296912
0618 Hemsedal;618;Hemsedal;2,614379085
0619 Ål;619;Ål;1,485253554
0620 Hol;620;Hol;0,224618149
0621 Sigdal;621;Sigdal;2,27985181
0622 Krødsherad;622;Krødsherad;0
0623 Modum;623;Modum;1,472645608
0624 Øvre Eiker;624;Øvre Eiker;1,227747084
0625 Nedre Eiker;625;Nedre Eiker;0,881945319
0626 Lier;626;Lier;0,794438928
0627 Røyken;627;Røyken;0,630425295
0628 Hurum;628;Hurum;2,143622722
0631 Flesberg;631;Flesberg;5,963473723
0632 Rollag;632;Rollag;5,113221329
0633 Nore og Uvdal;633;Nore og Uvdal;2,737583105
0701 Horten;701;Horten;1,457889425
0702 Holmestrand;702;Holmestrand;0,669472073
0704 Tønsberg;704;Tønsberg;0,529482551
0706 Sandefjord;706;Sandefjord;0,667022412
0709 Larvik;709;Larvik;0,693513339
0711 Svelvik;711;Svelvik;0
