bydel;bydel_nr;"Bydel
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr
Nedbrytninger;;;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;36005;9648;26357;42353;12456;29897;85;77,5;88,2;100;29,40995915;70,59004085;807;1 793;2 148;2 453;2 447;2 485;2 551;2 533;2 482;2 405;32,47484909;70,28616229;84,80063166;98,83158743;101,7463617;5,867352962;6,023186079;5,980686138;5,860269639;5,678464335
030101 Gamle Oslo;30101;Gamle Oslo;2805;946;1859;3540;1325;2215;79,2;71,4;83,9;100;37,42937853;62,57062147;76;188;201;261;220;287;269;271;272;226;26,48083624;69,88847584;74,1697417;95,95588235;97,34513274;8,107344633;7,598870056;7,655367232;7,683615819;6,384180791
030102 Grünerløkka;30102;Grünerløkka;2665;706;1959;3112;1029;2083;85,6;68,6;94;100;33,0655527;66,9344473;62;154;154;168;168;228;229;202;190;180;27,19298246;67,2489083;76,23762376;88,42105263;93,33333333;7,326478149;7,358611825;6,491002571;6,105398458;5,784061697
030103 Sagene;30103;Sagene;2141;423;1718;2365;613;1752;90,5;69;98,1;100;25,91966173;74,08033827;43;86;104;92;98;126;135;125;118;109;34,12698413;63,7037037;83,2;77,96610169;89,90825688;5,32769556;5,708245243;5,285412262;4,989429175;4,608879493
030104 St. Hanshaugen;30104;St. Hanshaugen;1995;352;1643;1640;358;1282;121,6;98,3;128,2;100;21,82926829;78,17073171;49;84;81;71;67;81;78;75;63;61;60,49382716;107,6923077;108;112,6984127;109,8360656;4,93902439;4,756097561;4,573170732;3,841463415;3,719512195
030105 Frogner;30105;Frogner;2386;430;1956;2244;503;1741;106,3;85,5;112,3;100;22,41532977;77,58467023;49;77;105;85;114;115;102;102;82;102;42,60869565;75,49019608;102,9411765;103,6585366;111,7647059;5,124777184;4,545454545;4,545454545;3,654188948;4,545454545
030106 Ullern;30106;Ullern;2153;188;1965;2157;240;1917;99,8;78,3;102,5;100;11,12656467;88,87343533;20;44;42;49;33;48;62;44;46;40;41,66666667;70,96774194;95,45454545;106,5217391;82,5;2,225312935;2,874362541;2,03987019;2,132591562;1,854427446
030107 Vestre Aker;30107;Veste Aker;2894;204;2690;3399;317;3082;85,1;64,4;87,3;100;9,326272433;90,67372757;27;44;50;45;38;72;67;70;50;58;37,5;65,67164179;71,42857143;90;65,51724138;2,118270079;1,971167991;2,059429244;1,471020888;1,706384231
030108 Nordre Aker;30108;Nordre Aker;3748;406;3342;3448;381;3067;108,7;106,6;109;100;11,04988399;88,95011601;67;97;80;86;76;65;90;79;80;67;103,0769231;107,7777778;101,2658228;107,5;113,4328358;1,885150812;2,610208817;2,291183295;2,320185615;1,943155452
030109 Bjerke;30109;Bjerke;1961;726;1235;2605;1044;1561;75,3;69,5;79,1;100;40,07677543;59,92322457;59;125;178;169;195;205;207;230;206;196;28,7804878;60,38647343;77,39130435;82,03883495;99,48979592;7,869481766;7,946257198;8,829174664;7,907869482;7,523992322
030110 Grorud;30110;Grorud;1346;753;593;1933;994;939;69,6;75,8;63,2;100;51,42265908;48,57734092;69;122;176;182;204;195;188;216;194;201;35,38461538;64,89361702;81,48148148;93,81443299;101,4925373;10,0879462;9,725814796;11,1743404;10,03621314;10,39834454
030111 Stovner;30111;Stovner;1336;929;407;2118;1236;882;63,1;75,2;46,1;100;58,35694051;41,64305949;48;133;214;254;280;234;235;257;242;268;20,51282051;56,59574468;83,26848249;104,9586777;104,4776119;11,04815864;11,09537299;12,13408876;11,42587347;12,65344665
030112 Alna;30112;Alna;2543;1512;1031;3467;1855;1612;73,3;81,5;64;100;53,50447072;46,49552928;94;269;309;428;412;354;367;374;392;368;26,55367232;73,29700272;82,62032086;109,1836735;111,9565217;10,21055668;10,58552062;10,78742429;11,30660513;10,614364
