Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr
Nedbrytninger;;;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;1466;126;1340;1719;243;1476;85,3;51,9;90,8;100;14,13612565;85,86387435;8;15;34;31;38;44;45;48;49;57;18,18181818;33,33333333;70,83333333;63,26530612;66,66666667;2,559627691;2,617801047;2,792321117;2,850494474;3,315881326
0104 Moss;104;Moss;1552;270;1282;1773;385;1388;87,5;70,1;92,4;100;21,71460801;78,28539199;23;51;52;61;83;84;84;73;66;78;27,38095238;60,71428571;71,23287671;92,42424242;106,4102564;4,737732657;4,737732657;4,117315285;3,72250423;4,399323181
0105 Sarpsborg;105;Sarpsborg;2745;462;2283;3194;679;2515;85,9;68;90,8;100;21,25860989;78,74139011;36;63;105;145;113;142;120;132;158;127;25,35211268;52,5;79,54545455;91,7721519;88,97637795;4,445835942;3,757044458;4,132748904;4,946775204;3,976205385
0106 Fredrikstad;106;Fredrikstad;3886;566;3320;4365;829;3536;89;68,3;93,9;100;18,99198167;81,00801833;25;86;131;165;159;156;154;173;187;159;16,02564103;55,84415584;75,72254335;88,23529412;100;3,573883162;3,528064147;3,963344788;4,284077892;3,642611684
0111 Hvaler;111;Hvaler;183;8;175;204;6;198;89,7;133,3;88,4;100;2,941176471;97,05882353;:;:;:;:;:;:;:;:;:;:;.;.;.;.;.;.;.;.;.;.
0118 Aremark;118;Aremark;58;:;58;66;:;66;87,9;:;87,9;100;.;100;:;:;:;:;:;:;:;:;:;:;.;.;.;.;.;.;.;.;.;.
0119 Marker;119;Marker;161;11;150;194;13;181;83;84,6;82,9;100;6,701030928;93,29896907;:;:;4;:;:;:;:;4;:;:;.;.;100;.;.;.;.;2,06185567;.;.
0121 Rømskog;121;Rømskog;33;6;27;35;7;28;94,3;85,7;96,4;100;20;80;:;:;:;:;:;:;:;:;:;:;.;.;.;.;.;.;.;.;.;.
0122 Trøgstad;122;Trøgstad;260;19;241;305;29;276;85,2;65,5;87,3;100;9,508196721;90,49180328;6;:;5;:;4;9;6;6;:;5;66,66666667;.;83,33333333;.;80;2,950819672;1,967213115;1,967213115;.;1,639344262
0123 Spydeberg;123;Spydeberg;300;20;280;335;29;306;89,6;69;91,5;100;8,656716418;91,34328358;:;:;5;9;:;:;4;6;11;6;.;.;83,33333333;81,81818182;.;.;1,194029851;1,791044776;3,28358209;1,791044776
0124 Askim;124;Askim;823;154;669;959;201;758;85,8;76,6;88,3;100;20,95933264;79,04066736;9;31;40;41;33;47;43;42;39;30;19,14893617;72,09302326;95,23809524;105,1282051;110;4,900938478;4,483837331;4,379562044;4,066736184;3,128258603
0125 Eidsberg;125;Eidsberg;546;82;464;627;128;499;87,1;64,1;93;100;20,41467305;79,58532695;5;16;21;28;12;22;30;26;31;19;22,72727273;53,33333333;80,76923077;90,32258065;63,15789474;3,50877193;4,784688995;4,146730463;4,944178628;3,03030303
0127 Skiptvet;127;Skiptvet;201;16;185;215;20;195;93,5;80;94,9;100;9,302325581;90,69767442;:;:;4;4;:;:;:;6;5;:;.;.;66,66666667;80;.;.;.;2,790697674;2,325581395;.
0128 Rakkestad;128;Rakkestad;403;45;358;466;88;378;86,5;51,1;94,7;100;18,88412017;81,11587983;:;4;17;9;13;17;10;29;16;16;.;40;58,62068966;56,25;81,25;3,64806867;2,145922747;6,223175966;3,433476395;3,433476395
0135 Råde;135;Råde;368;24;344;391;31;360;94,1;77,4;95,6;100;7,928388747;92,07161125;:;8;:;10;5;7;8;:;9;6;.;100;.;111,1111111;83,33333333;1,79028133;2,046035806;.;2,301790281;1,534526854
0136 Rygge;136;Rygge;705;62;643;797;92;705;88,5;67,4;91,2;100;11,54328733;88,45671267;:;13;15;21;12;19;18;22;20;13;.;72,22222222;68,18181818;105;92,30769231;2,383939774;2,25846926;2,760351317;2,509410289;1,631116688
