"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr
Nedbrytninger;;;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;1466;126;1 340;1 719;243;1 476;85,3;51,9;90,8;100;14;86;8;15;34;31;38;44;45;48;49;57;18,18181818;33,33333333;70,83333333;63,26530612;66,66666667;2,559627691;2,617801047;2,792321117;2,850494474;3,315881326
02 Indre Østfold;2;Indre Østfold;3064;383;2 681;3 520;559;2 961;87;68,5;90,5;100;16;84;28;73;99;109;74;115;110;126;120;88;24,34782609;66,36363636;78,57142857;90,83333333;84,09090909;3,267045455;3,125;3,579545455;3,409090909;2,5
03 Mosseregionen;3;Mosseregionen;2929;390;2 539;3 312;551;2 761;88,4;70,8;92;100;17;83;27;77;75;100;111;114;121;101;107;108;23,68421053;63,63636364;74,25742574;93,45794393;102,7777778;3,442028986;3,653381643;3,049516908;3,230676329;3,260869565
04 Nedre Glomma;4;Nedre Glomma;6814;1036;5 778;7 763;1 514;6 249;87,8;68,4;92,5;100;20;80;61;152;238;312;273;298;276;306;347;287;20,46979866;55,07246377;77,77777778;89,91354467;95,12195122;3,838722144;3,555326549;3,941775087;4,469921422;3,697024346
05 Akershus Vest;5;Akershus Vest;10791;1485;9 306;11 943;1 921;10 022;90,4;77,3;92,9;100;16;84;158;294;345;376;312;406;400;387;394;334;38,91625616;73,5;89,14728682;95,43147208;93,41317365;3,399480867;3,349242234;3,240391861;3,2990036;2,796617265
06 Follo;6;Follo;8247;869;7 378;8 976;1 095;7 881;91,9;79,4;93,6;100;12;88;101;173;193;208;194;238;215;223;215;204;42,43697479;80,46511628;86,5470852;96,74418605;95,09803922;2,651515152;2,395276292;2,484402852;2,395276292;2,272727273
07 Nedre Romerike;7;Nedre Romerike;9940;1620;8 320;10 931;2 004;8 927;90,9;80,8;93,2;100;18;82;157;316;375;404;368;382;414;413;411;384;41,09947644;76,32850242;90,79903148;98,29683698;95,83333333;3,494648248;3,787393651;3,778245357;3,75994877;3,512944836
08 Øvre Romerike;8;Øvre Romerike;5916;667;5 249;6 361;854;5 507;93;78,1;95,3;100;13;87;70;106;152;182;157;173;134;189;195;163;40,46242775;79,10447761;80,42328042;93,33333333;96,3190184;2,719698161;2,106587015;2,971230939;3,06555573;2,562490175
09 Oslo;9;Oslo;36005;9648;26 357;42 353;12 529;29 824;85;77;88,4;100;30;70;807;1 793;2 148;2 453;2 447;2 495;2 564;2 550;2 501;2 419;32,34468938;69,92979719;84,23529412;98,08076769;101,1575031;5,89096404;6,053880481;6,020824971;5,905130687;5,711519845
10 Fjellregionen;10;Fjellregionen;768;68;700;823;73;750;93,3;93,2;93,3;100;9;91;13;16;10;13;16;20;14;12;12;15;65;114,2857143;83,33333333;108,3333333;106,6666667;2,430133657;1,70109356;1,458080194;1,458080194;1,822600243
11 Glåmdal;11;Glåmdal;2170;163;2 007;2 440;234;2 206;88,9;69,7;91;100;10;90;21;32;39;40;31;52;40;60;46;36;40,38461538;80;65;86,95652174;86,11111111;2,131147541;1,639344262;2,459016393;1,885245902;1,475409836
12 Hamarregionen;12;Hamarregionen;4503;401;4 102;4 912;543;4 369;91,7;73,8;93,9;100;11;89;42;72;89;108;90;116;109;97;116;105;36,20689655;66,05504587;91,75257732;93,10344828;85,71428571;2,361563518;2,219055375;1,9747557;2,361563518;2,13762215
13 Sør Østerdal;13;Sør Østerdal;1723;183;1 540;1 843;212;1 631;93,5;86,3;94,4;100;12;88;26;29;41;43;44;41;39;47;38;47;63,41463415;74,35897436;87,23404255;113,1578947;93,61702128;2,224633749;2,11611503;2,550189908;2,06185567;2,550189908
14 Gjøvikregionen;14;Gjøvikregionen;3326;342;2 984;3 643;435;3 208;91,3;78,6;93;100;12;88;43;69;86;73;71;92;90;93;79;81;46,73913043;76,66666667;92,47311828;92,40506329;87,65432099;2,525391161;2,470491353;2,552841065;2,16854241;2,223442218
