Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.0-6;invalder_3.7+;invalder_3.alle;invalder_3.0-6;invalder_3.7+;invalder_3.alle;invalder_3.0-6;invalder_3.7+;invalder_3.alle;invalder_3.0-6;invalder_3.7+;invalder_3.alle;invalder_3.0-6;invalder_3.7+;invalder_3.alle;invalder_3.0-6;invalder_3.7+
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo;41,2;34,2;38,2;43,5;5199;592;1202;3405;39,6;33,4;36,6;41,6;2687;304;606;1777;43;35;39,9;45,6;2512;288;596;1628;34,2;33,1;34,4;592;102;490;33,4;32,5;33,6;304;51;253;35;33,6;35,3;288;51;237;34,2;36,2;32,6;592;260;332;33,4;35,5;31,9;304;127;177;35;36,9;33,4;288;133;155
030101 Gamle Oslo;30101;Gamle Oslo;39,1;33,5;36;44,7;252;46;102;104;37;30,8;34;42,8;123;22;51;50;41,1;36;37,9;46,4;129;24;51;54;33,5;33;33,6;46;8;38;30,8;31,7;30,6;22;3;19;36;33,8;36,5;24;5;19;33,5;36;30,8;46;24;22;30,8;35,6;27,5;22;9;13;36;36,2;35,6;24;15;9
030102 Grünerløkka;30102;Grünerløkka;39,4;30,5;35,2;43,6;189;39;34;116;37,1;33,2;34,3;40,1;90;23;20;47;41,6;26,6;36,5;46;99;16;14;69;30,5;27,4;31,2;39;7;32;33,2;31,3;33,6;23;4;19;26,6;22,2;27,7;16;3;13;30,5;32,3;29,2;39;17;22;33,2;35,2;31;23;12;11;26,6;25,1;27,3;16;5;11
030103 Sagene;30103;Sagene;38,4;26,6;37;41,2;135;17;30;88;38;:;:;39,2;60;:;:;42;38,8;:;:;43,1;75;:;:;46;26,6;33,7;22,7;17;6;11;:;:;:;:;:;:;:;:;:;:;:;:;26,6;:;:;17;:;:;:;-;:;:;-;:;:;:;:;:;:;:
030104 St. Hanshaugen;30104;St. Hanshaugen;42,2;31,7;38,9;44,8;126;19;13;94;39,5;30,2;32,5;41,7;67;8;6;53;45,2;32,7;44,5;48,7;59;11;7;41;31,7;22,2;34,2;19;4;15;:;:;:;:;:;:;:;:;:;:;:;:;31,7;32,1;31,6;19;3;16;:;:;:;:;:;:;:;:;:;:;:;:
030105 Frogner;30105;Frogner;42,4;37,6;36,6;43,5;213;23;14;176;41,1;39,2;34,9;41,8;116;14;7;95;43,9;35;38,3;45,4;97;9;7;81;37,6;38,3;37;23;11;12;39,2;39,2;39,3;14;6;8;35;37,2;32,4;9;5;4;37,6;39,9;35,9;23;10;13;39,2;36,4;41,4;14;6;8;35;45;27,1;9;4;5
