Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.0_6;invalder_3.7+;invalder_3.alle;invalder_3.0_6;invalder_3.7+;invalder_3.alle;invalder_3.0_6;invalder_3.7+;invalder_3.alle;invalder_3.0_6;invalder_3.7+;invalder_3.alle;invalder_3.0_6;invalder_3.7+;invalder_3.alle;invalder_3.0_6;invalder_3.7+
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;40,4;35,7;39,1;40,9;59767;4211;2747;52809;38,5;34,4;37,6;38,8;30481;2166;1422;26893;42,4;37;40,7;43;29286;2045;1325;25916;35,7;36,9;35;4211;1403;2808;34,4;35,7;33,7;2166;726;1440;37;38,2;36,5;2045;677;1368;35,7;37,9;34,7;4211;1282;2929;34,4;36,6;33,4;2166;650;1516;37;39,3;36;2045;632;1413
01 Østfold;1;Østfold;39,4;35,5;37,6;40;3348;307;177;2864;37,2;34;35,9;37,6;1696;163;94;1439;41,8;37,3;39,6;42,3;1652;144;83;1425;35,5;36;35,3;307;89;218;34;34,4;33,8;163;41;122;37,3;37,4;37,2;144;48;96;35,5;37,9;33,9;307;123;184;34;35,9;32,8;163;61;102;37,3;39,9;35,3;144;62;82
02 Akershus;2;Akershus;41,5;37;41;41,9;7258;465;409;6384;39,7;35,2;39,8;40;3649;232;205;3212;43,4;38,8;42,2;43,8;3609;233;204;3172;37;37,9;36,6;465;144;321;35,2;35,4;35,1;232;71;161;38,8;40,3;38,1;233;73;160;37;38,8;35,9;465;169;296;35,2;36,8;34,2;232;84;148;38,8;40,9;37,6;233;85;148
03 Oslo;3;Oslo;41,2;34,2;38,2;43,5;5199;592;1202;3405;39,6;33,4;36,6;41,6;2687;304;606;1777;43;35;39,9;45,6;2512;288;596;1628;34,2;33,1;34,4;592;102;490;33,4;32,5;33,6;304;51;253;35;33,6;35,3;288;51;237;34,2;36,2;32,6;592;260;332;33,4;35,5;31,9;304;127;177;35;36,9;33,4;288;133;155
04 Hedmark;4;Hedmark;39,3;35,1;36,5;39,6;2250;153;39;2058;37,2;34,1;33,6;37,6;1175;78;23;1074;41,5;36,1;40,7;41,9;1075;75;16;984;35,1;38,1;33,6;153;51;102;34,1;38,5;32,1;78;24;54;36,1;37,7;35,2;75;27;48;35,1;39,5;33,4;153;42;111;34,1;37,3;33,1;78;19;59;36,1;41,2;33,8;75;23;52
05 Oppland;5;Oppland;39,7;35,2;37,6;40;2279;131;26;2122;37,5;34;37,9;37,8;1157;82;20;1055;42;37,3;36,6;42,3;1122;49;6;1067;35,2;37,6;34;131;45;86;34;36,1;32,9;82;27;55;37,3;39,8;35,8;49;18;31;35,2;35,8;35;131;34;97;34;35,4;33,5;82;20;62;37,3;36,4;37,6;49;14;35
