"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle
;;;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.alle;invalder_3.0_6;invalder_3.7+;invalder_3.alle;invalder_3.0_6;invalder_3.7+
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;39,5;35;37;40;323;25;18;280;39,5;37,5;41,4;323;162;161;35;34,7;35,3;25;10;15;35;35,7;34,5;25;11;14;35;36,6;33,8;25;11;14
02 Indre Østfold;2;Indre Østfold;39,5;36,9;35,5;40;729;64;33;632;39,5;36,9;42,1;729;363;366;36,9;37,2;36,7;64;27;37;36,9;36,4;37,5;64;37;27;36,9;38,1;36,1;64;25;39
03 Mosseregionen;3;Mosseregionen;39,7;32,5;37,6;40,4;716;44;53;619;39,7;37,8;41,7;716;375;341;32,5;32,6;32,5;44;13;31;32,5;31,1;34,2;44;24;20;32,5;37,3;29,8;44;16;28
04 Nedre Glomma;4;Nedre Glomma;39,3;35,8;38,8;39,8;1580;174;73;1333;39,3;36,9;41,7;1580;796;784;35,8;36,6;35,6;174;39;135;35,8;33,5;38,4;174;91;83;35,8;38,2;34,2;174;71;103
05 Akershus Vest;5;Akershus Vest;43,1;37,4;41,1;43,6;2152;120;89;1943;43,1;41,5;44,9;2152;1110;1042;37,4;38,9;36,7;120;38;82;37,4;36,6;38;120;54;66;37,4;38,6;36,6;120;48;72
06 Follo;6;Follo;41,8;36,8;42,3;42,1;1745;99;64;1582;41,8;40,1;43,4;1745;869;876;36,8;38,3;36,2;99;29;70;36,8;34,8;39;99;52;47;36,8;37,8;36,2;99;37;62
