kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;42;100;26;61,9;16;38,0952381;26;16;0
0104 Moss;104;Moss;31;100;27;87,1;4;12,90322581;25;6;0
0105 Sarpsborg;105;Sarpsborg;48;100;26;54,2;22;45,83333333;34;14;0
0106 Fredrikstad;106;Fredrikstad;104;100;101;97,1;3;2,884615385;94;5;5
0111 Hvaler;111;Hvaler;0;100;0;0;0;.;0;0;0
0118 Aremark;118;Aremark;0;100;0;0;0;.;0;0;0
0119 Marker;119;Marker;0;100;0;0;0;.;0;0;0
0121 Rømskog;121;Rømskog;1;100;0;0;1;100;0;1;0
0122 Trøgstad;122;Trøgstad;0;100;0;0;0;.;0;0;0
0123 Spydeberg;123;Spydeberg;0;100;0;0;0;.;0;0;0
0124 Askim;124;Askim;21;100;21;100;0;0;21;0;0
0125 Eidsberg;125;Eidsberg;0;100;0;0;0;.;0;0;0
0127 Skiptvet;127;Skiptvet;1;100;1;100;0;0;0;1;0
0128 Rakkestad;128;Rakkestad;1;100;0;0;1;100;0;1;0
0135 Råde;135;Råde;0;100;0;0;0;.;0;0;0
0136 Rygge;136;Rygge;1;100;0;0;1;100;0;1;0
0137 Våler (Østfold);137;Våler (Østf.);0;100;0;0;0;.;0;0;0
0138 Hobøl;138;Hobøl;0;100;0;0;0;.;0;0;0
0211 Vestby;211;Vestby;11;100;0;0;11;100;0;11;0
0213 Ski;213;Ski;93;100;73;78,5;20;21,50537634;67;26;0
0214 Ås;214;Ås;21;100;4;19;17;80,95238095;3;18;0
0215 Frogn;215;Frogn;32;100;0;0;32;100;0;32;0
0216 Nesodden;216;Nesodden;25;100;2;8;23;92;0;25;0
0217 Oppegård;217;Oppegård;63;100;46;73;17;26,98412698;52;11;0
0219 Bærum;219;Bærum;177;100;73;41,2;104;58,75706215;110;67;0
0220 Asker;220;Asker;55;100;40;72,7;15;27,27272727;40;15;0
0221 Aurskog Høland;221;Aurskog-Høland;6;100;0;0;6;100;0;6;0
0226 Sørum;226;Sørum;22;100;22;100;0;0;22;0;0
0227 Fet;227;Fet;0;100;0;0;0;.;0;0;0
0228 Rælingen;228;Rælingen;0;100;0;0;0;.;0;0;0
0229 Enebakk;229;Enebakk;0;100;0;0;0;.;0;0;0
0230 Lørenskog;230;Lørenskog;42;100;26;61,9;16;38,0952381;25;17;0
0231 Skedsmo;231;Skedsmo;128;100;63;49,2;65;50,78125;63;65;0
0233 Nittedal;233;Nittedal;14;100;0;0;14;100;0;14;0
0234 Gjerdrum;234;Gjerdrum;0;100;0;0;0;.;0;0;0
0235 Ullensaker;235;Ullensaker;41;100;39;95,1;2;4,87804878;38;2;1
0236 Nes (Akershus);236;Nes (Ak.);15;100;3;20;12;80;0;15;0
0237 Eidsvoll;237;Eidsvoll;0;100;0;0;0;.;0;0;0
0238 Nannestad;238;Nannestad;0;100;0;0;0;.;0;0;0
0239 Hurdal;239;Hurdal;0;100;0;0;0;.;0;0;0
0301 Oslo;301;Oslo kommune;2260;100;1758;77,8;502;22,21238938;1613;647;0
0402 Kongsvinger;402;Kongsvinger;23;100;22;95,7;1;4,347826087;22;1;0
0403 Hamar;403;Hamar;37;100;21;56,8;16;43,24324324;21;16;0
0412 Ringsaker;412;Ringsaker;37;100;17;45,9;20;54,05405405;35;2;0
0415 Løten;415;Løten;10;100;0;0;10;100;0;10;0
0417 Stange;417;Stange;25;100;0;0;25;100;0;25;0
0418 Nord-Odal;418;Nord-Odal;0;100;0;0;0;.;0;0;0
0419 Sør-Odal;419;Sør-Odal;0;100;0;0;0;.;0;0;0
0420 Eidskog;420;Eidskog;0;100;0;0;0;.;0;0;0
0423 Grue;423;Grue;1;100;0;0;1;100;0;1;0
0425 Åsnes;425;Åsnes;18;100;11;61,1;7;38,88888889;14;2;2
0426 Våler (Hedm.);426;Våler (Hedm.);0;100;0;0;0;.;0;0;0
0427 Elverum;427;Elverum;48;100;44;91,7;4;8,333333333;42;0;6
0428 Trysil;428;Trysil;24;100;15;62,5;9;37,5;15;9;0
0429 Åmot;429;Åmot;0;100;0;0;0;.;0;0;0
0430 Stor-Elvdal;430;Stor-Elvdal;1;100;1;100;0;0;1;0;0
0432 Rendalen;432;Rendalen;0;100;0;0;0;.;0;0;0
0434 Engerdal;434;Engerdal;5;100;4;80;1;20;0;0;5
0436 Tolga;436;Tolga;0;100;0;0;0;.;0;0;0
0437 Tynset;437;Tynset;15;100;1;6,7;14;93,33333333;0;15;0
0438 Alvdal;438;Alvdal;2;100;0;0;2;100;0;2;0
0439 Folldal;439;Folldal;0;100;0;0;0;.;0;0;0
0441 Os (Hedm.);441;Os (Hedm.);0;100;0;0;0;.;0;0;0
0501 Lillehammer;501;Lillehammer;109;100;43;39,4;66;60,55045872;39;69;1
0502 Gjøvik;502;Gjøvik;60;100;34;56,7;26;43,33333333;33;25;2
0511 Dovre;511;Dovre;0;100;0;0;0;.;0;0;0
