naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial;;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
01 Halden;1;Halden;42;100;26;61,9;16;38,0952381;26;0,619047619;.;.;.;.;16;0,380952381;.;.;.;.;0;0;.;.;.;.
02 Indre Østfold;2;Indre Østfold;24;100;22;91,7;2;8,333333333;21;0,875;.;.;.;.;3;0,125;.;.;.;.;0;0;.;.;.;.
03 Mosseregionen;3;Mosseregionen;32;100;27;84,4;5;15,625;25;0,78125;.;.;.;.;7;0,21875;.;.;.;.;0;0;.;.;.;.
04 Nedre Glomma;4;Nedre Glomma;152;100;127;83,6;25;16,44736842;128;0,842105263;.;.;.;.;19;0,125;.;.;.;.;5;0,032894737;.;.;.;.
05 Akershus Vest;5;Akershus Vest;232;100;113;48,7;119;51,29310345;150;0,646551724;.;.;.;.;82;0,353448276;.;.;.;.;0;0;.;.;.;.
06 Follo;6;Follo;245;100;125;51;120;48,97959184;122;0,497959184;.;.;.;.;123;0,502040816;.;.;.;.;0;0;.;.;.;.
07 Nedre Romerike;7;Nedre Romerike;212;100;111;52,4;101;47,64150943;110;0,518867925;.;.;.;.;102;0,481132075;.;.;.;.;0;0;.;.;.;.
08 Øvre Romerike;8;Øvre Romerike;56;100;42;75;14;25;38;0,678571429;.;.;.;.;17;0,303571429;.;.;.;.;1;0,017857143;.;.;.;.
