Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;3741;295;3288;158;100;7,9;87,9;4,2;1989;150;1750;89;100;7,5;88;4,5;1752;145;1538;69;100;8,3;87,8;3,9
0104 Moss;104;Moss;3703;359;3055;289;100;9,7;82,5;7,8;1928;181;1574;173;100;9,4;81,6;9;1775;178;1481;116;100;10;83,4;6,5
0105 Sarpsborg;105;Sarpsborg;6727;757;5680;290;100;11,3;84,4;4,3;3524;413;2960;151;100;11,7;84;4,3;3203;344;2720;139;100;10,7;84,9;4,3
0106 Fredrikstad;106;Fredrikstad;9587;1025;8195;367;100;10,7;85,5;3,8;5010;570;4227;213;100;11,4;84,4;4,3;4577;455;3968;154;100;9,9;86,7;3,4
0111 Hvaler;111;Hvaler;523;38;481;4;100;7,3;92;0,8;259;23;236;.;100;8,9;91,1;.;264;15;245;4;100;5,7;92,8;1,5
0118 Aremark;118;Aremark;202;6;190;6;100;3;94,1;3;104;4;94;6;100;3,8;90,4;5,8;98;2;96;.;100;2;98;.
0119 Marker;119;Marker;402;13;388;1;100;3,2;96,5;0,2;201;5;195;1;100;2,5;97;0,5;201;8;193;.;100;4;96;.
0121 Rømskog;121;Rømskog;89;3;86;.;100;3,4;96,6;.;53;1;52;.;100;1,9;98,1;.;36;2;34;.;100;5,6;94,4;.
0122 Trøgstad;122;Trøgstad;647;30;610;7;100;4,6;94,3;1,1;335;16;315;4;100;4,8;94;1,2;312;14;295;3;100;4,5;94,6;1
0123 Spydeberg;123;Spydeberg;629;28;585;16;100;4,5;93;2,5;336;5;318;13;100;1,5;94,6;3,9;293;23;267;3;100;7,8;91,1;1
