Næringsregion nr & navn;naringsregion_nr;Næringsregionsavn;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;3741;295;3288;158;100;7,9;87,9;4,2;1989;150;1750;89;100;7,5;88;4,5;1752;145;1538;69;100;8,3;87,8;3,9
02 Indre Østfold;2;Indre Østfold;7313;617;6455;241;100;8,4;88,3;3,3;3700;285;3273;142;100;7,7;88,5;3,8;3613;332;3182;99;100;9,2;88,1;2,7
03 Mosseregionen;3;Mosseregionen;7215;532;6278;405;100;7,4;87;5,6;3748;270;3252;226;100;7,2;86,8;6;3467;262;3026;179;100;7,6;87,3;5,2
04 Nedre Glomma;4;Nedre Glomma;16837;1820;14356;661;100;10,8;85,3;3,9;8793;1006;7423;364;100;11,4;84,4;4,1;8044;814;6933;297;100;10,1;86,2;3,7
05 Akershus Vest;5;Akershus Vest;22561;1469;20146;946;100;6,5;89,3;4,2;11743;777;10468;498;100;6,6;89,1;4,2;10818;692;9678;448;100;6,4;89,5;4,1
06 Follo;6;Follo;17744;888;16256;600;100;5;91,6;3,4;9323;468;8529;326;100;5;91,5;3,5;8421;420;7727;274;100;5;91,8;3,3
07 Nedre Romerike;7;Nedre Romerike;20861;1549;17595;1717;100;7,4;84,3;8,2;10848;838;9137;873;100;7,7;84,2;8;10013;711;8458;844;100;7,1;84,5;8,4
08 Øvre Romerike;8;Øvre Romerike;11537;800;10320;417;100;6,9;89,5;3,6;6097;417;5465;215;100;6,8;89,6;3,5;5440;383;4855;202;100;7;89,2;3,7
09 Oslo;9;Oslo;51570;6297;34756;10517;100;12,2;67,4;20,4;26647;3347;17856;5444;100;12,6;67;20,4;24923;2950;16900;5073;100;11,8;67,8;20,4
