Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;43486;1612;41874;1175;40699;.;.;.;.;.;20803;691;20112;530;19582;.;.;.;.;.;22683;921;21762;645;21117;.;.;.;.;.
01 Østfold;1;Østfold;2281;110;2171;54;2117;66,3;53,9;67;64,3;67,1;1055;39;1016;26;990;61,3;39;62,6;59,1;62,7;1226;71;1155;28;1127;71,2;68,3;71,4;70;71,5
02 Akershus;2;Akershus;5321;162;5159;198;4961;74,7;59,1;75,3;72,3;75,5;2612;83;2529;89;2440;70,3;55,3;71;64;71,2;2709;79;2630;109;2521;79,5;63,7;80,1;80,7;80,1
03 Oslo;3;Oslo;3707;260;3447;529;2918;74,9;58,2;76,6;65,9;78,9;1728;100;1628;245;1383;68,8;46,1;70,9;56,8;74,2;1979;160;1819;284;1535;81,3;69,6;82,5;76,3;83,7
04 Hedmark;4;Hedmark;1679;46;1633;16;1617;68,2;52,9;68,7;84,2;68,6;796;22;774;8;766;61,6;44,9;62,3;80;62,1;883;24;859;8;851;75,4;63,2;75,8;88,9;75,7
05 Oppland;5;Oppland;1674;32;1642;20;1622;69,1;46,4;69,8;80;69,7;795;12;783;9;774;63,5;35,3;64,3;81,8;64,2;879;20;859;11;848;75,1;57,1;75,6;78,6;75,6
06 Buskerud;6;Buskerud;2213;84;2129;79;2050;68,7;47,2;70;59,4;70,5;1065;41;1024;33;991;63;43,2;64,2;49,3;64,8;1148;43;1105;46;1059;75,1;51,8;76,4;69,7;76,7
07 Vestfold;7;Vestfold;2008;65;1943;28;1915;67,8;50,8;68,6;68,3;68,6;959;26;933;13;920;62,4;35,1;63,7;59,1;63,8;1049;39;1010;15;995;73,7;72,2;73,7;78,9;73,6
