Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;274;14;260;4;256;68,5;56;69,3;66,7;69,4;119;3;116;1;115;60,4;25;62,7;33,3;63,2;155;11;144;3;141;76,4;84,6;75,8;100;75,4
0104 Moss;104;Moss;187;4;183;16;167;60,1;36,4;61;69,6;60,3;94;2;92;10;82;56,6;25;58,2;71,4;56,9;93;2;91;6;85;64,1;66,7;64,1;66,7;63,9
0105 Sarpsborg;105;Sarpsborg;392;23;369;5;364;63,7;54,8;64,4;45,5;64,8;173;7;166;2;164;60,5;35;62,4;40;62,8;219;16;203;3;200;66,6;72,7;66,1;50;66,4
0106 Fredrikstad;106;Fredrikstad;671;39;632;3;629;70,6;57,4;71,7;33,3;72,1;302;16;286;1;285;66,1;55,2;66,8;33,3;67,1;369;23;346;2;344;74,8;59;76,2;33,3;76,8
0124 Askim;124;Askim;104;7;97;12;85;54,7;31,8;57,7;80;55,6;52;4;48;3;45;49,5;28,6;52,7;60;52,3;52;3;49;9;40;61,2;37,5;63,6;90;59,7
0213 Ski;213;Ski;299;11;288;7;281;73,6;61,1;74,2;58,3;74,7;163;6;157;.;157;70,9;75;70,7;.;71,7;136;5;131;7;124;77,3;50;78,9;77,8;79
0214 Ås;214;Ås;164;4;160;4;156;74,5;80;74,4;100;73,9;67;2;65;.;65;69,8;100;69,1;.;69,1;97;2;95;4;91;78,2;66,7;78,5;100;77,8
0217 Oppegård;217;Oppegård;287;6;281;17;264;80,8;60;81,4;81;81,5;136;5;131;11;120;76;62,5;76,6;73,3;76,9;151;1;150;6;144;85,8;50;86,2;100;85,7
