Kommune nr & navn;kommune_nr;"Kmmune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;746;42;704;18;686;66,4;55,3;67,2;72;67,1;337;13;324;6;318;59;37,1;60,4;66,7;60,3;409;29;380;12;368;74,1;70,7;74,4;75;74,3
0104 Moss;104;Moss;639;33;606;45;561;64,2;54,1;64,9;65,2;64,9;315;13;302;27;275;59,8;41,9;60,9;64,3;60,6;324;20;304;18;286;69,2;66,7;69,4;66,7;69,6
0105 Sarpsborg;105;Sarpsborg;1235;84;1151;29;1122;64,5;51,9;65,7;69;65,6;571;39;532;16;516;59,8;41,5;61,8;69,6;61,6;664;45;619;13;606;69,2;66,2;69,4;68,4;69,4
0106 Fredrikstad;106;Fredrikstad;1899;147;1752;24;1728;67;56,5;68;60;68,1;890;63;827;13;814;61,8;49,6;63;59,1;63,1;1009;84;925;11;914;72,3;63,2;73,2;61,1;73,4
0111 Hvaler;111;Hvaler;102;.;102;.;102;67,5;.;68;.;68;51;.;51;.;51;61,4;.;62,2;.;62,2;51;.;51;.;51;75;.;75;.;75
0118 Aremark;118;Aremark;42;2;40;.;40;72,4;100;71,4;.;71,4;23;.;23;.;23;79,3;.;79,3;.;79,3;19;2;17;.;17;65,5;100;63;.;63
0119 Marker;119;Marker;100;3;97;.;97;74,1;42,9;75,8;.;75,8;45;2;43;.;43;70,3;50;71,7;.;71,7;55;1;54;.;54;77,5;33,3;79,4;.;79,4
0121 Rømskog;121;Rømskog;17;.;17;.;17;81;.;81;.;81;11;.;11;.;11;73,3;.;73,3;.;73,3;6;.;6;.;6;100;.;100;.;100
