Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;133572;36105;97467;4950;92517;.;.;.;.;.;75232;19183;56049;2973;53076;.;.;.;.;.;58340;16922;41418;1977;39441;.;.;.;.;.
01 Østfold;1;Østfold;8460;1975;6485;261;6224;23,7;42,6;20,9;21,9;20,8;4791;1116;3675;155;3520;26;47;22,9;23,2;22,9;3669;859;2810;106;2704;21,2;38;18,7;20,2;18,7
02 Akershus;2;Akershus;12890;3679;9211;611;8600;18,2;43,3;14,8;18,3;14,6;7452;2001;5451;379;5072;20,4;47,2;16,9;21,8;16,6;5438;1678;3760;232;3528;15,9;39,4;12,6;14,5;12,4
03 Oslo;3;Oslo;17140;8271;8869;2390;6479;20,9;45,9;13,8;22,6;12,1;9253;4100;5153;1478;3675;23,4;49,2;16,5;27,4;14,3;7887;4171;3716;912;2804;18,5;43,1;11,3;17,6;10,1
04 Hedmark;4;Hedmark;4949;904;4045;57;3988;20,5;42,5;18,4;21;18,3;2862;480;2382;34;2348;22,8;43,4;20,8;26,8;20,7;2087;424;1663;23;1640;18;41,7;15,7;16;15,7
05 Oppland;5;Oppland;4585;908;3677;42;3635;19,2;42,8;16,9;15,4;16,9;2649;495;2154;22;2132;21,2;43,8;19;17,1;19;1936;413;1523;20;1503;17;41,6;14,7;13,9;14,7
06 Buskerud;6;Buskerud;7247;2013;5234;392;4842;21,8;44,5;18,3;26,4;17,8;4079;1070;3009;217;2792;23,8;46,6;20,3;29;19,9;3168;943;2225;175;2050;19,7;42,3;16,1;23,8;15,6
07 Vestfold;7;Vestfold;6638;1438;5200;145;5055;21,7;43,9;19;21,7;18,9;3789;788;3001;82;2919;23,8;46,3;21,1;22,6;21,1;2849;650;2199;63;2136;19,3;41,4;16,7;20,6;16,6
