Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;833;164;669;24;645;20,9;36,3;18,9;19,7;18,9;459;84;375;15;360;22,3;40;20,3;23,4;20,2;374;80;294;9;285;19,3;33,1;17,3;15,5;17,4
0104 Moss;104;Moss;1023;260;763;66;697;27;47,8;23,5;25,3;23,4;601;156;445;38;407;30,1;54,4;26,1;24,8;26,2;422;104;318;28;290;23,6;40,5;20,7;25,9;20,3
0105 Sarpsborg;105;Sarpsborg;1650;425;1225;48;1177;24,5;43,3;21,3;21,8;21,2;931;232;699;29;670;27;45,1;23,8;24,2;23,8;719;193;526;19;507;21,8;41,2;18,6;19;18,6
0106 Fredrikstad;106;Fredrikstad;2356;607;1749;38;1711;23,6;40,7;20,6;15,3;20,7;1319;343;976;21;955;25,6;44,5;22,3;15;22,5;1037;264;773;17;756;21,4;36,7;18,7;15,6;18,8
0111 Hvaler;111;Hvaler;90;18;72;3;69;19,3;40;17,1;75;16,5;52;9;43;1;42;22,2;37,5;20,5;100;20,1;38;9;29;2;27;16,4;42,9;13,7;66,7;13
0118 Aremark;118;Aremark;27;2;25;1;24;19,3;66,7;18,2;33,3;17,9;14;.;14;1;13;18,7;.;18,7;33,3;18,1;13;2;11;.;11;20;66,7;17,7;.;17,7
0119 Marker;119;Marker;83;11;72;2;70;19,7;45,8;18,1;66,7;17,8;45;7;38;1;37;20,7;63,6;18,4;50;18,1;38;4;34;1;33;18,6;30,8;17,8;100;17,4
0121 Rømskog;121;Rømskog;10;2;8;.;8;17,2;66,7;14,5;.;14,5;7;1;6;.;6;18,4;100;16,2;.;16,2;3;1;2;.;2;15;50;11,1;.;11,1
