Bydel;bydel_nr;bydel_navn;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;4966;2998;1968;100;60,4;39,6
030101 Gamle Oslo;30101;Gamle Oslo;541;327;214;100;60,4;39,6
030102 Grünerløkka ;30102;Grünerløkka ;528;272;256;100;51,5;48,5
030103 Sagene;30103;Sagene;337;180;157;100;53,4;46,6
030104 St.Hanshaugen;30104;St.Hanshaugen;293;132;161;100;45,1;54,9
030105 Frogner;30105;Frogner;364;176;188;100;48,4;51,6
030106 Ullern;30106;Ullern;135;86;49;100;63,7;36,3
030107 Vestre Aker;30107;Vestre Aker;200;113;87;100;56,5;43,5
030108 Nordre Aker;30108;Nordre Aker;218;120;98;100;55;45
030109 Bjerke;30109;Bjerke;256;196;60;100;76,6;23,4
030110 Grorud;30110;Grorud;293;207;86;100;70,6;29,4
030111 Stovner;30111;Stovner;307;236;71;100;76,9;23,1
030112 Alna;30112;Alna;477;337;140;100;70,6;29,4
030113 Østensjø;30113;Østensjø;323;193;130;100;59,8;40,2
030114 Nordstrand;30114;Nordstrand;264;121;143;100;45,8;54,2
030115 Søndre Nordstrand;30115;Søndre Nordstrand;378;280;98;100;74,1;25,9
030116 Sentrum;30116;Sentrum;11;7;4;100;63,6;36,4
030117 Marka;30117;Marka;13;5;8;100;38,5;61,5
030199 Oslo uoppgitt;30199;Oslo uoppgitt;28;10;18;100;35,7;64,3
