Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;117;35;82;100;29,9;70,1
0104 Moss;104;Moss;149;51;98;100;34,2;65,8
0105 Sarpsborg;105;Sarpsborg;281;105;176;100;37,4;62,6
0106 Fredrikstad;106;Fredrikstad;358;99;259;100;27,7;72,3
0111 Hvaler;111;Hvaler;11;1;10;100;9,1;90,9
0118 Aremark;118;Aremark;:;:;:;:;:;:
0119 Marker;119;Marker;7;1;6;100;14,3;85,7
0121 Rømskog;121;Rømskog;:;:;:;:;:;:
0122 Trøgstad;122;Trøgstad;29;11;18;100;37,9;62,1
0123 Spydeberg;123;Spydeberg;21;6;15;100;28,6;71,4
0124 Askim;124;Askim;54;17;37;100;31,5;68,5
0125 Eidsberg;125;Eidsberg;58;25;33;100;43,1;56,9
0127 Skiptvet;127;Skiptvet;14;3;11;100;21,4;78,6
0128 Rakkestad;128;Rakkestad;29;10;19;100;34,5;65,5
0135 Råde;135;Råde;29;3;26;100;10,3;89,7
0136 Rygge;136;Rygge;49;9;40;100;18,4;81,6
0137 Våler;137;Våler;25;5;20;100;20;80
0138 Hobøl;138;Hobøl;19;1;18;100;5,3;94,7
0211 Vestby;211;Vestby;82;31;51;100;37,8;62,2
0213 Ski;213;Ski;135;64;71;100;47,4;52,6
0214 Ås;214;Ås;81;27;54;100;33,3;66,7
0215 Frogn;215;Frogn;60;21;39;100;35;65
0216 Nesodden;216;Nesodden;69;24;45;100;34,8;65,2
0217 Oppegård;217;Oppegård;105;49;56;100;46,7;53,3
0219 Bærum;219;Bærum;545;292;253;100;53,6;46,4
0220 Asker;220;Asker;189;87;102;100;46;54
0221 Aurskog-Høland;221;Aurskog-Høland;69;12;57;100;17,4;82,6
0226 Sørum;226;Sørum;94;29;65;100;30,9;69,1
0227 Fet;227;Fet;53;16;37;100;30,2;69,8
0228 Rælingen;228;Rælingen;82;24;58;100;29,3;70,7
0229 Enebakk;229;Enebakk;47;10;37;100;21,3;78,7
0230 Lørenskog;230;Lørenskog;162;75;87;100;46,3;53,7
0231 Skedsmo;231;Skedsmo;304;135;169;100;44,4;55,6
0233 Nittedal;233;Nittedal;105;32;73;100;30,5;69,5
0234 Gjerdrum;234;Gjerdrum;32;8;24;100;25;75
0235 Ullensaker;235;Ullensaker;174;60;114;100;34,5;65,5
0236 Nes;236;Nes;111;34;77;100;30,6;69,4
0237 Eidsvoll;237;Eidsvoll;113;29;84;100;25,7;74,3
0238 Nannestad;238;Nannestad;56;13;43;100;23,2;76,8
0239 Hurdal;239;Hurdal;10;5;5;100;50;50
0301 Oslo;301;Oslo;4966;2998;1968;100;60,4;39,6
0402 Kongsvinger;402;Kongsvinger;100;24;76;100;24;76
0403 Hamar;403;Hamar;164;50;114;100;30,5;69,5
0412 Ringsaker;412;Ringsaker;168;27;141;100;16,1;83,9
0415 Løten;415;Løten;36;1;35;100;2,8;97,2
0417 Stange;417;Stange;104;18;86;100;17,3;82,7
0418 Nord-Odal;418;Nord-Odal;29;1;28;100;3,4;96,6
0419 Sør-Odal;419;Sør-Odal;33;2;31;100;6,1;93,9
0420 Eidskog;420;Eidskog;30;5;25;100;16,7;83,3
0423 Grue;423;Grue;20;6;14;100;30;70
0425 Åsnes;425;Åsnes;23;5;18;100;21,7;78,3
0426 Våler;426;Våler;20;1;19;100;5;95
