Naringsgregion;naringsregion_nr;naringsregion_navn;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;117;35;82;100;29,9;70,1
02 Indre Østfold;2;Indre Østfold;236;75;161;100;31,8;68,2
03 Mosseregionen;3;Mosseregionen;252;68;184;100;27;73
04 Nedre Glomma;4;Nedre Glomma;650;205;445;100;31,5;68,5
05 Akershus Vest;5;Akershus Vest;734;379;355;100;51,6;48,4
06 Follo;6;Follo;579;226;353;100;39;61
07 Nedre Romerike;7;Nedre Romerike;869;323;546;100;37,2;62,8
08 Øvre Romerike;8;Øvre Romerike;496;149;347;100;30;70
09 Oslo;9;Oslo;4966;2998;1968;100;60,4;39,6
10 Fjellregionen;10;Fjellregionen;90;19;71;100;21,1;78,9
11 Glåmdal;11;Glåmdal;255;44;211;100;17,3;82,7
12 Hamarregionen;12;Hamarregionen;472;96;376;100;20,3;79,7
13 Sør Østerdal;13;Sør Østerdal;191;49;142;100;25,7;74,3
14 Gjøvikregionen;14;Gjøvikregionen;316;80;236;100;25,3;74,7
15 Hadeland;15;Hadeland;124;21;103;100;16,9;83,1
16 Lillehammerregionen;16;Lillehammerregionen;124;41;83;100;33,1;66,9
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;55;7;48;100;12,7;87,3
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;68;7;61;100;10,3;89,7
19 Valdres;19;Valdres;57;9;48;100;15,8;84,2
20 Drammensregionen;20;Drammensregionen;997;411;586;100;41,2;58,8
21 Hallingdal;21;Hallingdal;62;14;48;100;22,6;77,4
22 Kongsberg/Numedal;22;Kongsberg/Numedal;132;47;85;100;35,6;64,4
23 Midt-Buskerud;23;Midt-Buskerud;101;22;79;100;21,8;78,2
24 Ringerike/Hole;24;Ringerike/Hole;177;60;117;100;33,9;66,1
25 Tønsbergregionen;25;Tønsbergregionen;813;184;629;100;22,6;77,4
26 Sandefjord/Larvik;26;Sandefjord/Larvik;473;93;380;100;19,7;80,3
27 Grenland;27;Grenland;914;344;570;100;37,6;62,4
28 Midt-Telemark;28;Midt-Telemark;106;27;79;100;25,5;74,5
29 Øst-Telemark;29;Øst-Telemark;168;54;114;100;32,1;67,9
30 Vest-Telemark;30;Vest-Telemark;78;16;62;100;20,5;79,5
31 Setesdal;31;Setesdal;34;11;23;100;32,4;67,6
32 Arendalregionen;32;Arendalregionen;538;143;395;100;26,6;73,4
33 Lister;33;Lister;122;25;97;100;20,5;79,5
34 Mandalsregionen;34;Mandalsregionen;121;44;77;100;36,4;63,6
35 Kristiansandregionen;35;Kristiansandregionen;569;186;383;100;32,7;67,3
36 Dalane;36;Dalane;88;11;77;100;12,5;87,5
37 Haugesundregionen;37;Haugesundregionen;435;89;346;100;20,5;79,5
38 Ryfylke;38;Ryfylke;96;14;82;100;14,6;85,4
39 Stavangerregionen;39;Stavangerregionen;1299;323;976;100;24,9;75,1
40 Bergen;40;Bergen;1873;645;1228;100;34,4;65,6
41 Bjørnefjorden;41;Bjørnefjorden;193;35;158;100;18,1;81,9
42 Hardanger;42;Hardanger;152;29;123;100;19,1;80,9
43 Voss;43;Voss;102;18;84;100;17,6;82,4
44 Nordhordland;44;Nordhordland;174;33;141;100;19;81
45 Osterfjorden;45;Osterfjorden;105;17;88;100;16,2;83,8
46 Sunnhordland;46;Sunnhordland;488;98;390;100;20,1;79,9
47 Hordaland Vest;47;Hordaland Vest;447;77;370;100;17,2;82,8
48 HAFS;48;HAFS;51;10;41;100;19,6;80,4
49 Nordfjord;49;Nordfjord;141;31;110;100;22;78
50 Sogn;50;Sogn;136;22;114;100;16,2;83,8
51 Sunnfjord;51;Sunnfjord;176;50;126;100;28,4;71,6
52 Nordmøre;52;Nordmøre;239;53;186;100;22,2;77,8
53 Romsdal;53;Romsdal;302;50;252;100;16,6;83,4
54 Storfjord;54;Storfjord;121;32;89;100;26,4;73,6
55 Søre Sunnmøre;55;Søre Sunnmøre;163;41;122;100;25,2;74,8
56 Ålesundregionen;56;Ålesundregionen;286;56;230;100;19,6;80,4
57 Fosen;57;Fosen;125;7;118;100;5,6;94,4
58 Hitra/Frøya;58;Hitra/Frøya;39;5;34;100;12,8;87,2
59 Oppdal/Rennebu;59;Oppdal/Rennebu;30;1;29;100;3,3;96,7
60 Orkdalregionen;60;Orkdalregionen;161;23;138;100;14,3;85,7
61 Trondheimsregionen;61;Trondheimsregionen;1328;296;1032;100;22,3;77,7
62 Rørosregionen;62;Rørosregionen;31;1;30;100;3,2;96,8
63 Stjørdalsregionen;63;Stjørdalsregionen;208;53;155;100;25,5;74,5
64 Innherred;64;Innherred;430;92;338;100;21,4;78,6
65 Indre Namdal;65;Indre Namdal;27;5;22;100;18,5;81,5
66 Kystgruppen;66;Kystgruppen;47;3;44;100;6,4;93,6
67 Midtre Namdal;67;Midtre Namdal;148;39;109;100;26,4;73,6
68 Sør-Helgeland;68;Sør-Helgeland;57;8;49;100;14;86
69 HALD;69;HALD;93;29;64;100;31,2;68,8
70 Ytre Helgeland;70;Ytre Helgeland;26;3;23;100;11,5;88,5
71 Mosjøregionen;71;Mosjøregionen;52;10;42;100;19,2;80,8
72 Ranaregionen;72;Ranaregionen;180;31;149;100;17,2;82,8
73 Salten;73;Salten;451;60;391;100;13,3;86,7
74 Ofoten;74;Ofoten;128;27;101;100;21,1;78,9
75 Lofoten;75;Lofoten;145;15;130;100;10,3;89,7
76 Vesterålen;76;Vesterålen;191;50;141;100;26,2;73,8
77 Sør-Troms;77;Sør-Troms;139;42;97;100;30,2;69,8
78 Midt-Troms;78;Midt-Troms;128;15;113;100;11,7;88,3
79 Tromsøregionen;79;Tromsøregionen;300;69;231;100;23;77
80 Nord-Troms;80;Nord-Troms;92;5;87;100;5,4;94,6
81 Vest-Finnmark;81;Vest-Finnmark;218;27;191;100;12,4;87,6
82 Midt-Finnmark;82;Midt-Finnmark;102;12;90;100;11,8;88,2
83 Øst-Finnmark;83;Øst-Finnmark;133;38;95;100;28,6;71,4
