fylke;fylke_nr;fylke_navn;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen;utd_6.grunnskole;utd_6.vgs;utd_6.universitet_og_hogskole;utd_6.universitet_og_hogskole_kort;utd_6.universitet_og_hogskole_lang;utd_6.uoppgitt_ingen
Nedbrytninger;;;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Innvkat og kjønn;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;242143;533233;569679;400944;168735;82370;57636;68906;92408;54334;38074;79055;184507;464327;477271;346610;130661;3315;12,12;26,7;28,52525457;20,08;8,45;4,12;19,34;23,12;31,01;18,23;12,78;26,53;16,34;41,11;42,26;30,69;11,57;0,29;132226;308037;244051;158005;86046;51469;28344;40293;42517;23778;18739;49389;103882;267744;201534;134227;67307;2080;17,97;41,87;33,16;21,47;11,69;7;17,66;25,1;26,48;14,81;11,67;30,76;18,06;46,54;35,03;23,33;11,7;0,36;109917;225196;325628;242939;82689;30901;29292;28613;49891;30556;19335;29666;80625;196583;275737;212383;63354;1235;15,89;32,56;47,08;35,12;11,96;4,47;21,31;20,82;36,3;22,23;14,07;21,58;14,55;35,47;49,75;38,32;11,43;0,22
01 Østfold;1;Østfold;17887;31543;24464;19536;4928;3743;3755;4020;3588;2553;1035;3503;14132;27523;20876;16983;3893;240;23;40,6;31,5;25,2;6,3;4,8;25,3;27;24,2;17,2;7;23,6;22,5;43,8;33,3;27,1;6,2;0,4;9594;17772;9883;7351;2532;2278;1761;2379;1556;1070;486;2129;7833;15393;8327;6281;2046;149;24,3;45;25;18,6;6,4;5,8;22,5;30,4;19,9;13,7;6,2;27,2;24,7;48,6;26,3;19,8;6,5;0,5;8293;13771;14581;12185;2396;1465;1994;1641;2032;1483;549;1374;6299;12130;12549;10702;1847;91;21,8;36,1;38,3;32;6,3;3,8;28,3;23,3;28,9;21,1;7,8;19,5;20,3;39;40,3;34,4;5,9;0,3
02 Akershus;2;Akershus;27291;57642;73753;49869;23884;10002;6820;9641;13294;8162;5132;9686;20471;48001;60459;41707;18752;316;16,2;34,2;43,8;29,6;14,2;5,9;17,3;24,4;33,7;20,7;13;24,6;15,8;37,1;46,8;32,3;14,5;0,2;14896;31186;32180;20267;11913;6465;3321;5484;5840;3409;2431;6258;11575;25702;26340;16858;9482;207;17,6;36,8;38;23,9;14,1;7,6;15,9;26,2;27,9;16,3;11,6;29,9;18,1;40,3;41,3;26,4;14,9;0,3;12395;26456;41573;29602;11971;3537;3499;4157;7454;4753;2701;3428;8896;22299;34119;24849;9270;109;14,8;31,5;49,6;35,3;14,3;4,2;18,9;22,4;40,2;25,6;14,6;18,5;13,6;34,1;52,2;38;14,2;0,2
03 Oslo;3;Oslo;30266;47547;111823;64486;47337;19329;16304;15293;23794;13547;10247;18907;13962;32254;88029;50939;37090;422;14,5;22,8;53,6;30,9;22,7;9,2;21,9;20,6;32;18,2;13,8;25,4;10,4;24;65,3;37,8;27,5;0,3;16542;27179;53830;29947;23883;12049;8145;8849;11587;6382;5205;11814;8397;18330;42243;23565;18678;235;15,1;24,8;49,1;27,3;21,8;11;20,2;21,9;28,7;15,8;12,9;29,2;12,1;26,5;61,1;34,1;27;0,3;13724;20368;57993;34539;23454;7280;8159;6444;12207;7165;5042;7093;5565;13924;45786;27374;18412;187;13,8;20,5;58,4;34,8;23,6;7,3;24,1;19;36;21,1;14,9;20,9;8,5;21,3;69,9;41,8;28,1;0,3
04 Hedmark;4;Hedmark;10617;20794;15867;12759;3108;1809;1248;1609;1759;1157;602;1622;9369;19185;14108;11602;2506;187;21,6;42,4;32,3;26;6,3;3,7;20;25,8;28,2;18,5;9,7;26;21,9;44,8;32,9;27,1;5,8;0,4;5900;11910;6024;4497;1527;1068;596;895;735;456;279;940;5304;11015;5289;4041;1248;128;23,7;47,8;24,2;18,1;6,1;4,3;18,8;28,3;23,2;14,4;8,8;29,7;24,4;50,7;24,3;18,6;5,7;0,6;4717;8884;9843;8262;1581;741;652;714;1024;701;323;682;4065;8170;8819;7561;1258;59;19,5;36,7;40,7;34,2;6,5;3,1;21,2;23,2;33,3;22,8;10,5;22,2;19,3;38,7;41,8;35,8;6;0,3
05 Oppland;5;Oppland;8970;22261;15212;12178;3034;1817;1255;1595;1747;1149;598;1687;7715;20666;13465;11029;2436;130;18,6;46,1;31,5;25,2;6,3;3,8;20;25,4;27,8;18,3;9,5;26,8;18,4;49,2;32,1;26,3;5,8;0,3;5188;12615;5792;4281;1511;1076;656;918;764;495;269;1001;4532;11697;5028;3786;1242;75;21;51,1;23,5;17,4;6,1;4,4;19,6;27,5;22,9;14,8;8,1;30;21,2;54,8;23,5;17,7;5,8;0,4;3782;9646;9420;7897;1523;741;599;677;983;654;329;686;3183;8969;8437;7243;1194;55;16;40,9;40;33,5;6,5;3,1;20,3;23;33,4;22,2;11,2;23,3;15,4;43,4;40,9;35,1;5,8;0,3
06 Buskerud;6;Buskerud;14845;30271;26944;20300;6644;4616;3945;4439;5053;3309;1744;4406;10900;25832;21891;16991;4900;210;19,4;39,5;35,2;26,5;8,7;6;22,1;24,9;28,3;18,5;9,8;24,7;18,5;43,9;37,2;28,9;8,3;0,4;8019;16933;11473;7973;3500;2862;1870;2589;2294;1445;849;2745;6149;14344;9179;6528;2651;117;20,4;43,1;29,2;20,3;8,9;7,3;19,7;27,3;24,1;15,2;8,9;28,9;20,6;48,2;30,8;21,9;8,9;0,4;6826;13338;15471;12327;3144;1754;2075;1850;2759;1864;895;1661;4751;11488;12712;10463;2249;93;18,3;35,7;41,4;33;8,4;4,7;24,9;22,2;33;22,3;10,7;19,9;16,4;39,6;43,7;36;7,7;0,3
