Fylkenr-fylkenavn;fylke_nr;"Fylke
navn";rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
00 Hele landet;0;Hele landet;15492;4453;326;10713;8002;7490;2026;2427;205;121;5771;4942
01 Østfold;1;Østfold;484;51;14;419;293;191;24;27;:;:;258;161
02 Akershus;2;Akershus;1379;486;36;857;734;645;199;287;22;14;513;344
03 Oslo;3;Oslo;2666;1316;56;1294;1401;1265;566;750;36;20;799;495
04 Hedmark;4;Hedmark;478;22;8;448;199;279;11;11;:;:;187;261
05 Oppland;5;Oppland;551;48;12;491;270;281;23;25;:;:;243;248
06 Buskerud;6;Buskerud;724;145;26;553;399;325;82;63;17;9;300;253
07 Vestfold;7;Vestfold;431;56;11;364;266;165;29;27;8;3;229;135
08 Telemark;8;Telemark;462;26;15;421;228;234;10;16;7;8;211;210
09 Aust-Agder;9;Aust-Agder;313;52;:;257;156;157;24;28;:;:;129;128
10 Vest-Agder;10;Vest-Agder;581;68;13;500;280;301;32;36;11;2;237;263
11 Rogaland;11;Rogaland;1566;731;23;812;869;697;357;374;14;9;498;314
12 Hordaland;12;Hordaland;1383;417;24;942;704;679;192;225;11;13;501;441
14 Sogn og Fjordane;14;Sogn og Fjordane;321;29;:;288;157;164;17;12;:;:;137;151
15 Møre og Romsdal;15;Møre og Romsdal;657;110;17;530;352;305;49;61;12;5;291;239
16 Sør-Trøndelag;16;Sør-Trøndelag;782;262;16;504;407;375;128;134;:;:;266;238
17 Nord-Trøndelag;17;Nord-Trøndelag;395;32;11;352;206;189;12;20;:;:;186;166
18 Nordland;18;Nordland;830;78;12;740;372;458;39;39;:;:;325;415
19 Troms ;19;Troms ;599;89;8;502;287;312;39;50;:;:;243;259
20 Finnmark ;20;Finnmark ;305;50;9;246;144;161;21;29;:;:;115;131
99 Uoppgitt fylke;99;Uoppgitt fylke;585;385;7;193;278;307;172;213;:;:;103;90
