kommune_nr-kommunenavn;kommune_nr;kommunenavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
0101 Halden;101;Halden;41;9;:;32;26;15;:;5;:;:;22;10
0104 Moss;104;Moss;69;11;:;57;40;29;6;5;:;:;34;23
0105 Sarpsborg;105;Sarpsborg;102;6;:;92;63;39;:;:;:;:;57;35
0106 Fredrikstad;106;Fredrikstad;135;12;:;119;76;59;:;8;:;:;70;49
0111 Hvaler;111;Hvaler;5;:;:;:;:;:;:;:;:;:;:;:
0118 Aremark;118;Aremark;:;:;:;:;:;:;:;:;:;:;:;:
0119 Marker;119;Marker;:;:;:;:;:;:;:;:;:;:;:;:
0121 Rømskog;121;Rømskog;.;.;.;.;.;.;.;.;.;.;.;.
0122 Trøgstad;122;Trøgstad;9;:;:;9;:;5;:;:;:;:;:;5
0123 Spydeberg;123;Spydeberg;18;:;:;15;13;5;:;:;:;:;10;5
0124 Askim;124;Askim;23;5;:;18;18;5;:;:;:;:;16;:
0125 Eidsberg;125;Eidsberg;20;:;:;18;16;:;:;:;:;:;14;:
0127 Skiptvet;127;Skiptvet;:;:;:;:;:;:;:;:;:;:;:;:
0128 Rakkestad;128;Rakkestad;9;:;:;9;:;5;:;:;:;:;:;5
0135 Råde;135;Råde;5;:;:;5;:;:;:;:;:;:;:;:
0136 Rygge;136;Rygge;20;:;:;17;10;10;:;:;:;:;9;8
0137 Våler (Østfold);137;Våler (Østf.);7;:;:;7;5;:;:;:;:;:;5;:
0138 Hobøl;138;Hobøl;13;:;:;11;6;7;:;:;:;:;:;7
0211 Vestby;211;Vestby;32;:;:;30;17;15;:;:;:;:;16;14
0213 Ski;213;Ski;59;7;:;50;27;32;:;:;:;:;24;26
0214 Ås;214;Ås;68;30;:;37;31;37;14;16;:;:;17;20
0215 Frogn;215;Frogn;28;:;:;24;17;11;:;:;:;:;14;10
0216 Nesodden;216;Nesodden;24;7;:;16;10;14;:;:;:;:;7;9
0217 Oppegård;217;Oppegård;41;8;:;31;23;18;5;:;:;:;17;14
0219 Bærum;219;Bærum;368;228;6;134;189;179;100;128;5;:;84;50
0220 Asker;220;Asker;196;95;5;96;104;92;41;54;:;:;60;36
0221 Aurskog Høland;221;Aurskog-Høland;15;:;:;15;11;:;:;:;:;:;11;:
0226 Sørum;226;Sørum;28;6;:;20;19;9;:;:;:;:;14;6
0227 Fet;227;Fet;10;:;:;10;7;:;:;:;:;:;7;:
0228 Rælingen;228;Rælingen;43;7;:;36;19;24;:;6;:;:;18;18
0229 Enebakk;229;Enebakk;16;5;:;11;8;8;:;5;:;:;8;:
0230 Lørenskog;230;Lørenskog;73;12;:;58;40;33;:;10;:;:;36;22
0231 Skedsmo;231;Skedsmo;160;43;:;114;81;79;9;34;:;:;70;44
0233 Nittedal;233;Nittedal;34;:;:;26;21;13;:;:;:;:;17;9
0234 Gjerdrum;234;Gjerdrum;9;:;:;9;6;:;:;:;:;:;6;:
0235 Ullensaker;235;Ullensaker;69;11;:;54;40;29;5;6;:;:;33;21
0236 Nes (Akershus);236;Nes (Ak.);37;:;:;35;22;15;:;:;:;:;22;13
0237 Eidsvoll;237;Eidsvoll;36;6;:;28;22;14;:;:;:;:;19;9
0238 Nannestad;238;Nannestad;29;10;:;19;18;11;7;:;:;:;11;8
0239 Hurdal;239;Hurdal;:;:;:;:;:;:;:;:;:;:;:;:
0301 Oslo;301;Oslo kommune;2666;1316;56;1294;1401;1265;566;750;36;20;799;495
0402 Kongsvinger;402;Kongsvinger;72;:;:;69;22;50;:;:;:;:;22;47
0403 Hamar;403;Hamar;70;6;:;62;27;43;5;:;:;:;22;40
0412 Ringsaker;412;Ringsaker;35;:;:;31;20;15;:;:;:;:;19;12
0415 Løten;415;Løten;13;:;:;12;9;:;:;:;:;:;8;:
0417 Stange;417;Stange;50;:;:;49;22;28;:;:;:;:;22;27
0418 Nord-Odal;418;Nord-Odal;:;:;:;:;:;:;:;:;:;:;:;:
0419 Sør-Odal;419;Sør-Odal;14;:;:;12;10;:;:;:;:;:;10;:
0420 Eidskog;420;Eidskog;5;:;:;5;:;:;:;:;:;:;:;:
0423 Grue;423;Grue;:;:;:;:;:;:;:;:;:;:;:;:
0425 Åsnes;425;Åsnes;45;:;:;45;14;31;:;:;:;:;14;31
0426 Våler (Hedm.);426;Våler (Hedm.);:;:;:;:;:;:;:;:;:;:;:;:
0427 Elverum;427;Elverum;33;:;:;32;16;17;:;:;:;:;16;16
