naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
01 Halden;1;Halden;41;9;:;32;26;15;:;5;:;:;22;10
02 Indre Østfold;2;Indre Østfold;100;10;:;86;68;32;7;:;:;:;57;29
03 Mosseregionen;3;Mosseregionen;101;13;:;86;57;44;6;7;:;:;50;36
04 Nedre Glomma;4;Nedre Glomma;242;19;8;215;142;100;7;12;6;:;129;86
05 Akershus Vest;5;Akershus Vest;564;323;11;230;293;271;141;182;8;:;144;86
06 Follo;6;Follo;268;62;7;199;133;135;28;34;:;5;103;96
07 Nedre Romerike;7;Nedre Romerike;363;72;12;279;198;165;16;56;9;:;173;106
08 Øvre Romerike;8;Øvre Romerike;184;29;6;149;110;74;14;15;:;:;93;56
09 Oslo;9;Oslo;2666;1316;56;1294;1401;1265;566;750;36;20;799;495
10 Fjellregionen;10;Fjellregionen;46;:;:;41;18;28;:;:;:;:;17;24
11 Glåmdal;11;Glåmdal;146;:;:;141;58;88;:;:;:;:;58;83
12 Hamarregionen;12;Hamarregionen;168;11;:;154;78;90;7;:;:;:;71;83
13 Sør Østerdal;13;Sør Østerdal;118;5;:;112;45;73;:;:;:;:;41;71
14 Gjøvikregionen;14;Gjøvikregionen;187;21;6;160;99;88;10;11;:;:;85;75
15 Hadeland;15;Hadeland;95;:;:;92;69;26;:;:;:;:;66;26
16 Lillehammerregionen;16;Lillehammerregionen;81;22;:;57;40;41;9;13;:;:;31;26
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;25;:;:;23;8;17;:;:;:;:;7;16
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;88;:;:;87;33;55;:;:;:;:;33;54
19 Valdres;19;Valdres;75;:;:;72;21;54;:;:;:;:;21;51
20 Drammensregionen;20;Drammensregionen;413;72;12;329;241;172;39;33;8;:;194;135
21 Hallingdal;21;Hallingdal;75;:;:;69;30;45;:;:;:;:;26;43
22 Kongsberg/Numedal;22;Kongsberg/Numedal;149;57;5;87;80;69;34;23;:;:;44;43
23 Midt-Buskerud;23;Midt-Buskerud;35;:;:;31;18;17;:;:;:;:;16;15
24 Ringerike/Hole;24;Ringerike/Hole;74;11;:;59;44;30;6;5;:;:;34;25
25 Tønsbergregionen;25;Tønsbergregionen;253;28;:;221;155;98;14;14;:;:;139;82
