kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.alle;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.b1;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a2;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.under_a1;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;spraaknivaa.ikke_vurdert;
;;;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;provetype.muntlig;provetype.lytting;provetype.lese;provetype.skriftlig;
nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;
0101 Halden;101;Halden;27;36;36;36;30;50;50;14;8;18;18;5;63;36;36;56;17;13;13;20;7;14;14;31;2;5;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0104 Moss;104;Moss;33;50;50;50;48;52;54;28;16;26;27;14;27;32;24;36;9;16;12;18;15;14;14;30;5;7;7;15;6;2;8;2;2;1;4;1;3;0;0;2;1;0;0;1;
0105 Sarpsborg;105;Sarpsborg;96;102;103;102;40;48;49;13;38;49;50;13;57;40;32;53;55;41;33;54;0;12;17;29;0;12;18;30;0;0;2;4;0;0;2;4;3;0;0;2;3;0;0;2;
0106 Fredrikstad;106;Fredrikstad;84;121;121;121;42;61;58;19;35;74;70;23;55;31;28;55;46;38;34;67;4;7;14;26;3;8;17;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0111 Hvaler;111;Hvaler;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0118 Aremark;118;Aremark;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0119 Marker;119;Marker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0121 Rømskog;121;Rømskog;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0122 Trøgstad;122;Trøgstad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0123 Spydeberg;123;Spydeberg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0124 Askim;124;Askim;19;25;25;25;63;72;76;28;12;18;19;7;26;20;12;64;5;5;3;16;11;4;8;0;2;1;2;0;0;4;4;0;0;1;1;0;0;0;0;0;0;0;0;0;
0125 Eidsberg;125;Eidsberg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0127 Skiptvet;127;Skiptvet;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0128 Rakkestad;128;Rakkestad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0135 Råde;135;Råde;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
0136 Rygge;136;Rygge;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
