Bydel nr & navn;bydel_nr;"Bydel
navn";kjonn.alle;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo;783;416;367
030101 Gamle Oslo;30101;Gamle Oslo;55;30;25
030102 Grünerløkka;30102;Grünerløkka;86;40;46
030103 Sagene;30103;Sagene;49;30;19
030104 St. Hanshaugen;30104;St. Hanshaugen;44;18;26
030105 Frogner;30105;Frogner;48;20;28
030106 Ullern;30106;Ullern;33;18;15
030107 Vestre Aker;30107;Veste Aker;52;27;25
030108 Nordre Aker;30108;Nordre Aker;40;23;17
030109 Bjerke;30109;Bjerke;38;18;20
030110 Grorud;30110;Grorud;39;23;16
030111 Stovner;30111;Stovner;47;30;17
030112 Alna;30112;Alna;77;40;37
030113 Østensjø;30113;Østensjø;35;18;17
030114 Nordstrand;30114;Nordstrand;38;24;14
030115 Søndre Nordstrand;30115;Søndre Nordstrand;57;34;23
030116 Sentrum;30116;Sentrum;:;:;:
030117 Marka;30117;Marka;.;.;.
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;44;23;21
