kommune_nr-kommunenavn;kommune_nr;kommunenavn;kjonn.alle;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer
0101 Halden;101;Halden;16;11;5
0104 Moss;104;Moss;46;23;23
0105 Sarpsborg;105;Sarpsborg;102;38;64
0106 Fredrikstad;106;Fredrikstad;94;48;46
0111 Hvaler;111;Hvaler;9;6;:
0118 Aremark;118;Aremark;.;.;.
0119 Marker;119;Marker;6;:;:
0121 Rømskog;121;Rømskog;.;.;.
0122 Trøgstad;122;Trøgstad;6;:;6
0123 Spydeberg;123;Spydeberg;25;12;13
0124 Askim;124;Askim;18;7;11
0125 Eidsberg;125;Eidsberg;19;9;10
0127 Skiptvet;127;Skiptvet;:;:;:
0128 Rakkestad;128;Rakkestad;7;:;:
0135 Råde;135;Råde;7;6;:
0136 Rygge;136;Rygge;.;.;.
0137 Våler (Østfold);137;Våler (Østf.);.;.;.
0138 Hobøl;138;Hobøl;:;:;:
0211 Vestby;211;Vestby;36;15;21
0213 Ski;213;Ski;71;30;41
0214 Ås;214;Ås;34;14;20
0215 Frogn;215;Frogn;18;9;9
0216 Nesodden;216;Nesodden;23;9;14
0217 Oppegård;217;Oppegård;46;23;23
0219 Bærum;219;Bærum;204;94;110
0220 Asker;220;Asker;85;46;39
0221 Aurskog Høland;221;Aurskog-Høland;16;8;8
0226 Sørum;226;Sørum;20;7;13
0227 Fet;227;Fet;:;:;:
0228 Rælingen;228;Rælingen;33;10;23
0229 Enebakk;229;Enebakk;11;5;6
0230 Lørenskog;230;Lørenskog;42;15;27
0231 Skedsmo;231;Skedsmo;118;59;59
0233 Nittedal;233;Nittedal;26;14;12
0234 Gjerdrum;234;Gjerdrum;8;:;5
0235 Ullensaker;235;Ullensaker;26;13;13
0236 Nes (Akershus);236;Nes (Ak.);28;14;14
0237 Eidsvoll;237;Eidsvoll;22;10;12
0238 Nannestad;238;Nannestad;26;11;15
0239 Hurdal;239;Hurdal;:;:;:
0301 Oslo;301;Oslo kommune;783;416;367
0402 Kongsvinger;402;Kongsvinger;34;19;15
0403 Hamar;403;Hamar;71;37;34
0412 Ringsaker;412;Ringsaker;37;19;18
0415 Løten;415;Løten;11;6;5
0417 Stange;417;Stange;76;37;39
0418 Nord-Odal;418;Nord-Odal;:;:;:
0419 Sør-Odal;419;Sør-Odal;15;9;6
0420 Eidskog;420;Eidskog;5;:;:
0423 Grue;423;Grue;8;6;:
0425 Åsnes;425;Åsnes;19;11;8
0426 Våler (Hedm.);426;Våler (Hedm.);.;.;.
0427 Elverum;427;Elverum;46;26;20
0428 Trysil;428;Trysil;14;5;9
0429 Åmot;429;Åmot;:;:;:
0430 Stor-Elvdal;430;Stor-Elvdal;7;:;5
0432 Rendalen;432;Rendalen;8;:;:
0434 Engerdal;434;Engerdal;7;6;:
0436 Tolga;436;Tolga;13;5;8
0437 Tynset;437;Tynset;23;7;16
0438 Alvdal;438;Alvdal;15;12;:
0439 Folldal;439;Folldal;8;:;5
0441 Os (Hedm.);441;Os (Hedm.);.;.;.
0501 Lillehammer;501;Lillehammer;45;21;24
0502 Gjøvik;502;Gjøvik;76;32;44
0511 Dovre;511;Dovre;12;9;:
0512 Lesja;512;Lesja;:;:;:
0513 Skjåk;513;Skjåk;13;5;8
0514 Lom;514;Lom;12;:;8
0515 Vågå;515;Vågå;20;13;7
0516 Nord-Fron;516;Nord-Fron;24;11;13
0517 Sel;517;Sel;31;13;18
0519 Sør-Fron;519;Sør-Fron;:;:;:
0520 Ringebu;520;Ringebu;9;7;:
0521 Øyer;521;Øyer;17;9;8
0522 Gausdal;522;Gausdal;7;:;:
0528 Østre Toten;528;Østre Toten;16;7;9
0529 Vestre Toten;529;Vestre Toten;26;15;11
0532 Jevnaker;532;Jevnaker;12;:;10
0533 Lunner;533;Lunner;63;41;22
0534 Gran;534;Gran;80;58;22
0536 Søndre Land;536;Søndre Land;9;6;:
0538 Nordre Land;538;Nordre Land;21;10;11
0540 Sør-Aurdal;540;Sør-Aurdal;7;:;:
0541 Etnedal;541;Etnedal;:;:;:
0542 Nord-Aurdal;542;Nord-Aurdal;16;9;7
0543 Vestre Slidre;543;Vestre Slidre;5;:;:
0544 Øystre Slidre;544;Øystre Slidre;8;:;6
0545 Vang;545;Vang;5;5;:
0602 Drammen;602;Drammen;161;81;80
0604 Kongsberg;604;Kongsberg;43;17;26
0605 Ringerike;605;Ringerike;50;22;28
0612 Hole;612;Hole;5;:;:
0615 Flå;615;Flå;5;:;:
0616 Nes (Busk.);616;Nes (Busk.);10;:;7
0617 Gol;617;Gol;14;8;6
0618 Hemsedal;618;Hemsedal;7;:;:
0619 Ål;619;Ål;14;:;11
0620 Hol;620;Hol;:;:;:
0621 Sigdal;621;Sigdal;5;:;:
0622 Krødsherad;622;Krødsherad;.;.;.
0623 Modum;623;Modum;15;6;9
0624 Øvre Eiker;624;Øvre Eiker;25;13;12
0625 Nedre Eiker;625;Nedre Eiker;36;18;18
0626 Lier;626;Lier;31;15;16
0627 Røyken;627;Røyken;30;15;15
0628 Hurum;628;Hurum;23;13;10
0631 Flesberg;631;Flesberg;14;7;7
0632 Rollag;632;Rollag;10;8;:
0633 Nore og Uvdal;633;Nore og Uvdal;7;7;:
0701 Horten;701;Horten;62;37;25
0702 Holmestrand;702;Holmestrand;16;11;5
0704 Tønsberg;704;Tønsberg;43;25;18
0706 Sandefjord;706;Sandefjord;57;30;27
0709 Larvik;709;Larvik;66;30;36
0711 Svelvik;711;Svelvik;8;:;5
0713 Sande (Vestf.);713;Sande (Vestf.);20;10;10
0714 Hof;714;Hof;:;:;:
0716 Re;716;Re (f.o.m. 2002);12;:;9
0719 Andebu;719;Andebu;:;:;:
0720 Stokke;720;Stokke;20;11;9
0722 Nøtterøy;722;Nøtterøy;25;14;11
0723 Tjøme;723;Tjøme;10;:;6
0728 Lardal;728;Lardal;.;.;.
0805 Porsgrunn;805;Porsgrunn;81;40;41
0806 Skien;806;Skien;147;69;78
0807 Notodden;807;Notodden;60;26;34
0811 Siljan;811;Siljan;12;6;6
0814 Bamble;814;Bamble;48;28;20
0815 Kragerø;815;Kragerø;43;22;21
0817 Drangedal;817;Drangedal;14;8;6
0819 Nome;819;Nome;15;7;8
0821 Bø (Telemark);821;Bø (Telem.);20;11;9
0822 Sauherad;822;Sauherad;19;10;9
0826 Tinn;826;Tinn;22;6;16
0827 Hjartdal;827;Hjartdal;:;:;:
0828 Seljord;828;Seljord;14;8;6
0829 Kviteseid;829;Kviteseid;.;.;.
0830 Nissedal;830;Nissedal;.;.;.
0831 Fyresdal;831;Fyresdal;7;:;:
0833 Tokke;833;Tokke;.;.;.
0834 Vinje;834;Vinje;9;:;5
0901 Risør;901;Risør;33;16;17
0904 Grimstad;904;Grimstad;67;28;39
0906 Arendal;906;Arendal;119;54;65
0911 Gjerstad;911;Gjerstad;26;6;20
