Bydel nr & navn;bydel_nr;"Bydel
navn";avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;kjonn.alle;kjonn.alle;avslutning_arsak_8.alle;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;enhet.prosent;enhet.prosent;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;309;79;12;29;102;32;11;44;25,566343;3,8834951;9,3851133;33,0097087;10,3559871;3,5598706;14,2394822;309;131;178;42,39482201;57,60517799;154;155;47;32;9;:;12;17;30;72;19;13;10;:;27;17;30,51948052;20,64516129;5,844155844;:;7,792207792;10,96774194;19,48051948;46,4516129;12,33766234;8,387096774;6,493506494;:;17,53246753;10,96774194;154;155;42;89;112;66;27,27272727;57,41935484;72,72727273;42,58064516
030101 Gamle Oslo;30101;Gamle Oslo;29;9;:;:;10;:;:;:;31,0344828;:;:;34,4827586;:;:;:;29;13;16;44,82758621;55,17241379;17;12;7;:;:;:;:;:;:;7;:;:;:;:;:;:;41,17647059;:;:;:;:;:;:;58,33333333;:;:;:;:;:;:;17;12;:;9;13;:;:;75;76,47058824;:
030102 Grünerløkka;30102;Grünerløkka;33;:;:;:;19;:;:;:;:;:;:;57,5757576;:;:;:;33;21;12;63,63636364;36,36363636;12;21;:;:;:;:;:;:;5;14;:;:;:;:;:;:;:;:;:;:;:;:;41,66666667;66,66666667;:;:;:;:;:;:;12;21;6;15;6;6;50;71,42857143;50;28,57142857
030103 Sagene;30103;Sagene;22;9;:;:;:;:;:;:;40,9090909;:;:;:;:;:;:;22;8;14;36,36363636;63,63636364;7;15;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;40;:;:;:;:;:;:;:;:;:;:;:;:;7;15;:;7;6;8;:;46,66666667;85,71428571;53,33333333
030104 St. Hanshaugen;30104;St. Hanshaugen;23;:;:;:;10;8;:;:;:;:;:;43,4782609;34,7826087;:;:;23;10;13;43,47826087;56,52173913;10;13;:;:;:;:;:;:;:;7;:;:;:;:;:;:;:;:;:;:;:;:;:;53,84615385;:;:;:;:;:;:;10;13;:;7;7;6;:;53,84615385;70;46,15384615
030105 Frogner;30105;Frogner;36;16;:;:;8;:;:;6;44,4444444;:;:;22,2222222;:;:;16,6666667;36;10;26;27,77777778;72,22222222;18;18;9;7;:;:;:;:;:;6;:;:;:;:;:;:;50;38,88888889;:;:;:;:;:;33,33333333;:;:;:;:;:;:;18;18;:;8;16;10;:;44,44444444;88,88888889;55,55555556
030106 Ullern;30106;Ullern;13;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13;6;7;46,15384615;53,84615385;7;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7;6;:;:;:;:;:;:;:;:
030107 Vestre Aker;30107;Veste Aker;18;7;:;:;:;:;:;:;38,8888889;:;:;:;:;:;:;18;6;12;33,33333333;66,66666667;14;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;42,85714286;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11;:;:;:;78,57142857;:
030108 Nordre Aker;30108;Nordre Aker;10;6;:;:;:;:;:;:;60;:;:;:;:;:;:;10;:;:;:;:;:;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
030109 Bjerke;30109;Bjerke;10;:;:;:;5;:;:;:;:;:;:;50;:;:;:;10;5;5;50;50;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;5;5;:;:;:;:;:;:;:;:
030110 Grorud;30110;Grorud;12;:;:;:;6;:;:;:;:;:;:;50;:;:;:;12;6;6;50;50;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
030111 Stovner;30111;Stovner;22;5;:;:;11;:;:;:;22,7272727;:;:;50;:;:;:;22;12;10;54,54545455;45,45454545;11;11;:;:;:;:;:;:;:;8;:;:;:;:;:;:;:;:;:;:;:;:;:;72,72727273;:;:;:;:;:;:;11;11;:;9;8;:;:;81,81818182;72,72727273;:
030112 Alna;30112;Alna;31;8;:;:;9;:;:;9;25,8064516;:;:;29,0322581;:;:;29,0322581;31;11;20;35,48387097;64,51612903;15;16;5;:;:;:;:;:;:;8;:;:;:;:;7;:;33,33333333;:;:;:;:;:;:;50;:;:;:;:;46,66666667;:;15;16;:;10;14;6;:;62,5;93,33333333;37,5
030113 Østensjø;30113;Østensjø;15;:;:;:;5;:;:;:;:;:;:;33,3333333;:;:;:;15;6;9;40;60;8;7;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;71,42857143;:;:;:;:;:;:;8;7;:;5;7;:;:;71,42857143;87,5;:
030114 Nordstrand;30114;Nordstrand;17;:;:;:;:;:;:;:;:;:;:;:;:;:;:;17;:;:;:;:;10;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10;7;:;:;6;7;:;:;60;100
030115 Søndre Nordstrand;30115;Søndre Nordstrand;27;6;:;:;8;:;:;6;22,2222222;:;:;29,6296296;:;:;22,2222222;27;12;15;44,44444444;55,55555556;11;16;:;:;:;:;:;:;:;5;:;:;:;:;:;:;:;:;:;:;:;:;:;31,25;:;:;:;:;:;:;11;16;:;8;7;8;:;50;63,63636364;50
030116 Sentrum;30116;Sentrum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
