Fylkenr-fylkenavn;fylke_nr;"Fylke
navn";avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_8.alle;avslutning_arsak_8.alle;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.kvalifisering;avslutning_arsak_8.gr_skole;avslutning_arsak_8.gr_skole;avslutning_arsak_8.utdanning;avslutning_arsak_8.utdanning;avslutning_arsak_8.arbeid;avslutning_arsak_8.arbeid;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.sos_stnd;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.trygd_annen;avslutning_arsak_8.annet;avslutning_arsak_8.annet;avslutning_arsak_3.alle;avslutning_arsak_3.alle;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet;avslutning_arsak_3.arbutd;avslutning_arsak_3.arbutd;avslutning_arsak_3.annet;avslutning_arsak_3.annet
;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;3229;711;346;627;781;282;56;426;22,01920099;10,71539176;19,4177764;24,18705482;8,73335398;1,73428306;13,19293899;3229;1408;1821;43,60483122;56,39516878;1522;1707;369;342;194;152;270;357;247;534;163;119;41;15;238;188;24,24441524;20,03514938;12,74638633;8,904510838;17,73981603;20,91388401;16,22864652;31,28295255;10,70959264;6,971294669;2,693823916;0,878734622;15,63731932;11,01347393;1522;1707;517;891;1005;816;33,96846255;52,19683656;66,03153745;47,80316344
01 Østfold;1;Østfold;119;14;9;31;26;22;:;14;11,7647059;7,5630252;26,0504202;21,8487395;18,487395;:;11,7647059;119;57;62;47,89915966;52,10084034;54;65;8;6;5;:;11;20;9;17;12;10;:;:;8;6;14,81481481;9,230769231;9,259259259;:;20,37037037;30,76923077;16,66666667;26,15384615;22,22222222;15,38461538;:;:;14,81481481;9,230769231;54;65;20;37;34;28;37,03703704;56,92307692;62,96296296;43,07692308
02 Akershus;2;Akershus;258;29;20;55;88;19;:;44;11,2403101;7,751938;21,3178295;34,1085271;7,3643411;:;17,0542636;258;143;115;55,42635659;44,57364341;141;117;11;18;14;6;30;25;37;51;14;5;:;:;33;11;7,80141844;15,38461538;9,929078014;5,128205128;21,27659574;21,36752137;26,24113475;43,58974359;9,929078014;4,273504274;:;:;23,40425532;9,401709402;141;117;67;76;74;41;47,5177305;64,95726496;52,4822695;35,04273504
03 Oslo;3;Oslo;309;79;12;29;102;32;11;44;25,566343;3,8834951;9,3851133;33,0097087;10,3559871;3,5598706;14,2394822;309;131;178;42,39482201;57,60517799;154;155;47;32;9;:;12;17;30;72;19;13;10;:;27;17;30,51948052;20,64516129;5,844155844;:;7,792207792;10,96774194;19,48051948;46,4516129;12,33766234;8,387096774;6,493506494;:;17,53246753;10,96774194;154;155;42;89;112;66;27,27272727;57,41935484;72,72727273;42,58064516
04 Hedmark;4;Hedmark;83;7;7;19;20;8;:;22;8,4337349;8,4337349;22,8915663;24,0963855;9,6385542;:;26,5060241;83;39;44;46,98795181;53,01204819;49;34;5;:;5;:;12;7;8;12;:;:;:;:;15;7;10,20408163;:;10,20408163;:;24,48979592;20,58823529;16,32653061;35,29411765;:;:;:;:;30,6122449;20,58823529;49;34;20;19;29;15;40,81632653;55,88235294;59,18367347;44,11764706
05 Oppland;5;Oppland;161;37;22;21;31;22;:;25;22,9813665;13,6645963;13,0434783;19,2546584;13,6645963;:;15,5279503;161;52;109;32,29813665;67,70186335;71;90;17;20;12;10;9;12;11;20;12;10;:;:;9;16;23,94366197;22,22222222;16,90140845;11,11111111;12,67605634;13,33333333;15,49295775;22,22222222;16,90140845;11,11111111;:;:;12,67605634;17,77777778;71;90;20;32;51;58;28,16901408;35,55555556;71,83098592;64,44444444
06 Buskerud;6;Buskerud;151;44;17;28;36;:;:;19;29,1390728;11,2582781;18,5430464;23,8410596;:;:;12,5827815;151;64;87;42,38410596;57,61589404;75;76;23;21;7;10;15;13;14;22;:;:;:;:;12;7;30,66666667;27,63157895;9,333333333;13,15789474;20;17,10526316;18,66666667;28,94736842;:;:;:;:;16;9,210526316;75;76;29;35;46;41;38,66666667;46,05263158;61,33333333;53,94736842
07 Vestfold;7;Vestfold;69;13;5;27;15;:;:;7;18,8405797;7,2463768;39,1304348;21,7391304;:;:;10,1449275;69;42;27;60,86956522;39,13043478;29;40;6;7;:;:;13;14;:;11;:;:;:;:;:;:;20,68965517;17,5;:;:;44,82758621;35;:;27,5;:;:;:;:;:;:;29;40;17;25;12;15;58,62068966;62,5;41,37931034;37,5
