Bydel nr & navn;bydel_nr;"Bydel
navn";kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0
;;;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd
;;;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;8;100;63;:;:;8;100;63;:;:;:;8;100;63;:;:;8;100;63;:;:;:;8;100;63;:;:;8;100;63;:;:;:
030101 Gamle Oslo;30101;Gamle Oslo;27;100;59;19;22;12;100;75;15;100;47;27;100;59;19;22;12;100;75;15;100;47;27;100;59;19;22;12;100;75;15;100;47
030102 Grünerløkka;30102;Grünerløkka;30;100;47;:;:;16;100;63;14;100;29;30;100;47;:;:;16;100;63;14;100;29;30;100;47;:;:;16;100;63;14;100;29
030103 Sagene;30103;Sagene;34;100;32;26;41;13;100;31;21;100;33;34;100;32;26;41;13;100;31;21;100;33;34;100;32;26;41;13;100;31;21;100;33
030104 St. Hanshaugen;30104;St. Hanshaugen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030105 Frogner;30105;Frogner;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030106 Ullern;30106;Ullern;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030107 Vestre Aker;30107;Veste Aker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030108 Nordre Aker;30108;Nordre Aker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030109 Bjerke;30109;Bjerke;7;100;71;:;:;:;:;:;6;100;83;7;100;71;:;:;:;:;:;6;100;83;7;100;71;:;:;:;:;:;6;100;83
030110 Grorud;30110;Grorud;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:
030111 Stovner;30111;Stovner;5;100;100;:;:;:;:;100;:;:;:;5;100;100;:;:;:;:;100;:;:;:;5;100;100;:;:;:;:;100;:;:;:
030112 Alna;30112;Alna;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030113 Østensjø;30113;Østensjø;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030114 Nordstrand;30114;Nordstrand;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:
030115 Søndre Nordstrand;30115;Søndre Nordstrand;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030116 Sentrum;30116;Sentrum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030117 Marka;30117;Marka;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;10;100;:;:;50;6;100;:;4;100;50;10;100;:;:;50;6;100;:;4;100;50;10;100;:;:;50;6;100;:;4;100;50
