Fylke nr & navn;fylke_nr;"Fylke
navn";kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0
;;;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd
;;;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;3843;100;62;12;26;2104;100;70;1739;100;52;3843;100;62;12;26;2104;100;70;1739;100;52;3843;100;62;12;26;2104;100;70;1739;100;52
01 Østfold;1;Østfold;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
02 Akershus;2;Akershus;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
03 Oslo;3;Oslo;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
04 Hedmark;4;Hedmark;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
05 Oppland;5;Oppland;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
06 Buskerud;6;Buskerud;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
07 Vestfold;7;Vestfold;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
08 Telemark;8;Telemark;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
09 Aust-Agder;9;Aust-Agder;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
10 Vest-Agder;10;Vest-Agder;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
11 Rogaland;11;Rogaland;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
12 Hordaland;12;Hordaland;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
14 Sogn og Fjordane;14;Sogn og Fjordane;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
15 Møre og Romsdal;15;Møte og Romsdal;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
16 Sør-Trøndelag;16;Sør-Trøndelag;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
17 Nord-Trøndelag;17;Nord-Trøndelag;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
18 Nordland;18;Nordland;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
19 Troms Romsa;19;Troms Romsa;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
20 Finnmark Finnmárku;20;Finnmark Finnmárku;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52;192,15;100;62;12;26;105,2;100;70;86,95;100;52
