;;;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
;kommune_nr;kommune_navn;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0
;;;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd
;;;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;8;100;63;:;:;8;100;63;:;:;:;8;100;63;:;:;8;100;63;:;:;:;8;100;63;:;:;8;100;63;:;:;:
0104 Moss;104;Moss;27;100;59;19;22;12;100;75;15;100;47;27;100;59;19;22;12;100;75;15;100;47;27;100;59;19;22;12;100;75;15;100;47
0105 Sarpsborg;105;Sarpsborg;30;100;47;:;:;16;100;63;14;100;29;30;100;47;:;:;16;100;63;14;100;29;30;100;47;:;:;16;100;63;14;100;29
0106 Fredrikstad;106;Fredrikstad;34;100;32;26;41;13;100;31;21;100;33;34;100;32;26;41;13;100;31;21;100;33;34;100;32;26;41;13;100;31;21;100;33
0111 Hvaler;111;Hvaler;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0118 Aremark;118;Aremark;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0119 Marker;119;Marker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0121 Rømskog;121;Rømskog;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0122 Trøgstad;122;Trøgstad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0123 Spydeberg;123;Spydeberg;7;100;71;:;:;:;:;:;6;100;83;7;100;71;:;:;:;:;:;6;100;83;7;100;71;:;:;:;:;:;6;100;83
0124 Askim;124;Askim;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:
0125 Eidsberg;125;Eidsberg;5;100;100;:;:;:;:;100;:;:;:;5;100;100;:;:;:;:;100;:;:;:;5;100;100;:;:;:;:;100;:;:;:
0127 Skiptvet;127;Skiptvet;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0128 Rakkestad;128;Rakkestad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0135 Råde;135;Råde;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:
0136 Rygge;136;Rygge;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0137 Våler;137;Våler (Østf.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0138 Hobøl;138;Hobøl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0211 Vestby;211;Vestby;10;100;:;:;50;6;100;:;4;100;50;10;100;:;:;50;6;100;:;4;100;50;10;100;:;:;50;6;100;:;4;100;50
0213 Ski;213;Ski;16;100;88;:;:;12;100;100;4;100;:;16;100;88;:;:;12;100;100;4;100;:;16;100;88;:;:;12;100;100;4;100;:
0214 Ås;214;Ås;8;100;50;:;:;5;100;:;:;100;:;8;100;50;:;:;5;100;:;:;100;:;8;100;50;:;:;5;100;:;:;100;:
0215 Frogn;215;Frogn;9;100;67;:;:;4;100;100;5;100;:;9;100;67;:;:;4;100;100;5;100;:;9;100;67;:;:;4;100;100;5;100;:
0216 Nesodden;216;Nesodden;9;100;67;:;:;4;100;:;5;100;:;9;100;67;:;:;4;100;:;5;100;:;9;100;67;:;:;4;100;:;5;100;:
0217 Oppegård;217;Oppegård;22;100;64;:;:;12;100;75;10;100;50;22;100;64;:;:;12;100;75;10;100;50;22;100;64;:;:;12;100;75;10;100;50
0219 Bærum;219;Bærum;49;100;69;:;:;21;100;76;28;100;64;49;100;69;:;:;21;100;76;28;100;64;49;100;69;:;:;21;100;76;28;100;64
0220 Asker;220;Asker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0221 Aurskog-Høland;221;Aurskog-Høland;11;100;55;:;:;4;100;:;7;100;:;11;100;55;:;:;4;100;:;7;100;:;11;100;55;:;:;4;100;:;7;100;:
0226 Sørum;226;Sørum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0227 Fet;227;Fet;6;100;100;:;:;6;100;100;:;:;:;6;100;100;:;:;6;100;100;:;:;:;6;100;100;:;:;6;100;100;:;:;:
0228 Rælingen;228;Rælingen;18;100;67;:;:;6;100;100;12;100;50;18;100;67;:;:;6;100;100;12;100;50;18;100;67;:;:;6;100;100;12;100;50
0229 Enebakk;229;Enebakk;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0230 Lørenskog;230;Lørenskog;24;100;75;:;:;12;100;83;12;100;67;24;100;75;:;:;12;100;83;12;100;67;24;100;75;:;:;12;100;83;12;100;67
0231 Skedsmo;231;Skedsmo;33;100;52;15;33;18;100;56;15;100;47;33;100;52;15;33;18;100;56;15;100;47;33;100;52;15;33;18;100;56;15;100;47
0233 Nittedal;233;Nittedal;7;100;:;:;71;4;100;:;:;100;:;7;100;:;:;71;4;100;:;:;100;:;7;100;:;:;71;4;100;:;:;100;:
0234 Gjerdrum;234;Gjerdrum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0235 Ullensaker;235;Ullensaker;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
0236 Nes;236;Nes (Ak.);13;100;69;:;:;9;100;56;4;100;100;13;100;69;:;:;9;100;56;4;100;100;13;100;69;:;:;9;100;56;4;100;100
0237 Eidsvoll;237;Eidsvoll;12;100;75;:;:;9;100;67;:;100;:;12;100;75;:;:;9;100;67;:;100;:;12;100;75;:;:;9;100;67;:;100;:
0238 Nannestad;238;Nannestad;6;100;:;67;:;4;100;25;:;100;:;6;100;:;67;:;4;100;25;:;100;:;6;100;:;67;:;4;100;25;:;100;:
0239 Hurdal;239;Hurdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0301 Oslo;301;Oslo kommune;270;100;61;9;30;115;100;75;155;100;50;270;100;61;9;30;115;100;75;155;100;50;270;100;61;9;30;115;100;75;155;100;50
0402 Kongsvinger;402;Kongsvinger;15;100;40;33;27;7;100;71;8;100;:;15;100;40;33;27;7;100;71;8;100;:;15;100;40;33;27;7;100;71;8;100;:
0403 Hamar;403;Hamar;16;100;50;25;25;8;100;63;8;100;:;16;100;50;25;25;8;100;63;8;100;:;16;100;50;25;25;8;100;63;8;100;:
0412 Ringsaker;412;Ringsaker;16;100;69;:;:;9;100;78;7;100;57;16;100;69;:;:;9;100;78;7;100;57;16;100;69;:;:;9;100;78;7;100;57
0415 Løten;415;Løten;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0417 Stange;417;Stange;19;100;68;:;:;13;100;77;6;100;:;19;100;68;:;:;13;100;77;6;100;:;19;100;68;:;:;13;100;77;6;100;:
0418 Nord-Odal;418;Nord-Odal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0419 Sør-Odal;419;Sør-Odal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0420 Eidskog;420;Eidskog;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:
0423 Grue;423;Grue;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0425 Åsnes;425;Åsnes;6;100;83;:;:;:;:;:;:;100;:;6;100;83;:;:;:;:;:;:;100;:;6;100;83;:;:;:;:;:;:;100;:
0426 Våler;426;Våler (Hedm.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0427 Elverum;427;Elverum;21;100;57;:;:;16;100;63;5;100;:;21;100;57;:;:;16;100;63;5;100;:;21;100;57;:;:;16;100;63;5;100;:
0428 Trysil;428;Trysil;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0429 Åmot;429;Åmot;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0430 Stor-Elvdal;430;Stor-Elvdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0432 Rendalen;432;Rendalen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0434 Engerdal;434;Engerdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0436 Tolga;436;Tolga;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0437 Tynset;437;Tynset;10;100;90;:;:;6;100;100;4;100;75;10;100;90;:;:;6;100;100;4;100;75;10;100;90;:;:;6;100;100;4;100;75
0438 Alvdal;438;Alvdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0439 Folldal;439;Folldal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0441 Os;441;Os (Hedm.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0501 Lillehammer;501;Lillehammer;42;100;62;10;29;27;100;63;15;100;60;42;100;62;10;29;27;100;63;15;100;60;42;100;62;10;29;27;100;63;15;100;60
0502 Gjøvik;502;Gjøvik;24;100;54;:;:;9;100;67;15;100;47;24;100;54;:;:;9;100;67;15;100;47;24;100;54;:;:;9;100;67;15;100;47
0511 Dovre;511;Dovre;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0512 Lesja;512;Lesja;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0513 Skjåk;513;Skjåk;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0514 Lom;514;Lom;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0515 Vågå;515;Vågå;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0516 Nord-Fron;516;Nord-Fron;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0517 Sel;517;Sel;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0519 Sør-Fron;519;Sør-Fron;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
