"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0
;;;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.ledig_tiltak;avslutning_status_4.annet;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd;avslutning_status_4.alle;avslutning_status_4.alle;avslutning_status_4.arbutd
;;;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent;enhet.personer;enhet.prosent;enhet.prosent
01 Halden;1;Halden;32;100;63;:;:;8;100;63;:;:;:;8;100;63;:;:;8;100;63;:;:;:;8;100;63;:;:;8;100;63;:;:;:
02 Indre Østfold;2;Indre Østfold;27;100;59;19;22;12;100;75;15;100;47;27;100;59;19;22;12;100;75;15;100;47;27;100;59;19;22;12;100;75;15;100;47
03 Mosseregionen;3;Mosseregionen;30;100;47;:;:;16;100;63;14;100;29;30;100;47;:;:;16;100;63;14;100;29;30;100;47;:;:;16;100;63;14;100;29
04 Nedre Glomma;4;Nedre Glomma;34;100;32;26;41;13;100;31;21;100;33;34;100;32;26;41;13;100;31;21;100;33;34;100;32;26;41;13;100;31;21;100;33
05 Akershus Vest;5;Akershus Vest;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
06 Follo;6;Follo;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
07 Nedre Romerike;7;Nedre Romerike;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
08 Øvre Romerike;8;Øvre Romerike;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
09 Oslo;9;Oslo;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
10 Fjellregionen;10;Fjellregionen;7;100;71;:;:;:;:;:;6;100;83;7;100;71;:;:;:;:;:;6;100;83;7;100;71;:;:;:;:;:;6;100;83
11 Glåmdal;11;Glåmdal;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:;6;100;67;:;:;:;:;:;4;100;:
12 Hamarregionen;12;Hamarregionen;5;100;100;:;:;:;:;100;:;:;:;5;100;100;:;:;:;:;100;:;:;:;5;100;100;:;:;:;:;100;:;:;:
13 Sør Østerdal;13;Sør Østerdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
14 Gjøvikregionen;14;Gjøvikregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
15 Hadeland;15;Hadeland;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:;5;100;:;:;:;4;100;:;:;100;:
16 Lillehammerregionen;16;Lillehammerregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
19 Valdres;19;Valdres;10;100;:;:;50;6;100;:;4;100;50;10;100;:;:;50;6;100;:;4;100;50;10;100;:;:;50;6;100;:;4;100;50
20 Drammensregionen;20;Drammensregionen;16;100;88;:;:;12;100;100;4;100;:;16;100;88;:;:;12;100;100;4;100;:;16;100;88;:;:;12;100;100;4;100;:
21 Hallingdal;21;Hallingdal;8;100;50;:;:;5;100;:;:;100;:;8;100;50;:;:;5;100;:;:;100;:;8;100;50;:;:;5;100;:;:;100;:
22 Kongsberg/Numedal;22;Kongsberg/Numedal;9;100;67;:;:;4;100;100;5;100;:;9;100;67;:;:;4;100;100;5;100;:;9;100;67;:;:;4;100;100;5;100;:
23 Midt-Buskerud;23;Midt-Buskerud;9;100;67;:;:;4;100;:;5;100;:;9;100;67;:;:;4;100;:;5;100;:;9;100;67;:;:;4;100;:;5;100;:
24 Ringerike/Hole;24;Ringerike/Hole;22;100;64;:;:;12;100;75;10;100;50;22;100;64;:;:;12;100;75;10;100;50;22;100;64;:;:;12;100;75;10;100;50
25 Tønsbergregionen;25;Tønsbergregionen;49;100;69;:;:;21;100;76;28;100;64;49;100;69;:;:;21;100;76;28;100;64;49;100;69;:;:;21;100;76;28;100;64
26 Sandefjord/Larvik;26;Sandefjord/Larvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
27 Grenland;27;Grenland;11;100;55;:;:;4;100;:;7;100;:;11;100;55;:;:;4;100;:;7;100;:;11;100;55;:;:;4;100;:;7;100;:
28 Midt-Telemark;28;Midt-Telemark;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
29 Øst-Telemark;29;Øst-Telemark;6;100;100;:;:;6;100;100;:;:;:;6;100;100;:;:;6;100;100;:;:;:;6;100;100;:;:;6;100;100;:;:;:
30 Vest-Telemark;30;Vest-Telemark;18;100;67;:;:;6;100;100;12;100;50;18;100;67;:;:;6;100;100;12;100;50;18;100;67;:;:;6;100;100;12;100;50
31 Setesdal;31;Setesdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
32 Arendalregionen;32;Arendalregionen;24;100;75;:;:;12;100;83;12;100;67;24;100;75;:;:;12;100;83;12;100;67;24;100;75;:;:;12;100;83;12;100;67
33 Lister;33;Lister;33;100;52;15;33;18;100;56;15;100;47;33;100;52;15;33;18;100;56;15;100;47;33;100;52;15;33;18;100;56;15;100;47
34 Mandalsregionen;34;Mandalsregionen;7;100;:;:;71;4;100;:;:;100;:;7;100;:;:;71;4;100;:;:;100;:;7;100;:;:;71;4;100;:;:;100;:
35 Kristiansandregionen;35;Kristiansandregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
36 Dalane;36;Dalane;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
37 Haugesundregionen;37;Haugesundregionen;13;100;69;:;:;9;100;56;4;100;100;13;100;69;:;:;9;100;56;4;100;100;13;100;69;:;:;9;100;56;4;100;100
38 Ryfylke;38;Ryfylke;12;100;75;:;:;9;100;67;:;100;:;12;100;75;:;:;9;100;67;:;100;:;12;100;75;:;:;9;100;67;:;100;:
39 Stavangerregionen;39;Stavangerregionen;6;100;:;67;:;4;100;25;:;100;:;6;100;:;67;:;4;100;25;:;100;:;6;100;:;67;:;4;100;25;:;100;:
40 Bergen;40;Bergen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
41 Bjørnefjorden;41;Bjørnefjorden;270;100;61;9;30;115;100;75;155;100;50;270;100;61;9;30;115;100;75;155;100;50;270;100;61;9;30;115;100;75;155;100;50
42 Hardanger;42;Hardanger;15;100;40;33;27;7;100;71;8;100;:;15;100;40;33;27;7;100;71;8;100;:;15;100;40;33;27;7;100;71;8;100;:
43 Voss;43;Voss;16;100;50;25;25;8;100;63;8;100;:;16;100;50;25;25;8;100;63;8;100;:;16;100;50;25;25;8;100;63;8;100;:
44 Nordhordland;44;Nordhordland;16;100;69;:;:;9;100;78;7;100;57;16;100;69;:;:;9;100;78;7;100;57;16;100;69;:;:;9;100;78;7;100;57
