"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;1316;309;209;394;404;56,4;78,4;53,9;43,3;62,7;709;226;37;218;228;60,8;80,7;51,4;46,8;65,5;607;83;172;176;176;51,9;72,8;54,4;39,7;59,5
02 Indre Østfold;2;Indre Østfold;3557;1268;647;883;759;64,1;78,7;59,7;51,2;67,2;2058;1024;162;509;363;70,1;79,4;72,3;56,8;69,3;1499;244;485;374;396;57,3;76;56,5;45,1;65,5
03 Mosseregionen;3;Mosseregionen;3552;1080;691;860;921;62,2;75,4;59,1;49,7;66,8;2010;841;209;486;474;65,6;73,8;65,5;54,3;66,6;1542;239;482;374;447;58,3;81,3;56,6;44,8;67
04 Nedre Glomma;4;Nedre Glomma;7708;2075;1189;2735;1709;58,6;76,9;58,5;45,8;69,6;4442;1689;300;1580;873;63,8;78,1;66,8;50,2;72,3;3266;386;889;1155;836;52,8;72;56,2;40,9;67
05 Akershus Vest;5;Akershus Vest;15925;5446;2268;3180;5031;70,1;78,1;61,3;60,8;74;8858;4155;716;1732;2255;75,8;78,7;74,4;64,5;81,9;7067;1291;1552;1448;2776;64,1;76,3;56,7;56,9;68,6
06 Follo;6;Follo;9255;2434;1552;1908;3361;69,4;77,2;65,9;58,1;73,9;5058;1818;536;1063;1641;72,9;76,5;75,4;61,8;77;4197;616;1016;845;1720;65,5;79,2;61,8;54,1;71,1
07 Nedre Romerike;7;Nedre Romerike;14529;4246;2357;4248;3678;69;75,3;64,1;63,1;73,4;8376;3363;791;2346;1876;73,6;74,8;76,5;68,8;76,8;6153;883;1566;1902;1802;63,6;77,3;59,3;57,3;70,1
08 Øvre Romerike;8;Øvre Romerike;6810;2427;1249;1294;1840;70,8;78,1;63,5;60,9;76,2;3878;1902;303;742;931;75,8;78,5;72,1;66,5;80,5;2932;525;946;552;909;65,2;76,4;61,2;54,7;72,3
09 Oslo;9;Oslo;85579;21766;13693;21225;28895;64,5;77,6;58,6;54,5;68,3;48843;15864;5996;12114;14869;69,7;77,8;71,9;58,8;71,9;36736;5902;7697;9111;14026;58,7;77,3;51,3;49,7;64,9
10 Fjellregionen;10;Fjellregionen;562;262;108;84;108;69,1;82,1;69,7;42;77,7;294;180;21;49;44;71,9;83,7;80,8;45,8;72,1;268;82;87;35;64;66,3;78,8;67,4;37,6;82,1
11 Glåmdal;11;Glåmdal;1658;432;333;359;534;57,8;75;57,3;39,1;67,2;860;339;57;216;248;61,4;76;60,6;43,4;68,3;798;93;276;143;286;54,4;71,5;56,7;34,1;66,2
12 Hamarregionen;12;Hamarregionen;3544;1175;626;892;851;63,5;73,3;64,6;48,4;73;1980;916;143;526;395;68,2;76,3;73,3;53,1;76,3;1564;259;483;366;456;58,5;64,3;62,4;43;70,5
13 Sør Østerdal;13;Sør Østerdal;1250;343;225;286;396;56,2;68,2;61,3;36,9;68,5;627;242;39;163;183;55,2;68,9;60;35,7;69,6;623;101;186;123;213;57,2;66,4;61,6;38,4;67,6
14 Gjøvikregionen;14;Gjøvikregionen;2775;983;474;784;534;63,3;79,7;62,8;48,5;68,6;1547;743;96;450;258;67,6;80,9;67,1;52,4;69,9;1228;240;378;334;276;58,6;76,2;61,8;44,1;67,5
15 Hadeland;15;Hadeland;1080;398;190;230;262;62,5;76,4;62,7;41,7;74,4;610;296;46;135;133;67,3;78,1;78;46,4;74,7;470;102;144;95;129;57,3;71,8;59;36,5;74,1
16 Lillehammerregionen;16;Lillehammerregionen;1745;519;241;522;463;67,7;77,8;68,5;55,4;74,9;950;373;58;303;216;70,9;77,7;73,4;61,8;74,2;795;146;183;219;247;64,2;78,1;67;48,5;75,5
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;475;268;95;46;66;67,6;81,5;70,4;30,9;73,3;279;206;13;31;29;71,2;80,8;86,7;36;80,6;196;62;82;15;37;63;83,8;68,3;23,8;68,5
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;485;243;94;67;81;59,7;76,2;61,4;28,8;75,7;265;177;13;38;37;60,9;79,4;50;28,6;69,8;220;66;81;29;44;58,4;68,8;63,8;29;81,5
19 Valdres;19;Valdres;750;361;121;103;165;62,7;76,2;68,4;31;77,1;393;241;31;54;67;58,9;73,3;77,5;25,6;77;357;120;90;49;98;67,4;82,8;65,7;40,5;77,2
20 Drammensregionen;20;Drammensregionen;14670;5011;2630;3660;3369;66,5;80;61;56,3;67,6;8581;3941;842;2055;1743;73,2;81,1;73,2;61,7;73,2;6089;1070;1788;1605;1626;58,9;76,2;56,6;50,7;62,5
21 Hallingdal;21;Hallingdal;1497;696;223;159;419;72,7;81,8;71,2;42,6;80,3;773;474;36;91;172;72,9;80,7;66,7;45,3;78,5;724;222;187;68;247;72,5;84,1;72,2;39,5;81,5
22 Kongsberg/Numedal;22;Kongsberg/Numedal;2233;891;387;416;539;71,6;87,1;58,8;56,1;77,6;1242;660;76;231;275;77,1;88,2;62,8;57,3;81,1;991;231;311;185;264;65,8;84;57,9;54,7;74,2
23 Midt-Buskerud;23;Midt-Buskerud;797;396;154;129;118;67,1;80,8;63,4;46,9;65,9;461;305;23;76;57;74,1;82,4;82,1;53,5;69,5;336;91;131;53;61;59,5;75,8;60,9;39,8;62,9
24 Ringerike/Hole;24;Ringerike/Hole;2070;801;374;414;481;67,4;76,1;60,7;55,3;73,5;1123;602;85;224;212;71;77,1;67,5;57;75,4;947;199;289;190;269;63,5;73,2;59;53,4;72,1
25 Tønsbergregionen;25;Tønsbergregionen;7193;2714;1238;1514;1727;66,9;79,3;62,5;52,2;70,5;3931;1980;276;859;816;71,6;80,8;66,5;56,7;73,5;3262;734;962;655;911;61,9;75,3;61,4;47,3;68
26 Sandefjord/Larvik;26;Sandefjord/Larvik;4981;1703;896;1307;1075;64,1;79,4;61;49,5;70,9;2743;1217;220;769;537;70;81,4;70,7;55;75,1;2238;486;676;538;538;58,1;74,8;58,3;43,4;67,2
27 Grenland;27;Grenland;5392;1372;1053;1815;1152;59,1;76;62,4;46,4;67,2;2884;1068;233;995;588;61,9;75,7;66,6;48,4;70;2508;304;820;820;564;56,2;76,8;61,3;44,3;64,5
28 Midt-Telemark;28;Midt-Telemark;702;249;122;187;144;56,8;80,6;61;44;47,7;341;163;23;93;62;57,5;79,9;57,5;43,3;46,3;361;86;99;94;82;56,1;81,9;61,9;44,8;48,8
29 Øst-Telemark;29;Øst-Telemark;819;281;166;170;202;61,7;78,9;62,2;42,6;66;444;214;39;106;85;63,6;78,4;69,6;44,9;63,9;375;67;127;64;117;59,5;80,7;60,2;39,3;67,6
30 Vest-Telemark;30;Vest-Telemark;592;265;115;82;130;73,6;85,8;66,1;61,2;69,5;314;187;22;40;65;77,7;86,2;71;59,7;73;278;78;93;42;65;69,5;84,8;65;62,7;66,3
31 Setesdal;31;Setesdal;340;114;61;95;70;66,5;83,2;62,9;52,8;72,2;195;86;15;54;40;71,7;81,9;71,4;56,8;78,4;145;28;46;41;30;60,7;87,5;60,5;48,2;65,2
32 Arendalregionen;32;Arendalregionen;4247;1518;809;995;925;62,1;77;57,2;47,9;67,2;2370;1150;175;568;477;66,4;77;64,3;50,8;69,5;1877;368;634;427;448;57,3;76,8;55,5;44,5;64,8
33 Lister;33;Lister;1556;532;353;379;292;67,3;83,1;62,6;55,2;69,4;817;402;56;213;146;72,3;85;60,9;58;73,7;739;130;297;166;146;62,5;77,8;62,9;51,9;65,5
34 Mandalsregionen;34;Mandalsregionen;1054;400;234;219;201;60,6;77,7;58,1;42;67,2;583;326;35;114;108;67,3;82,3;60,3;43;73,5;471;74;199;105;93;54;62,2;57,7;40,9;61,2
35 Kristiansandregionen;35;Kristiansandregionen;7751;1877;1224;2929;1721;63,7;78,2;61,5;55,6;68,3;4399;1452;343;1682;922;68,8;79;72,5;59,5;73,4;3352;425;881;1247;799;57,9;75,5;58,1;51,1;63,2
36 Dalane;36;Dalane;1256;587;250;222;197;72,6;82,9;64,9;59,4;74,6;752;467;43;131;111;80;84;74,1;68,9;81,6;504;120;207;91;86;63,7;78,9;63,3;49,5;67,2
37 Haugesundregionen;37;Haugesundregionen;5892;2804;1063;968;1057;68;80,2;55,7;54,1;71,6;3636;2257;211;577;591;75,2;81,3;67,6;60,6;74,2;2256;547;852;391;466;58,9;76;53,4;46,8;68,6
38 Ryfylke;38;Ryfylke;1358;716;257;172;213;75,8;88,4;67,8;52,9;76,6;760;523;42;100;95;81,7;90;71,2;57,1;82,6;598;193;215;72;118;69,4;84,3;67,2;48;72,4
39 Stavangerregionen;39;Stavangerregionen;29221;13223;4533;5180;6285;73,6;85,7;59,2;61,6;76,3;17701;9985;1105;3059;3552;80,6;87,1;73;66,8;80,7;11520;3238;3428;2121;2733;64,9;81,9;55,8;55,4;71,2
40 Bergen;40;Bergen;20762;8475;3374;4351;4562;67,6;82;61,4;55,4;64,7;12407;6517;1041;2533;2316;72,8;82,6;72,3;59,1;67,4;8355;1958;2333;1818;2246;61,1;80,1;57,5;50,9;62,2
41 Bjørnefjorden;41;Bjørnefjorden;1265;662;267;146;190;71,8;81,8;59,3;59,3;74,2;746;534;47;79;86;79,5;83,4;68,1;62,7;83,5;519;128;220;67;104;63,1;75,7;57,7;55,8;68
42 Hardanger;42;Hardanger;1129;533;274;106;216;69,9;76,8;75,1;37,2;79,7;589;368;54;64;103;69,1;75,1;69,2;40,8;81,1;540;165;220;42;113;70,8;80,9;76,7;32,8;78,5
43 Voss;43;Voss;481;208;77;88;108;66,8;85,2;72;40;72,5;274;148;21;50;55;68,2;84,1;72,4;40;76,4;207;60;56;38;53;65,1;88,2;71,8;40;68,8
44 Nordhordland;44;Nordhordland;1485;797;367;113;208;73,4;82,6;64,6;55,1;73,2;890;656;68;63;103;80;85;69,4;58,9;76,3;595;141;299;50;105;65,4;73,1;63,6;51;70,5
45 Osterfjorden;45;Osterfjorden;491;244;131;34;82;70,4;81,6;63,6;44,7;70,7;289;205;27;16;41;76,9;84;79,4;38,1;73,2;202;39;104;18;41;62,9;70,9;60,5;52,9;68,3
46 Sunnhordland;46;Sunnhordland;3040;1551;538;364;587;70,8;80,7;60,5;51,9;75,4;1809;1195;84;215;315;76,8;81,9;73;56,9;78,4;1231;356;454;149;272;63,6;76,9;58,7;46;72,3
47 Hordaland Vest;47;Hordaland Vest;2865;1329;619;434;483;71,4;83,1;63,6;55,4;73,6;1669;1059;137;249;224;76,9;83,2;73,7;59,9;75,9;1196;270;482;185;259;64,9;82,6;61,2;50,4;71,7
48 HAFS;48;HAFS;440;258;96;16;70;71,5;84;63,2;59,3;54,3;236;180;16;8;32;76,6;85,3;61,5;57,1;56,1;204;78;80;8;38;66,4;81,3;63,5;61,5;52,8
49 Nordfjord;49;Nordfjord;1804;951;341;203;309;73;82,3;63,3;53,1;78,2;1084;746;57;112;169;79;83,6;70,4;56,6;83,7;720;205;284;91;140;65,6;77,9;62;49,5;72,5
50 Sogn;50;Sogn;1495;734;255;196;310;71,3;82,8;69,3;43,6;79,1;852;552;52;100;148;75,1;84,8;67,5;44,8;80,4;643;182;203;96;162;66,8;77,1;69,8;42,3;77,9
51 Sunnfjord;51;Sunnfjord;1586;716;294;324;252;69,4;85,9;67,6;46,1;80,3;909;537;49;197;126;73,8;86,3;69;50,4;85,1;677;179;245;127;126;64,2;84,4;67,3;40,7;75,9
52 Nordmøre;52;Nordmøre;2650;1271;634;330;415;67,8;81,6;64,2;39,9;77,9;1533;1014;96;214;209;74,2;83,5;72,7;46,1;81,3;1117;257;538;116;206;60,7;74,7;62,9;32;74,6
53 Romsdal;53;Romsdal;2975;1414;691;341;529;72,8;82,8;69,4;53,4;70,8;1677;1107;112;197;261;77,3;83,7;76,2;59,3;71,1;1298;307;579;144;268;67,6;79,7;68,3;47,1;70,5
54 Storfjord;54;Storfjord;1270;706;232;147;185;76,4;83,8;64,8;64,8;78,7;711;498;46;81;86;80,4;84,7;67,6;68,6;78,2;559;208;186;66;99;71,9;81,9;64,1;60,6;79,2
