Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;326 618,00;85 579,00;241 039,00;75,9;64,5;80,9
030101 Gamle Oslo;30101;Gamle Oslo;27187;7642;19545;74,4;60,9;81,4
030102 Grünerløkka;30102;Grünerløkka;32032;8722;23310;78;66,6;83,3
030103 Sagene;30103;Sagene;23628;4375;19253;78,1;62,4;82,8
030104 St. Hanshaugen;30104;St. Hanshaugen;22719;5320;17399;80,2;71,4;83,3
030105 Frogner;30105;Frogner;31865;8266;23599;78,1;72,3;80,4
030106 Ullern;30106;Ullern;15314;2822;12492;79,8;71,2;82
030107 Vestre Aker;30107;Veste Aker;21898;3729;18169;78,4;67,2;81,2
030108 Nordre Aker;30108;Nordre Aker;24404;4064;20340;79,1;64,8;82,8
030109 Bjerke;30109;Bjerke;14272;5151;9121;74,2;64,1;81,4
030110 Grorud;30110;Grorud;11943;4801;7142;70,5;64,4;75,2
030111 Stovner;30111;Stovner;12815;5564;7251;68,4;61,9;74,3
030112 Alna;30112;Alna;21384;8759;12625;69,9;62,5;76,1
030113 Østensjø;30113;Østensjø;23258;4689;18569;78,8;66,7;82,5
030114 Nordstrand;30114;Nordstrand;23769;3800;19969;80,1;69,8;82,5
030115 Søndre Nordstrand;30115;Søndre Nordstrand;16063;6364;9699;69,4;60,4;76,9
030116 Sentrum;30116;Sentrum;98;36;62;71,5;67,9;73,8
030117 Marka;30117;Marka;844;92;752;81,2;73;82,4
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;3125;1383;1742;47,9;38,3;59,9
