Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;2434934;349803;2085131;77,3;66,8;79,3
01 Østfold;1;Østfold;125481;16133;109348;72,6;60,3;74,8
02 Akershus;2;Akershus;276382;46519;229863;79,2;69,7;81,4
03 Oslo;3;Oslo;326618;85579;241039;75,9;64,5;80,9
04 Hedmark;4;Hedmark;86396;7014;79382;74,2;61,1;75,6
05 Oppland;5;Oppland;86858;7310;79548;76,8;64,1;78,3
06 Buskerud;6;Buskerud;128947;20455;108492;77,3;67,4;79,5
07 Vestfold;7;Vestfold;108807;12986;95821;74,5;66;75,8
08 Telemark;8;Telemark;76650;7505;69145;73,8;60,1;75,7
09 Aust-Agder;9;Aust-Agder;50488;5275;45213;73,4;63,1;74,9
10 Vest-Agder;10;Vest-Agder;81681;9673;72008;76;63,6;78
11 Rogaland;11;Rogaland;228553;37727;190826;80,7;72,7;82,5
12 Hordaland;12;Hordaland;246463;31518;214945;79,2;68,7;81
14 Sogn og Fjordane;14;Sogn og Fjordane;51932;5325;46607;81,6;71,3;83
15 Møre og Romsdal;15;Møte og Romsdal;124674;14666;110008;79,5;72,1;80,6
16 Sør-Trøndelag;16;Sør-Trøndelag;150475;16296;134179;78,4;66,9;80,1
17 Nord-Trøndelag;17;Nord-Trøndelag;61778;4203;57575;78;63,9;79,3
18 Nordland;18;Nordland;109994;8965;101029;76,2;64,1;77,5
19 Troms Romsa;19;Troms Romsa;77428;7763;69665;77,3;68,4;78,4
20 Finnmark Finnmárku;20;Finnmark Finnmárku;35329;4891;30438;75,8;71;76,6
