Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;12787;1316;11471;70,2;56,4;72,3
0104 Moss;104;Moss;13565;2164;11401;71,2;59;74,1
0105 Sarpsborg;105;Sarpsborg;23192;3158;20034;71;57,7;73,7
0106 Fredrikstad;106;Fredrikstad;34178;4445;29733;72,2;59,1;74,7
0111 Hvaler;111;Hvaler;1966;105;1861;72,8;65,6;73,2
0118 Aremark;118;Aremark;623;19;604;76,9;57,6;77,7
0119 Marker;119;Marker;1551;128;1423;73,6;64,6;74,5
0121 Rømskog;121;Rømskog;300;32;268;78,7;86,5;77,9
0122 Trøgstad;122;Trøgstad;2476;247;2229;76;68,4;76,9
0123 Spydeberg;123;Spydeberg;2571;275;2296;76,7;67,2;78
0124 Askim;124;Askim;6839;1158;5681;72,1;61,1;74,9
0125 Eidsberg;125;Eidsberg;5023;692;4331;73,9;62,4;76,1
0127 Skiptvet;127;Skiptvet;1746;187;1559;77,4;70;78,4
0128 Rakkestad;128;Rakkestad;3628;424;3204;74,9;62;77
0135 Råde;135;Råde;3309;322;2987;77,3;68,4;78,4
0136 Rygge;136;Rygge;6764;772;5992;75,3;67,2;76,5
0137 Våler (Østfold);137;Våler (Østf.);2423;294;2129;79;69,7;80,4
0138 Hobøl;138;Hobøl;2540;395;2145;78;71,3;79,4
0211 Vestby;211;Vestby;7562;1079;6483;78,7;70,2;80,3
0213 Ski;213;Ski;13965;2069;11896;79,6;67,7;82,1
0214 Ås;214;Ås;8688;1732;6956;78,2;68,5;81,1
0215 Frogn;215;Frogn;7417;843;6574;78,8;70,7;80
0216 Nesodden;216;Nesodden;8646;1218;7428;77,9;72,8;78,8
0217 Oppegård;217;Oppegård;12491;1633;10858;80,3;68,4;82,5
0219 Bærum;219;Bærum;56271;10807;45464;79,8;69,9;82,6
0220 Asker;220;Asker;27533;5118;22415;79,5;70,7;81,8
0221 Aurskog Høland;221;Aurskog-Høland;7327;792;6535;78;69,3;79,2
0226 Sørum;226;Sørum;8331;1317;7014;80,7;72,4;82,4
0227 Fet;227;Fet;5508;784;4724;80,5;71,3;82,2
0228 Rælingen;228;Rælingen;8493;1575;6918;80,6;71;83,1
0229 Enebakk;229;Enebakk;5172;681;4491;79;70,6;80,4
0230 Lørenskog;230;Lørenskog;16766;3571;13195;78,1;68,3;81,2
0231 Skedsmo;231;Skedsmo;24718;4924;19794;78,2;66,1;81,9
0233 Nittedal;233;Nittedal;11037;1566;9471;81,9;74,7;83,2
0234 Gjerdrum;234;Gjerdrum;3160;447;2713;82,5;73,8;84,2
0235 Ullensaker;235;Ullensaker;15790;3023;12767;79;71,2;81,1
0236 Nes (Akershus);236;Nes (Ak.);9774;1007;8767;77,6;67,9;78,9
0237 Eidsvoll;237;Eidsvoll;10767;1264;9503;76,5;68,8;77,6
0238 Nannestad;238;Nannestad;5750;950;4800;79,2;74,1;80,3
0239 Hurdal;239;Hurdal;1216;119;1097;75,7;73,5;75,9
0301 Oslo;301;Oslo kommune;326618;85579;241039;75,9;64,5;80,9
0402 Kongsvinger;402;Kongsvinger;7278;725;6553;67,7;53,6;69,7
0403 Hamar;403;Hamar;13408;1349;12059;75,2;61,3;77,2
0412 Ringsaker;412;Ringsaker;15342;1254;14088;76,1;67,2;77,1
0415 Løten;415;Løten;3445;226;3219;74,7;61,1;75,8
0417 Stange;417;Stange;8924;715;8209;75,3;62,4;76,7
0418 Nord-Odal;418;Nord-Odal;2159;95;2064;70,8;63,3;71,2
0419 Sør-Odal;419;Sør-Odal;3567;214;3353;73,9;66;74,5
0420 Eidskog;420;Eidskog;2581;170;2411;69,6;56,1;70,8
0423 Grue;423;Grue;2050;156;1894;71,1;66,1;71,6
0425 Åsnes;425;Åsnes;3050;180;2870;69,4;54,4;70,6
0426 Våler (Hedm.);426;Våler (Hedm.);1624;118;1506;70,8;68,2;71
0427 Elverum;427;Elverum;9452;726;8726;76,2;60,2;77,9
0428 Trysil;428;Trysil;2786;251;2535;71,3;57,6;73
0429 Åmot;429;Åmot;1999;135;1864;74,8;61,6;76
0430 Stor-Elvdal;430;Stor-Elvdal;1069;103;966;64,2;35,6;70,3
0432 Rendalen;432;Rendalen;816;35;781;76,5;53;78
