Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0301 Oslo;301;Oslo;89600;195151;52238;22565;56722;7418;67035;138429;44820;70,9;79,6;60;63,5;67,1;45;73,8;86,2;63,4
030101 Gamle Oslo;30101;Gamle Oslo;8400;16657;2546;2415;4832;493;5985;11825;2053;74,3;76,8;51,6;64,9;61,7;36,3;78,9;85,3;57,4
030102 Grünerløkka;30102;Grünerløkka;11961;18111;2445;3193;5120;490;8768;12991;1955;78,9;79,6;54,4;72,1;66,3;39,6;81,7;86,4;60
030103 Sagene;30103;Sagene;8604;13433;1945;1428;2695;295;7176;10738;1650;79,5;80,4;51,4;66,3;63,3;38,4;82,8;86,2;54,7
030104 St. Hanshaugen;30104;St. Hanshaugen;9125;11774;2212;1935;3105;335;7190;8669;1877;79,5;81,7;63,4;73,1;71,5;53;81,4;86,1;65,7
030105 Frogner;30105;Frogner;11575;16271;5087;2894;4827;652;8681;11444;4435;77,9;80;63,6;75,9;72,2;53,1;78,6;83,8;65,5
030106 Ullern;30106;Ullern;2538;9554;4027;533;1934;406;2005;7620;3621;63,4;85,5;68,3;59,9;74,9;63,9;64,4;88,6;68,8
030107 Vestre Aker;30107;Veste Aker;3857;13411;5841;747;2540;525;3110;10871;5316;59,6;84,3;70,3;53;72,1;63,5;61,5;87,7;71,1
030108 Nordre Aker;30108;Nordre Aker;5351;15048;4894;1187;2560;356;4164;12488;4538;62,1;86,1;69,4;52,4;71,9;59,5;65,5;89,7;70,4
030109 Bjerke;30109;Bjerke;3345;9219;2124;1165;3635;409;2180;5584;1715;67,6;78,1;57;61,7;66,5;44,6;71,3;88,1;61,1
030110 Grorud;30110;Grorud;2687;7673;1985;983;3464;425;1704;4209;1560;63,7;75,3;51,1;61,6;67,9;41,9;65,1;82,6;54,3
030111 Stovner;30111;Stovner;2973;7962;2481;1071;4018;554;1902;3944;1927;61,6;73,3;50;56,6;66,4;40,6;64,7;81,9;53,5
030112 Alna;30112;Alna;5083;13195;3862;1681;6368;821;3402;6827;3041;65,7;74,4;51,3;59,3;66,9;38,6;69,4;83,1;56,3
030113 Østensjø;30113;Østensjø;4696;15475;3886;902;3431;414;3794;12044;3472;70,1;83,9;59;62,6;70,1;44,5;72,1;88,8;61,3
030114 Nordstrand;30114;Nordstrand;4437;15203;5130;750;2706;410;3687;12497;4720;66,9;85,6;65,4;60,4;74;54,5;68,4;88,6;66,5
030115 Søndre Nordstrand;30115;Søndre Nordstrand;3617;9853;3279;1126;4603;748;2491;5250;2531;59,6;73,6;58,5;56,2;64,4;41,7;61,3;84,1;66,4
030116 Sentrum;30116;Sentrum;60;30;9;21;12;3;39;18;6;69,8;68,2;81,8;70;60;75;69,6;75;85,7
030117 Marka;30117;Marka;131;531;234;17;64;12;114;467;222;64,9;85,4;73,6;58,6;75,3;70,6;65,9;87;73,8
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;1160;1751;251;517;808;70;643;943;181;52,3;46,4;36,3;41,1;37,7;26,5;67;57,9;42,4
