Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;101;Halden;2978;7602;2848;318;846;186;2660;6756;2662;64,9;77,4;49,9;48,9;61,1;40,7;67,5;80,1;50,7
0104 Moss;104;Moss;2817;8446;2981;484;1494;243;2333;6952;2738;64,8;77,8;51,2;55,5;62,1;42,3;67,1;82,2;52,1
0105 Sarpsborg;105;Sarpsborg;5201;14310;4821;759;2202;274;4442;12108;4547;67;77,4;49,1;53,1;61,3;36;70,1;81,3;50,2
0106 Fredrikstad;106;Fredrikstad;7463;20759;7578;1162;2971;431;6301;17788;7147;65,5;78,5;53,5;55,2;61,9;43,2;67,9;82,2;54,3
0111 Hvaler;111;Hvaler;326;1108;668;20;72;20;306;1036;648;64,3;81,1;55,6;42,6;71,3;55,6;66,5;81,8;55,6
0118 Aremark;118;Aremark;118;372;176; : ;13;4; : ;359;172;69,4;82,3;60,1; : ;72,2;33,3; : ;82,7;61,2
0119 Marker;119;Marker;306;928;409;24;89;17;282;839;392;68,8;81,5;54,9;58,5;73;34,7;69,8;82,6;56,3
0121 Rømskog;121;Rømskog;48;187;85; : ;25;4; : ;162;81;67,6;83,1;63,9; : ;92,6;50; : ;81,8;64,8
0122 Trøgstad;122;Trøgstad;509;1518;571;50;183;19;459;1335;552;69,9;80,7;57,3;55,6;74,1;45,2;71,9;81,8;57,8
0123 Spydeberg;123;Spydeberg;524;1583;628;60;193;25;464;1390;603;70,6;83,8;58,1;61,9;72,8;37,3;71,9;85,5;59,5
0124 Askim;124;Askim;1499;4068;1603;239;808;137;1260;3260;1466;67,3;77,9;54,4;55,6;66,8;40,3;70,1;81,2;56,3
0125 Eidsberg;125;Eidsberg;1092;3037;1168;154;495;63;938;2542;1105;66,1;79,1;57,2;53,5;66,4;44,1;68,7;82,1;58,2
0127 Skiptvet;127;Skiptvet;374;1080;392;33;134;22;341;946;370;74,8;83,1;57,3;56,9;74;59,5;77,1;84,6;57,2
0128 Rakkestad;128;Rakkestad;726;2109;979;88;312;30;638;1797;949;68,9;78,9;63;50,3;66,5;40,5;72,6;81,6;64,2
0135 Råde;135;Råde;665;1966;857;57;238;34;608;1728;823;70,5;83,1;60,1;51,8;73,7;54,8;73;84,6;60,3
0136 Rygge;136;Rygge;1294;4310;1528;113;574;105;1181;3736;1423;65,9;82,2;55,9;57,7;72,7;47,3;66,8;83,9;56,6
0137 Våler (Østfold);137;Våler (Østf.);494;1523;531;60;205;34;434;1318;497;72,3;84,2;61,4;62,5;75,9;47,2;73,9;85,6;62,7
0138 Hobøl;138;Hobøl;560;1583;519;89;289;24;471;1294;495;69,5;83,1;60,5;62,2;75,5;47,1;71;85;61,3
0211 Vestby;211;Vestby;1306;4863;1795;191;798;114;1115;4065;1681;67,3;84,5;61,9;55,7;75,5;55,6;69,8;86,5;62,4
0213 Ski;213;Ski;2775;8987;2981;410;1486;225;2365;7501;2756;68,6;85,1;62,9;60,2;71,3;52,7;70,3;88,5;64
0214 Ås;214;Ås;1938;5428;1727;426;1170;159;1512;4258;1568;64,7;84,1;66,1;58,5;72,3;63,1;66,7;88;66,4
0215 Frogn;215;Frogn;1325;4705;1841;124;607;132;1201;4098;1709;67,6;84,9;62,1;56,4;74,5;62,9;69,1;86,7;62
0216 Nesodden;216;Nesodden;1404;5558;2139;142;883;229;1262;4675;1910;60,5;84,2;65,2;52,6;77,8;66;61,6;85,5;65,1
0217 Oppegård;217;Oppegård;2173;7968;2971;253;1178;230;1920;6790;2741;63,7;87,4;64;52,1;73,9;55,4;65,6;90,3;64,8
0219 Bærum;219;Bærum;9829;36317;13119;1869;7800;1324;7960;28517;11795;62,9;85,7;68,4;56,7;74,3;59,2;64,6;89,5;69,7
0220 Asker;220;Asker;4823;17796;6427;933;3679;596;3890;14117;5831;61,5;85,9;67,7;56,4;76;57,1;62,8;88,9;69,1
0221 Aurskog Høland;221;Aurskog-Høland;1462;4607;1626;165;573;66;1297;4034;1560;71,7;83,6;58,4;59,4;73,3;53,2;73,7;85,2;58,6
0226 Sørum;226;Sørum;1618;5504;1538;259;982;89;1359;4522;1449;70;86,5;62,4;58,9;78,1;54,3;72,6;88,6;63
0227 Fet;227;Fet;1048;3570;1135;177;563;57;871;3007;1078;69,9;86,3;61,6;69,4;73,6;48,7;70;89,2;62,5
0228 Rælingen;228;Rælingen;1825;5380;1658;312;1128;174;1513;4252;1484;73,5;85,5;61,7;63,7;75;55,6;76;88,8;62,5
0229 Enebakk;229;Enebakk;1005;3329;1110;119;504;67;886;2825;1043;72,7;83,6;61,7;60,7;74,6;57,8;74,6;85,4;61,9
0230 Lørenskog;230;Lørenskog;3305;10660;3638;661;2619;342;2644;8041;3296;68,1;84,2;60,6;61,9;72,4;46,7;69,9;88,8;62,5
0231 Skedsmo;231;Skedsmo;5531;15770;4583;1082;3489;448;4449;12281;4135;71,1;83,3;58,3;59,7;69,6;47,8;74,6;88,3;59,8
0233 Nittedal;233;Nittedal;1943;7473;2188;250;1153;175;1693;6320;2013;67,7;87,8;63,3;63,1;79,1;57;68,4;89,7;63,9
0234 Gjerdrum;234;Gjerdrum;584;2121;637;93;332;30;491;1789;607;72,5;87,9;64,7;65;76,7;63,8;74,1;90,4;64,8
0235 Ullensaker;235;Ullensaker;3555;10274;2700;774;2106;198;2781;8168;2502;74,5;84,2;58;69,5;73,8;47,5;76;87,4;59,1
0236 Nes (Akershus);236;Nes (Ak.);2038;6011;2199;218;706;114;1820;5305;2085;70,7;83,5;59,8;58,9;71,5;58,8;72,5;85,4;59,9
0237 Eidsvoll;237;Eidsvoll;2296;6716;2245;244;945;97;2052;5771;2148;71,7;82,4;56,1;60,2;72,8;46;73,3;84,2;56,7
0238 Nannestad;238;Nannestad;1246;3669;1128;215;676;78;1031;2993;1050;73,6;84;60;64,6;78;55,7;75,8;85,5;60,3
0239 Hurdal;239;Hurdal;255;710;310;17;83;19;238;627;291;73,9;81;57,1;60,7;74,8;61,3;75,1;81,9;56,8
0301 Oslo;301;Oslo kommune;89600;195151;52238;22565;56722;7418;67035;138429;44820;70,9;79,6;60;63,5;67,1;45;73,8;86,2;63,4
0402 Kongsvinger;402;Kongsvinger;1424;4276;1932;121;524;96;1303;3752;1836;59,1;75,1;50,4;38,4;60,3;40,5;62,2;77,7;51,1
