Fylke nr & navn;fylke_nr;"Fylke
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;128000;81049;140754;62,6;73,9;67,2
01 Østfold;1;Østfold;4663;3626;7844;59,5;66;58,5
02 Akershus;2;Akershus;13952;10120;22447;62;74,8;73,2
03 Oslo;3;Oslo;28351;16650;40578;65,7;70,2;61,7
04 Hedmark;4;Hedmark;2484;1647;2883;53,6;68,3;64,9
05 Oppland;5;Oppland;2795;1863;2652;55,5;72,5;69,9
06 Buskerud;6;Buskerud;6895;4917;8643;63;74,7;67,5
07 Vestfold;7;Vestfold;4216;3335;5435;61,7;73,3;65,6
08 Telemark;8;Telemark;2218;1873;3414;48,6;69,4;65,4
09 Aust-Agder;9;Aust-Agder;1763;1483;2029;55,2;71,2;65,7
10 Vest-Agder;10;Vest-Agder;2789;2378;4506;54,6;70,1;67,1
11 Rogaland;11;Rogaland;16035;9882;11810;68,8;79,9;72,7
12 Hordaland;12;Hordaland;13414;8096;10008;63,5;76,6;70,7
14 Sogn og Fjordane;14;Sogn og Fjordane;2588;1246;1491;63,9;81,1;79,2
15 Møre og Romsdal;15;Møte og Romsdal;7229;3766;3671;66,8;80,8;75,9
16 Sør-Trøndelag;16;Sør-Trøndelag;6831;4070;5395;60,1;75,3;71
17 Nord-Trøndelag;17;Nord-Trøndelag;1794;1118;1291;54,1;74,1;73,8
18 Nordland;18;Nordland;4196;2090;2679;55,6;73,4;74,5
19 Troms Romsa;19;Troms Romsa;3440;1881;2442;60,5;76,4;76,1
20 Finnmark Finnmárku;20;Finnmark Finnmárku;2347;1008;1536;66,1;78,6;74,8
