"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.0_4;botid_5.5_9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;1;Halden;379;241;696;59,8;61,3;53,2
02 Indre Østfold;2;Indre Østfold;1170;858;1529;61,7;71,9;62,2
03 Mosseregionen;3;Mosseregionen;1034;869;1649;59,6;71,2;59,8
04 Nedre Glomma;4;Nedre Glomma;2080;1658;3970;58,1;61,7;57,6
05 Akershus Vest;5;Akershus Vest;4761;3719;7445;60,5;75,8;75
06 Follo;6;Follo;2532;1952;4771;58,8;75;74,1
07 Nedre Romerike;7;Nedre Romerike;4129;2897;7503;62,8;72;71,7
08 Øvre Romerike;8;Øvre Romerike;2530;1552;2728;67;77,8;71
09 Oslo;9;Oslo;28351;16650;40578;65,7;70,2;61,7
10 Fjellregionen;10;Fjellregionen;256;130;176;61;85;73,3
11 Glåmdal;11;Glåmdal;484;364;810;48,8;66,2;61
12 Hamarregionen;12;Hamarregionen;1288;872;1384;57,4;70;66,3
13 Sør Østerdal;13;Sør Østerdal;456;281;513;46,6;60,8;65,4
14 Gjøvikregionen;14;Gjøvikregionen;1016;662;1097;55,9;71,4;67
15 Hadeland;15;Hadeland;395;283;402;50,9;76,9;69
16 Lillehammerregionen;16;Lillehammerregionen;576;433;736;59,1;70,6;74,2
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;220;166;89;64,7;75,8;61,8
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;233;133;119;49,8;72,7;73,9
19 Valdres;19;Valdres;355;186;209;53,6;71,8;75,7
20 Drammensregionen;20;Drammensregionen;4529;3389;6752;62,8;73,5;66
21 Hallingdal;21;Hallingdal;686;418;393;66,1;80,4;78,4
22 Kongsberg/Numedal;22;Kongsberg/Numedal;965;546;722;65,4;80,6;74,9
23 Midt-Buskerud;23;Midt-Buskerud;338;232;227;65;70,1;67,6
24 Ringerike/Hole;24;Ringerike/Hole;696;526;848;59,9;73,1;71,3
25 Tønsbergregionen;25;Tønsbergregionen;2389;1888;2916;60,6;75,1;67,8
26 Sandefjord/Larvik;26;Sandefjord/Larvik;1508;1253;2220;62,2;71;62
27 Grenland;27;Grenland;1435;1303;2654;47,2;67,4;64,1
28 Midt-Telemark;28;Midt-Telemark;283;188;231;46,5;70,1;64,3
29 Øst-Telemark;29;Øst-Telemark;272;211;336;47,3;75,9;70,7
30 Vest-Telemark;30;Vest-Telemark;228;171;193;67,5;77,7;78,5
31 Setesdal;31;Setesdal;98;121;121;53,3;74,7;73,3
32 Arendalregionen;32;Arendalregionen;1468;1171;1608;55,1;70,1;64,1
33 Lister;33;Lister;483;444;629;54,5;79;72,8
34 Mandalsregionen;34;Mandalsregionen;337;349;368;49,1;72,4;64,6
35 Kristiansandregionen;35;Kristiansandregionen;2166;1776;3809;55,8;68,3;66,9
36 Dalane;36;Dalane;482;419;355;64,9;80,6;75,9
37 Haugesundregionen;37;Haugesundregionen;2462;1660;1770;62,4;75,4;70,3
38 Ryfylke;38;Ryfylke;632;372;354;69,7;85,1;79
39 Stavangerregionen;39;Stavangerregionen;12459;7431;9331;70,4;80,6;72,9
40 Bergen;40;Bergen;8582;4923;7257;62,3;75,4;69,5
41 Bjørnefjorden;41;Bjørnefjorden;516;405;344;66,8;79,3;72,1
42 Hardanger;42;Hardanger;571;293;265;63,2;78,6;78,4
43 Voss;43;Voss;228;112;141;60,8;73,7;73,1
44 Nordhordland;44;Nordhordland;704;503;278;67,8;81,7;75,7
45 Osterfjorden;45;Osterfjorden;186;204;101;61,8;79,7;72,1
46 Sunnhordland;46;Sunnhordland;1485;798;757;66,4;78,2;73,1
47 Hordaland Vest;47;Hordaland Vest;1142;858;865;66;77,3;73,8
48 HAFS;48;HAFS;208;123;109;64,2;85,4;74,1
49 Nordfjord;49;Nordfjord;877;461;466;66,7;81,9;78,5
50 Sogn;50;Sogn;721;338;436;63,2;80,1;81,6
51 Sunnfjord;51;Sunnfjord;782;324;480;61,5;79,6;79,1
52 Nordmøre;52;Nordmøre;1211;782;657;59,9;80,7;71,8
53 Romsdal;53;Romsdal;1432;771;772;66,4;81,9;78
54 Storfjord;54;Storfjord;539;421;310;70,7;83;78,9
55 Søre Sunnmøre;55;Søre Sunnmøre;1590;579;644;69;79,2;77,1
56 Ålesundregionen;56;Ålesundregionen;2457;1213;1288;68,6;80,1;75,6
57 Fosen;57;Fosen;409;214;166;65,1;81,4;74,4
58 Hitra/Frøya;58;Hitra/Frøya;641;310;108;78,3;85,6;82,4
59 Oppdal/Rennebu;59;Oppdal/Rennebu;163;81;71;63,9;75;74
60 Orkdalregionen;60;Orkdalregionen;245;203;214;55,2;72,5;72,5
61 Trondheimsregionen;61;Trondheimsregionen;5313;3227;4758;58;74,1;70,5
62 Rørosregionen;62;Rørosregionen;115;64;109;73,7;84,2;76,8
